TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
35,35,100.0000,35,100.0000,0,12869,8684,67.4799

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CAMBIO,UNE,VICTORIA,VIVA,AZUL,VAMOS,MLP,TODOS,CABAL,MI FAMILIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22155,"Zacapa",19,"Teculután",5,3438,400,6,30,21,3,11,30,0,117,17,2,34,271,15,4,290,0,290,0,400,110,271,290,290,,1,c590052d14f5dfcc3e7f2ae7468b1989e715922745a528fe32f46e9655ba10fd,26/06/2023 00:06:59,ESCANER
22156,"Zacapa",19,"Teculután",5,3438,400,9,31,18,12,4,38,2,112,7,5,37,275,15,2,292,0,292,0,400,108,275,292,292,,1,64147440cf11ecdf0733ac896ea4e4f39db261274ff61246244594eaef4ad6ea,26/06/2023 03:33:26,ESCANER
22157,"Zacapa",19,"Teculután",5,3438,400,6,29,31,10,5,24,3,119,10,3,36,276,17,2,295,0,295,0,400,105,276,295,295,,1,86879dc4fd79790435803646ed134534cce26eea35260f02ed9db71f70655130,26/06/2023 01:01:31,ESCANER
22158,"Zacapa",19,"Teculután",5,3438,400,6,37,11,9,10,35,3,132,8,6,34,291,15,2,308,0,308,0,400,92,291,308,308,,1,4c9567740d33ce65754de3c3b58bed4fb28677a5ab362af0da7a863f351f74ac,26/06/2023 02:02:13,ESCANER
22159,"Zacapa",19,"Teculután",5,3438,400,4,38,13,12,9,19,1,138,7,4,28,273,8,2,283,0,283,0,400,117,273,283,283,,1,c33ae4bcdf05bba121abd3f912fc56911fb630729e2fa0c8e1f8aff52b200970,26/06/2023 00:24:37,ESCANER
22160,"Zacapa",19,"Teculután",5,3438,400,5,19,18,16,13,23,4,140,9,2,31,280,12,0,292,0,292,0,400,108,280,292,292,,1,95e58a5adcc9d057a4f67dd74ab9b819fe1aab84641ce5119a6fb941aee87bdc,26/06/2023 00:00:44,ESCANER
22161,"Zacapa",19,"Teculután",5,3438,400,5,25,18,12,8,26,2,116,7,6,39,264,14,1,279,0,279,0,397,118,264,279,279,,1,1a363ddc0b0106a17cbc0b7f9ab2d358dd2eacec0cf28cf7a4277269a5f3c950,26/06/2023 01:23:33,ESCANER
22162,"Zacapa",19,"Teculután",5,3438,400,3,27,26,9,6,30,0,112,9,3,26,251,11,1,263,0,263,0,400,137,251,263,263,,1,9c71cc397791d07700f173b1de928b69de2d13796104cf00a5e81fad39395863,26/06/2023 01:32:14,ESCANER
22163,"Zacapa",19,"Teculután",5,3438,400,9,32,16,14,6,27,2,117,9,1,38,271,6,0,277,0,277,0,400,123,271,277,277,,1,56ec4e6b77236cd0dab4e038268d7890c4fd01d9c751eba448786b98bba0a1bc,26/06/2023 00:39:53,ESCANER
22164,"Zacapa",19,"Teculután",5,3439,400,8,36,17,5,9,25,3,108,2,0,51,264,11,2,277,0,277,0,400,123,264,277,277,,1,361bada354ddeb65bddc76580f18d7da69a73a03160c301ee2955135b1a90a23,26/06/2023 01:29:12,ESCANER
22165,"Zacapa",19,"Teculután",5,3439,400,12,27,20,9,7,22,2,118,8,1,39,265,14,1,280,0,280,0,400,120,265,280,280,,1,293180156fce6b55cda6947daf542e98b44afd92237c61b3d686d0d1aae7097e,26/06/2023 01:46:15,ESCANER
22166,"Zacapa",19,"Teculután",5,3439,400,6,19,23,11,10,21,2,107,5,2,38,244,5,0,249,0,249,0,400,151,244,249,249,,1,9b64020f11c3ec9b6d687ffdac409bb81eff429bab386900de404b62521bbf72,25/06/2023 23:37:26,ESCANER
22167,"Zacapa",19,"Teculután",5,3440,400,2,17,17,11,4,22,0,131,9,2,32,247,8,0,255,0,255,0,400,145,247,255,255,,1,d07e902125c71fc012b16f64c58386640932ddc0363b7ba6237c61030afb79d9,26/06/2023 01:03:52,ESCANER
22168,"Zacapa",19,"Teculután",5,3440,241,3,19,14,7,6,17,0,77,0,0,20,163,3,0,166,0,166,0,241,75,163,166,166,,1,8742aebeaefd5dbed9906051a10bafb54320ed27fe7482edc7280099716e2d70,26/06/2023 00:55:18,ESCANER
22169,"Zacapa",19,"Teculután",5,3440,241,7,19,10,3,8,15,0,54,6,3,17,142,4,0,146,0,146,0,241,95,142,146,146,,1,d7c26f77f450909990e24ac47afa88169877f2c76ce21bd42caa5a2a7f5ef464,26/06/2023 01:15:09,ESCANER
22170,"Zacapa",19,"Teculután",5,3441,400,3,36,20,9,2,18,1,95,7,1,35,227,30,6,263,0,263,0,400,137,227,263,263,,1,2a428c769173488735d7656274ee753745e98a951842d841437ed5c63b426e64,26/06/2023 02:08:38,ESCANER
22171,"Zacapa",19,"Teculután",5,3441,400,3,42,18,15,4,24,4,105,10,2,31,258,29,4,291,0,291,1,400,109,258,291,291,,1,3c522aa864c53f0de11a520d8eff65ce4cbca429edf89c4ccf9fc57545c2b3d4,26/06/2023 02:20:08,ESCANER
22172,"Zacapa",19,"Teculután",5,3441,400,2,31,17,8,2,37,1,114,7,1,36,256,17,0,273,0,273,1,400,126,256,273,273,,1,4f295155c964927a7d998bc10b6d8ce8c0b79ab90f96aaad4a639e9675437c34,26/06/2023 02:36:40,ESCANER
22173,"Zacapa",19,"Teculután",5,3441,339,0,31,16,5,3,23,1,94,4,0,35,212,13,3,228,0,228,0,340,112,212,228,228,,1,01c3085e341c84d2c022916a7f176227f833811b90badd84db442c4a94ccaf9b,26/06/2023 02:25:57,ESCANER
22174,"Zacapa",19,"Teculután",5,3441,338,3,22,11,8,2,35,1,77,8,2,28,197,8,3,208,0,208,0,328,120,197,208,208,,1,69abbdaa6477e856004ff61e16775e833fd34c00e19861fa648438a5e8d8a354,26/06/2023 01:59:38,ESCANER
22175,"Zacapa",19,"Teculután",5,3442,380,9,106,4,4,3,40,2,42,2,1,72,285,13,4,302,0,302,0,380,78,285,302,302,,1,70251a6446fbb578ee8cc0d8dc100a7e5ab592f40742dd48de0c2a4315e586ec,26/06/2023 01:24:36,ESCANER
22176,"Zacapa",19,"Teculután",5,3442,338,4,95,1,3,4,27,3,28,6,0,61,232,12,2,246,0,246,0,338,92,232,246,246,,1,e7e967f2c7bb334a3fccd499edeb7832ecb5c021096513acb8af44b4b3725e96,26/06/2023 01:19:17,ESCANER
22177,"Zacapa",19,"Teculután",5,3442,338,6,83,2,5,0,35,0,23,1,1,101,257,5,2,264,1,265,0,338,73,257,264,265,,1,b2926393317f4d756b6717cf3c1b30e1141148a9553d6e31d41cba5a68d00961,26/06/2023 01:12:57,ESCANER
22178,"Zacapa",19,"Teculután",5,3443,380,1,26,14,7,6,25,1,162,8,4,26,280,23,5,308,1,309,0,380,71,280,308,309,,1,f59e34f3ba480324c30a282d3adb38077bbf9bd0bc34e22b9c9a7835c038eb55,26/06/2023 03:05:02,ESCANER
22179,"Zacapa",19,"Teculután",5,3443,380,4,14,14,7,5,29,3,153,7,4,40,280,19,4,303,0,303,0,380,77,280,303,303,,1,42410c5639b31b1debdac5ce0ba1eb90be8a9a5f838a2e4314eaa90587bed502,26/06/2023 03:13:39,ESCANER
22180,"Zacapa",19,"Teculután",5,3443,287,1,7,10,6,7,26,1,113,2,1,21,195,13,2,210,0,210,0,287,77,195,210,210,,1,4420f4d8689736bdac59847068d6f5f8a476259ae8a03804da6e01454fc86e25,26/06/2023 02:38:20,ESCANER
22181,"Zacapa",19,"Teculután",5,3443,286,1,11,10,2,0,22,0,113,5,5,25,194,4,0,198,2,200,0,283,83,194,198,200,,1,8fa09017fa10a0729160810a1a40572531749b6abe12e5310f714cbf0db894b5,26/06/2023 02:50:42,ESCANER
22182,"Zacapa",19,"Teculután",5,3444,380,3,31,48,5,8,19,2,93,10,8,22,249,16,3,268,0,268,0,379,111,249,268,268,,1,5107fd1f3b0415b1491402b9e3dff83a1e531b122af27927356af4e48261ae9f,26/06/2023 02:46:30,ESCANER
22183,"Zacapa",19,"Teculután",5,3444,380,7,32,39,9,8,28,1,81,7,4,22,238,14,1,253,0,253,0,380,127,238,253,253,,1,75160be10187c00d3e01cd632f89b63319efd88de97000ffd4f1bda214b8d18c,26/06/2023 03:34:41,ESCANER
22184,"Zacapa",19,"Teculután",5,3444,380,10,35,48,3,5,26,1,76,8,3,21,236,14,0,250,0,250,0,380,130,236,250,250,,1,1850355185f36d5d4e7ded5e6db31ffc6a3d97ef876f9cf27cc21d349d98e912,26/06/2023 03:11:00,ESCANER
22185,"Zacapa",19,"Teculután",5,3444,380,8,30,54,6,6,19,1,78,6,2,19,229,19,0,248,0,248,0,383,135,229,248,248,,1,2353ad0551abfbef86b1644b3928e369e640ddb906cf534abb746a68ee8f4d45,26/06/2023 03:33:25,ESCANER
