TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24,24,100.0000,24,100.0000,0,8725,5945,68.1375

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,TODOS,CAMBIO,VIVA,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22190,"Zacapa",19,"Usumatlán",6,3446,400,94,19,32,70,8,2,1,49,275,16,1,292,0,292,0,400,108,275,292,292,,1,43688d154a8d6d8fbd5527354cd6767d807661a0a9259fda2e20fef8c7e96ee2,26/06/2023 00:34:58,ESCANER
22191,"Zacapa",19,"Usumatlán",6,3446,400,91,20,32,55,23,1,3,60,285,13,2,300,0,300,2,400,98,285,300,300,,1,3b4cb56e4516adfe53b419ed7a50f90fe4366a5126c950fd46a09e3ec4b188a2,26/06/2023 03:18:20,ESCANER
22192,"Zacapa",19,"Usumatlán",6,3446,400,97,22,34,51,21,7,4,50,286,9,4,299,0,299,0,400,101,286,299,299,,1,1649539057ec6a9182d06b934c3ca0de7863f56e4b6cc45c47c46ab4c7aa3c1f,26/06/2023 01:28:27,ESCANER
22193,"Zacapa",19,"Usumatlán",6,3446,400,112,11,43,45,19,6,2,45,283,16,2,301,0,301,0,400,99,283,301,301,,1,268581711fb8b349f6b8e399ccd636cc1a18e22b65a8a4d60490566e21255b8a,26/06/2023 00:46:07,ESCANER
22194,"Zacapa",19,"Usumatlán",6,3446,400,111,14,28,48,24,5,7,47,284,9,1,294,0,294,0,400,106,284,294,294,,1,5ff2ee7ef83e9313b4a10f267e4af1df9114b506fa996f6bbac92017d1efb768,26/06/2023 01:18:05,ESCANER
22195,"Zacapa",19,"Usumatlán",6,3446,400,90,14,36,47,14,6,2,43,252,7,2,261,0,261,0,400,139,252,261,261,,1,f976d3f685dcf775f1dc5d0369a319965b21a5be5313608c85023010421814c3,25/06/2023 23:47:46,ESCANER
22196,"Zacapa",19,"Usumatlán",6,3446,400,93,17,36,41,18,4,5,58,272,2,1,275,0,275,0,400,125,272,275,275,,1,a0c913c8aa66ef7cd92ff38e04d9e6ffae2896b9a0fe38bfd5dd6cc469d29d02,26/06/2023 01:53:36,ESCANER
22197,"Zacapa",19,"Usumatlán",6,3446,400,104,17,44,46,23,6,2,45,287,3,2,292,0,292,0,400,108,287,292,292,,1,1048f5df7178bc14de260d84da694e5c72b620a04c31a1c487c42e529dd2358f,26/06/2023 02:03:11,ESCANER
22198,"Zacapa",19,"Usumatlán",6,3447,392,83,23,31,60,11,6,3,54,271,4,0,275,0,275,0,394,119,271,275,275,,1,40cec46811456f73acba7c8127de5436855db4be5de40ebca60039c87a31dd2c,26/06/2023 01:42:20,ESCANER
22199,"Zacapa",19,"Usumatlán",6,3447,392,72,17,27,45,12,0,2,46,221,7,2,230,0,230,0,392,162,221,230,230,,1,e0b85cec20c6a125ed48f58a5a2b6238564f794f37bf92e73b6098d17a4cddd9,26/06/2023 01:03:24,ESCANER
