TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
27,27,100.0000,27,100.0000,0,9829,6794,69.1219

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,UNE,VAMOS,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22214,"Zacapa",19,"Cabañas",7,3451,400,15,4,148,50,2,55,274,10,0,284,0,284,0,399,115,274,284,284,,1,605676ffc0eec1c1f697a95436a9cac47d47c5cee20a0dd35545f43e132f00f6,26/06/2023 00:15:02,ESCANER
22215,"Zacapa",19,"Cabañas",7,3451,400,10,1,153,45,1,72,282,14,2,298,0,298,2,399,99,282,298,298,,1,fbc6c614874f976848ec824da0f42ae3cd73483153c70a15620b4dd05e8e575b,26/06/2023 00:25:00,ESCANER
22216,"Zacapa",19,"Cabañas",7,3451,400,9,3,130,55,0,68,265,19,3,287,0,287,0,400,113,265,287,287,,1,42eef5cf123c973ed26e13b0f05eb3b3054b4c00f59874fc416d342317b3c5ef,26/06/2023 00:55:52,ESCANER
22217,"Zacapa",19,"Cabañas",7,3451,400,17,4,156,58,2,63,300,10,3,313,0,313,1,400,87,300,313,313,,1,50c8a0330fe539d95d293b5957f98f193366f1929d5deeb1407465d57272b54c,26/06/2023 00:44:04,ESCANER
22218,"Zacapa",19,"Cabañas",7,3451,400,11,6,159,67,2,52,297,10,3,310,0,310,0,399,89,297,310,310,,1,cfbc676a833062a8d808bcf66fa3d742273231721524c282fbe3af54f40dd9ec,26/06/2023 00:34:45,ESCANER
22219,"Zacapa",19,"Cabañas",7,3451,400,17,4,132,84,7,54,298,4,0,302,0,302,0,400,98,298,302,302,,1,3a190410162cff461a2832278cec158fb6f9d9335a7368cab3cd8e7569e8ff89,26/06/2023 01:36:37,ESCANER
22220,"Zacapa",19,"Cabañas",7,3451,400,11,2,138,44,0,58,253,6,1,260,0,260,0,400,140,253,260,260,,1,30b58b42a218453094d0614b9b5aa47e7756442d27f86c86884560ad69e7747b,26/06/2023 00:39:26,ESCANER
22221,"Zacapa",19,"Cabañas",7,3451,400,20,1,136,53,3,53,266,1,0,267,0,267,0,399,132,266,267,267,,1,a65c21ef4f73d0e196405917aa9b4045ec00b565f8756644199851ef45ed7350,26/06/2023 00:50:57,ESCANER
22222,"Zacapa",19,"Cabañas",7,3451,400,15,4,141,42,3,58,263,7,1,271,0,271,0,400,129,263,271,271,,1,9d44c02024053dc3155a2f975ed2e573eb3555a40a16d8d5756a4c935a754cfd,26/06/2023 01:43:51,ESCANER
22223,"Zacapa",19,"Cabañas",7,3452,400,11,1,139,66,2,64,283,1,1,285,2,287,0,400,113,283,285,287,,1,de2824639bff4c65e6cf68f414453adbdcc2169f09cd10c7cab36d3a61b17a7d,26/06/2023 00:52:00,ESCANER
