TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
16,16,100.0000,16,100.0000,0,6097,4223,69.2635

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,TODOS,AZUL,CABAL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22241,"Zacapa",19,"San Diego",8,3459,400,51,96,33,0,4,81,265,8,4,277,0,277,--,399,122,265,277,277,Algún campo sin dato,1,ab1b4baabe9c5d32a61805d7dae19b0d3230bed94b8ab19261d62eb703d10988,26/06/2023 00:07:03,ESCANER
22242,"Zacapa",19,"San Diego",8,3459,400,45,120,28,0,1,95,289,12,6,307,0,307,--,400,93,289,307,307,Algún campo sin dato,1,3b420a29c314c230c1d917f6516aa541ab41561734bb332a694fc4adce715543,26/06/2023 00:32:32,ESCANER
22243,"Zacapa",19,"San Diego",8,3459,400,40,119,28,2,2,101,292,9,2,303,0,303,--,400,97,292,303,303,Algún campo sin dato,1,4e8c88c724ba689ec8c0adc48ca4e26615d099ad96285d0744a77d0dfcc04b68,26/06/2023 01:28:37,ESCANER
22244,"Zacapa",19,"San Diego",8,3459,400,31,143,36,0,3,92,305,5,4,314,0,314,--,400,86,305,314,314,Algún campo sin dato,1,920dbc9744110e67cb5c8b42350b1d9e286f0120d1bbb4d91d0ec68b1dd706f2,26/06/2023 00:27:54,ESCANER
22245,"Zacapa",19,"San Diego",8,3459,400,28,142,34,2,0,99,305,17,1,323,0,323,0,323,77,305,323,323,,1,85cfe7f25e9bd80ce6165c08da1c3602a809d6ecf774a3ebfc93b939c4acb8f7,25/06/2023 23:25:50,ESCANER
22246,"Zacapa",19,"San Diego",8,3459,400,37,127,25,3,3,97,292,4,3,299,0,299,--,400,101,292,299,299,Algún campo sin dato,1,32777c9ae8ab4d9fce56dc5a1346c7120b5be2bfc8dac3ad17644c4aa3445b4a,26/06/2023 00:13:39,ESCANER
22247,"Zacapa",19,"San Diego",8,3460,400,28,111,35,0,1,82,257,2,2,261,0,261,--,397,136,257,261,261,Algún campo sin dato,1,f7380626d6b78395c797bd9452bda7b605f85b8fb0430d6a054c9d55d1e06cb4,25/06/2023 23:56:48,ESCANER
22248,"Zacapa",19,"San Diego",8,3460,400,31,110,29,1,1,89,261,3,3,267,0,267,--,400,133,261,267,267,Algún campo sin dato,1,41c7bc7836917cc22d59ca97e1be5f250fbae7b8ee965eb2efcabc6564b8d265,26/06/2023 00:32:17,ESCANER
22249,"Zacapa",19,"San Diego",8,3460,400,35,136,31,0,1,70,273,4,0,277,0,277,--,400,123,273,277,277,Algún campo sin dato,1,27925a047e7e14b5f3afda09536ff65353552d576284b811bd0992b874e78e3d,26/06/2023 00:22:13,ESCANER
22250,"Zacapa",19,"San Diego",8,3460,400,31,104,42,1,0,110,288,2,0,290,0,290,0,400,110,288,290,290,,1,456fe5d36f3df08b5659741feceba22bc582a49052ed352744edcf2512e0213e,25/06/2023 22:28:40,ESCANER
22251,"Zacapa",19,"San Diego",8,3460,348,28,98,24,0,1,59,210,1,0,211,0,211,--,348,137,210,211,211,Algún campo sin dato,1,c589993e2a43b0a6286bbad87faa8d5cd045eed56f6db9c5ec6bc6e0cce79efb,25/06/2023 23:06:15,ESCANER
22252,"Zacapa",19,"San Diego",8,3460,347,28,70,33,1,1,65,198,1,0,199,0,199,1,345,146,198,199,199,,1,a50fde30fa6a636c84cdbf1f16ee231bc5747aca28b466d43a11589a6bfc6c1c,26/06/2023 00:54:58,ESCANER
22253,"Zacapa",19,"San Diego",8,3461,380,6,105,19,1,1,156,288,11,4,303,0,303,--,380,77,288,303,303,Algún campo sin dato,1,13438722a81cea0f8883e87d253ebe0fc9c7db2f471b8d1dedb6487cee8fdd59,26/06/2023 02:59:53,ESCANER
22254,"Zacapa",19,"San Diego",8,3461,366,5,93,18,0,1,147,264,5,4,273,0,273,--,366,93,264,273,273,Algún campo sin dato,1,947ccb4402b4babc3341046c9514e8b33f9a5948dc63686310beed12a49683b4,26/06/2023 02:59:41,ESCANER
22255,"Zacapa",19,"San Diego",8,3461,365,3,95,18,0,0,145,261,2,0,263,0,263,--,365,102,261,263,263,Algún campo sin dato,1,2d347ac1c96c89d3b118c4f7660515315c2ebe0720e27938943b222d0059868d,26/06/2023 03:04:17,ESCANER
22256,"Zacapa",19,"San Diego",8,3462,291,8,26,8,0,0,12,54,1,1,56,0,56,--,291,235,54,56,56,Algún campo sin dato,1,9a2edec386ef936afe2aec10d2656ec2c490c93e486d6355c9664140109e4e7a,25/06/2023 21:36:56,ESCANER
