TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
23,23,100.0000,23,100.0000,0,7640,5367,70.2486

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CAMBIO,UNE,AZUL,VAMOS,CABAL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22306,"Zacapa",19,"Huité",10,3473,400,28,15,3,71,97,45,259,25,0,284,0,284,0,438,154,259,284,284,,1,5c3a9110ca6fdbdff412d67436819fe19088b3e14648a56de69e8b5a0c0fa894,26/06/2023 03:24:32,ESCANER
22307,"Zacapa",19,"Huité",10,3473,400,23,10,7,83,103,45,271,11,5,287,0,287,0,397,110,271,287,287,,1,ef7b0dbb502006c5979f4e31982e40c14692e71f8c467f0d27776c870e2801b0,26/06/2023 03:13:49,ESCANER
22308,"Zacapa",19,"Huité",10,3473,400,36,12,7,89,96,26,266,24,9,299,0,299,0,400,101,266,299,299,,1,f4ddd11d329e6261859def211224eb329585aa8a4038c438020ce20f333c1d7a,26/06/2023 01:27:23,ESCANER
22309,"Zacapa",19,"Huité",10,3473,400,38,12,0,64,113,29,256,13,5,274,0,274,0,400,126,256,274,274,,1,9c09252bb33e58f4084c1fa97c82f1c39c745e234187225020d6dd484adf8b41,26/06/2023 01:50:57,ESCANER
22310,"Zacapa",19,"Huité",10,3474,400,26,13,1,62,110,45,257,17,2,276,0,276,0,400,124,257,276,276,,1,47ff01586cd9a81926b42194d396d42494dfbc286f84194e6c639dfa2cba44b9,26/06/2023 00:57:54,ESCANER
22311,"Zacapa",19,"Huité",10,3474,400,32,15,3,62,107,36,255,10,4,269,0,269,0,438,169,255,269,269,,1,0c0923c3cd4ce221f06231736695c835419a3c073edc6491ac7d42afe3cb77f4,26/06/2023 01:04:04,ESCANER
22312,"Zacapa",19,"Huité",10,3474,307,22,10,2,72,64,34,204,5,1,210,0,210,0,307,97,204,210,210,,1,6f7a82cf78647008bf41becc87061b2f9d4f17001db4fdd370cd98c8612f6a31,26/06/2023 01:10:28,ESCANER
22313,"Zacapa",19,"Huité",10,3474,307,17,7,5,54,65,27,175,7,1,183,0,183,0,307,124,175,183,183,,1,90bd4ef212e70d9b5b7e699b4637c3d11e3b9a8230badab3d9af8ca914fb5b7d,26/06/2023 01:48:17,ESCANER
22314,"Zacapa",19,"Huité",10,3475,380,55,6,1,108,74,29,273,25,2,300,0,300,0,380,80,273,300,300,,1,f5fc93c1bcc1e4d05f70e8151f6ac228998c5f6d0d6d0c4e9557baa6f69ed532,26/06/2023 01:36:55,ESCANER
22315,"Zacapa",19,"Huité",10,3475,218,46,1,1,73,44,7,172,6,0,178,0,178,0,217,48,172,178,178,,1,a608ff0ac3b98a113db6f19df50785ceb656b04548c66f997afdae63840f1aea,26/06/2023 01:57:35,ESCANER
22316,"Zacapa",19,"Huité",10,3475,217,52,1,0,75,32,7,167,0,2,169,1,170,0,217,47,167,169,170,,1,e4f3f71710f575d9bf524cffdceee423efa476fc32e0d5cb7d0b0a614d4fd5f8,26/06/2023 01:42:08,ESCANER
22317,"Zacapa",19,"Huité",10,3476,211,19,4,1,45,64,6,139,11,1,151,0,151,0,208,57,139,151,151,,1,40621f263dbf6ee78a3eff1b908591574bc0114686e659baab65b58a94cecc94,26/06/2023 00:12:18,ESCANER
22318,"Zacapa",19,"Huité",10,3476,210,9,7,2,57,62,5,142,6,0,148,0,148,0,207,59,142,148,148,,1,64cc4d49029ade76c4911c0686c98caf172d8c72e4d4f0df42b396331fdd552f,26/06/2023 00:13:18,ESCANER
