TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
25,25,100.0000,25,100.0000,0,9421,5950,63.1567

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,AZUL,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22329,"Zacapa",19,"San Jorge",11,3481,400,74,52,4,114,4,248,6,5,259,0,259,0,403,144,248,259,259,,1,4a8c70f2eb2942ab620ef2e809866a4d6e8df47f44d981dc94abeee7c5bd9580,26/06/2023 03:44:42,ESCANER
22330,"Zacapa",19,"San Jorge",11,3481,400,58,58,11,112,6,245,16,5,266,0,266,0,400,134,245,266,266,,1,b9046cb24315fbdff4841c71685f7c212ec204f70b98949c6c85ae89b8825c44,26/06/2023 04:32:27,ESCANER
22331,"Zacapa",19,"San Jorge",11,3481,400,64,59,13,117,5,258,11,1,270,0,270,1,400,129,258,270,270,,1,848ee43877455a136516e13198b4a8f4e84d19d57dd326eb88904a3cbd44aab8,26/06/2023 02:46:43,ESCANER
22332,"Zacapa",19,"San Jorge",11,3481,400,72,40,12,110,5,239,8,5,252,0,252,0,390,138,239,252,252,,1,6e402d9a607b76f9f49e0aaf4cb4797e415281e29eb94206e2c47bf50942591f,26/06/2023 03:33:14,ESCANER
22333,"Zacapa",19,"San Jorge",11,3481,400,38,51,7,111,2,209,3,2,214,10,224,2,400,176,209,214,224,,1,8180fd3ab9292fa7f43ff12ed6e412ca253ec9cc918fd3c16eac12380eeaecf6,26/06/2023 05:54:50,ESCANER
22334,"Zacapa",19,"San Jorge",11,3482,400,76,66,4,99,1,246,8,5,260,0,260,1,400,140,246,259,259,Sumas Asentadas sin cuadrar,1,84ba43cb28ea75674a9fa15ec068db2f831846a8defc8d71543a2398c6c83824,26/06/2023 04:49:28,ESCANER
22335,"Zacapa",19,"San Jorge",11,3482,400,69,48,8,91,4,220,14,2,236,0,236,1,403,166,220,236,236,,1,5adc0dc26d49fa4e36b0f044b182497b15c9a524457dff672a1fb4c2f6a1531d,26/06/2023 03:35:29,ESCANER
22336,"Zacapa",19,"San Jorge",11,3482,400,51,46,8,101,1,207,9,5,221,0,221,0,390,169,207,221,221,,1,489ce83e6de81d2bd9d1a64105d7b39b5784d200856e48281fd93a8509ca082e,26/06/2023 03:46:21,ESCANER
22337,"Zacapa",19,"San Jorge",11,3482,400,86,59,7,86,3,241,4,2,247,0,247,0,397,150,241,247,247,,1,f32ff77ecaa3aed51e069b970cf38bf49584f85bc643326de769ec6bb227b717,26/06/2023 04:01:39,ESCANER
22338,"Zacapa",19,"San Jorge",11,3482,400,74,58,8,86,2,228,3,0,231,0,231,--,397,169,228,231,231,Algún campo sin dato,1,a222d65ab66917929cb2ebe3cef545ae8e34a1dabfe887f6de7271f636626d57,26/06/2023 03:44:33,ESCANER
