TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
174,174,100.0000,174,100.0000,0,65904,31957,48.4902

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR UNIONISTA,AZUL,UNE,VAMOS,VICTORIA,ELEFANTE,PODEMOS,TODOS,CAMBIO,VIVA,P A N,SEMILLA,EL TAJAS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22354,"Chiquimula",20,"Chiquimula",1,3485,400,8,34,6,29,25,3,49,3,1,18,9,1,6,49,241,12,0,253,0,253,--,400,147,241,253,253,Algún campo sin dato,1,17dcccbe140b75590fa3eefcbe9f0c797cc7ff43aa30b7a12fd832e0e3b90bdb,25/06/2023 23:27:50,ESCANER
22355,"Chiquimula",20,"Chiquimula",1,3485,400,8,30,11,30,25,2,41,2,1,27,2,1,2,59,241,12,1,254,0,254,--,400,146,241,254,254,Algún campo sin dato,1,f7909e096dab34ff5793d2b82fe627bcd8c8cbacf9e16b4f4577354ad8588007,25/06/2023 22:31:19,ESCANER
22356,"Chiquimula",20,"Chiquimula",1,3485,400,10,35,18,29,25,5,53,2,0,28,2,0,0,44,251,7,1,259,0,259,1,400,140,251,259,259,,1,cf361c0aa171d2b59f10443532838b60f74a93c347403b692d439830455925f3,26/06/2023 00:46:52,ESCANER
22357,"Chiquimula",20,"Chiquimula",1,3485,400,13,30,10,31,32,2,45,1,2,32,2,3,4,41,248,11,3,262,0,262,--,400,138,248,262,262,Algún campo sin dato,1,1d718ca48f8f571b4761d7cedc2f68c3f66adb53110a00762c04e0ae7ac2acd5,25/06/2023 21:37:27,ESCANER
22358,"Chiquimula",20,"Chiquimula",1,3485,400,18,33,8,34,20,3,44,4,2,35,1,2,3,44,251,14,3,268,0,268,--,400,132,251,268,268,Algún campo sin dato,1,1f8d1556e9754444ea84913d1a94c03c4be1b4e91b78428c05d7a43954815fc9,25/06/2023 23:52:37,ESCANER
22359,"Chiquimula",20,"Chiquimula",1,3485,400,13,32,9,32,19,5,47,4,0,25,5,2,1,46,240,14,0,254,0,254,--,400,146,240,254,254,Algún campo sin dato,1,0bd53cf2fe2b8b052c6bfdd0b6f92ff51fa81a76b6f087bdbbb2299c452b9f31,26/06/2023 00:45:00,ESCANER
22360,"Chiquimula",20,"Chiquimula",1,3486,400,6,24,9,20,31,0,62,3,2,24,1,2,2,61,247,3,1,251,0,251,--,400,149,247,251,251,Algún campo sin dato,1,52b26be71d745eb10c3acb658922cf2b06875225c556409d9c740e6c8a52649c,25/06/2023 23:53:45,ESCANER
22361,"Chiquimula",20,"Chiquimula",1,3486,400,10,34,8,33,21,2,50,2,0,28,5,3,3,36,235,10,0,245,0,245,--,400,155,235,245,245,Algún campo sin dato,1,70d00ebc3f004af6f38020147e6631b14d00f84c6708124503b8e7ad849c2834,26/06/2023 00:50:12,ESCANER
22362,"Chiquimula",20,"Chiquimula",1,3486,400,14,25,3,25,13,0,48,4,1,37,3,2,1,58,234,10,0,244,0,244,1,395,155,234,244,244,,1,f37ee204759f5167ef9a92ae42bbb6db5ac6b4020ef0815d7837b060a970e3a4,26/06/2023 02:11:53,ESCANER
22363,"Chiquimula",20,"Chiquimula",1,3486,400,17,31,9,31,29,5,46,9,2,23,0,3,0,49,254,13,1,268,0,268,--,400,132,254,268,268,Algún campo sin dato,1,3d365c03b51f1b4ded531630f61bf723304a97882606d3732590f1447cc4632a,26/06/2023 02:36:47,ESCANER
22364,"Chiquimula",20,"Chiquimula",1,3486,400,13,33,12,24,26,0,47,2,0,21,3,4,3,63,251,6,3,260,0,260,--,400,140,251,260,260,Algún campo sin dato,1,d3bd6bb460ae9abe8f622f4f3856cfe4968657b68dda21243e52a49ce559d232,26/06/2023 01:37:14,ESCANER
22365,"Chiquimula",20,"Chiquimula",1,3486,400,5,25,7,18,24,1,66,1,1,38,0,0,8,64,258,4,0,262,0,262,--,396,134,258,262,262,Algún campo sin dato,1,a967a82d042177d454cbc5190ddb4a93914e2b90b63958f7ac3120bdd8a8bec9,26/06/2023 01:28:56,ESCANER
22366,"Chiquimula",20,"Chiquimula",1,3487,400,4,22,5,17,33,0,45,2,2,26,1,1,12,50,220,4,1,225,0,225,--,400,175,220,225,225,Algún campo sin dato,1,bf8dcfd20091f3e6cd26685641945506d17172d4efe75118536b0d97f65f9d56,26/06/2023 00:29:48,ESCANER
