TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
20,20,100.0000,20,100.0000,0,7737,5102,65.9428

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,CONEJO,UNE,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22528,"Chiquimula",20,"San José La Arada",2,3514,400,109,103,59,1,4,276,12,1,289,0,289,--,400,111,276,289,289,Algún campo sin dato,1,ee444b317ac8b7e0d23679ef515b26080703b4211ee196f54b31ff65132efd72,25/06/2023 23:52:17,ESCANER
22529,"Chiquimula",20,"San José La Arada",2,3514,400,134,97,47,1,6,285,8,4,297,0,297,--,400,103,285,297,297,Algún campo sin dato,1,4f7e385dbea5938acaa73fa12f4d677376d769b07bfc211a71bc433328e8d731,26/06/2023 00:51:15,ESCANER
22530,"Chiquimula",20,"San José La Arada",2,3514,400,108,127,66,0,0,301,11,6,318,0,318,--,400,82,301,318,318,Algún campo sin dato,1,47a5bc46706749354d89a4d282c4066a76d8d083527368dc197a03f8bf4c947b,26/06/2023 01:07:47,ESCANER
22531,"Chiquimula",20,"San José La Arada",2,3514,400,91,128,46,0,0,265,4,0,269,0,269,--,400,131,265,269,269,Algún campo sin dato,1,f7306b2b0bc767ffe78111a74035d72b62936b1ea830492528756e73abc62220,26/06/2023 01:52:02,ESCANER
22532,"Chiquimula",20,"San José La Arada",2,3514,400,114,107,40,3,3,267,9,1,277,0,277,--,400,123,267,277,277,Algún campo sin dato,1,1b5baafbc596973c5fd5dbd56ecc7d3751d4ad90bb4c5173c4d55ab312d80219,25/06/2023 23:17:27,ESCANER
22533,"Chiquimula",20,"San José La Arada",2,3514,400,115,95,47,1,3,261,7,2,270,0,270,--,400,130,261,270,270,Algún campo sin dato,1,9e7f3271e01f043b43f5be79c6b25a06efd157585604c065946ae444b5b85854,26/06/2023 01:31:54,ESCANER
22534,"Chiquimula",20,"San José La Arada",2,3514,372,98,123,54,0,6,281,0,0,281,0,281,--,369,88,281,281,281,Algún campo sin dato,1,2e08a0a0b825fa410df5cc7d460b8b1bbfbec9d01d0fe0e2a73f7ec7dc1f0f4d,26/06/2023 00:09:19,ESCANER
22535,"Chiquimula",20,"San José La Arada",2,3514,371,101,91,46,1,7,246,4,3,253,0,253,--,368,115,246,253,253,Algún campo sin dato,1,7c4c13598c3ef13b54f7d4cf9ce5cbe21f73d38bb2c0c4b4a4df0c4b5d73b1a1,26/06/2023 00:55:29,ESCANER
22536,"Chiquimula",20,"San José La Arada",2,3515,400,105,92,55,2,2,256,8,1,265,0,265,--,400,135,256,265,265,Algún campo sin dato,1,d49b23926d0ea908f2857f41870de1867cae2ca23399fbb47f385f4dbf2bf4a4,26/06/2023 01:59:34,ESCANER
22537,"Chiquimula",20,"San José La Arada",2,3515,400,111,97,51,1,6,266,7,6,279,0,279,--,400,121,266,279,279,Algún campo sin dato,1,0b15d892218bedbcf1836aa4d4c99f768cbada87ccecbd5437ad4a6dd2659485,25/06/2023 22:34:24,ESCANER
22538,"Chiquimula",20,"San José La Arada",2,3515,400,119,95,54,1,5,274,12,10,296,0,296,--,400,104,274,296,296,Algún campo sin dato,1,6c813b3409062a024cc8f85e9a7c5947108123856720e552ecbdd828ee230738,26/06/2023 02:38:29,ESCANER
22539,"Chiquimula",20,"San José La Arada",2,3515,400,160,91,38,1,6,296,6,8,310,0,310,--,400,90,296,310,310,Algún campo sin dato,1,2ee401a27f2df4572533ccdb5d2ff86af33775ca18fd38a826d6c3d8b4642862,26/06/2023 00:35:59,ESCANER
22540,"Chiquimula",20,"San José La Arada",2,3515,400,128,106,28,0,3,265,9,10,284,0,284,--,400,116,265,284,284,Algún campo sin dato,1,ab904abb47f305f0ffda04a806d9975cebc3ccadcb8db3b19e43406ae44b707d,26/06/2023 01:25:55,ESCANER
22541,"Chiquimula",20,"San José La Arada",2,3515,400,106,93,50,0,7,256,5,2,263,0,263,--,400,137,256,263,263,Algún campo sin dato,1,4420427c0995f8b0bc0102b9dc31e83749102221bf4bc0023d07d01ac149da2d,26/06/2023 00:06:56,ESCANER
22542,"Chiquimula",20,"San José La Arada",2,3515,400,86,94,40,0,4,224,6,2,232,0,232,--,400,168,224,232,232,Algún campo sin dato,1,927ff54bb22452b20fb629ca3f96bf13ecc7c0e045244764288c6257ac998219,25/06/2023 22:54:49,ESCANER
22543,"Chiquimula",20,"San José La Arada",2,3515,400,76,110,37,0,1,224,14,7,245,0,245,--,400,155,224,245,245,Algún campo sin dato,1,2b42997dfbca163057b4650f9a93ed5901722cafe7e1784ecf9a85f7458df804,25/06/2023 22:45:46,ESCANER
22544,"Chiquimula",20,"San José La Arada",2,3515,400,103,102,57,1,4,267,6,0,273,0,273,--,400,127,267,273,273,Algún campo sin dato,1,70026a8c8e12804453a201709791886cf75fe847a3d3353bcab0f5d0d1b469e0,26/06/2023 00:46:06,ESCANER
22545,"Chiquimula",20,"San José La Arada",2,3515,271,97,66,34,0,0,197,1,2,200,0,200,--,267,67,197,200,200,Algún campo sin dato,1,ae483550f72546ad0079df16e901a1a130dd6b389159e2e5a28ede4c56a03fe4,26/06/2023 00:00:57,ESCANER
22546,"Chiquimula",20,"San José La Arada",2,3515,270,56,59,20,0,3,138,5,3,146,0,146,--,270,124,138,146,146,Algún campo sin dato,1,0398ae938d977c7a9aa2a5acff445b86fb1da769db53f133f62d2c90828fa2e5,25/06/2023 22:17:22,ESCANER
22547,"Chiquimula",20,"San José La Arada",2,3516,453,29,13,9,0,0,51,2,2,55,0,55,--,453,398,51,55,55,Algún campo sin dato,1,b73c965a308d5ef8d148819a742992e56bed74eaddaa0265304c6ba47561077f,25/06/2023 22:31:57,ESCANER
