TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
30,30,100.0000,30,100.0000,0,11068,7540,68.1243

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,VIVA,PODEMOS,TODOS,VAMOS,AZUL,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22548,"Chiquimula",20,"San Juan Ermita",3,3517,400,94,2,11,0,1,144,0,4,256,18,5,279,0,279,--,400,121,256,279,279,Algún campo sin dato,1,0cec4f848731046916920ddc5f1d77d2450ce7ed556215130d47f4a6f5dbd285,26/06/2023 03:14:30,ESCANER
22549,"Chiquimula",20,"San Juan Ermita",3,3517,400,89,1,12,1,0,172,2,2,279,16,2,297,0,297,--,400,103,279,297,297,Algún campo sin dato,1,1278929c7ff077d1aed46eb8ba9248c0bb542d918c30558141270f92703d1fd2,26/06/2023 03:36:40,ESCANER
22550,"Chiquimula",20,"San Juan Ermita",3,3517,400,112,2,5,0,0,134,1,1,255,21,4,280,0,280,--,400,120,255,280,280,Algún campo sin dato,1,1302e05a5d11e37fbcac9ae94af6c59d3e44530f33755f7a891d5a353dbbd5fa,26/06/2023 03:49:58,ESCANER
22551,"Chiquimula",20,"San Juan Ermita",3,3517,400,82,0,12,1,0,165,1,0,261,15,7,283,0,283,--,400,117,261,283,283,Algún campo sin dato,1,8134541aa91c225b32a836fc63b1f44f84864f7fb8d9e128d43958b00b42c263,26/06/2023 04:06:53,ESCANER
22552,"Chiquimula",20,"San Juan Ermita",3,3517,400,91,1,17,2,0,183,1,3,298,14,3,315,0,315,--,400,85,298,315,315,Algún campo sin dato,1,bd2b05c9df5db9d3a7b3e4e73757757fa13d01587c45ef31b65fb0b8e5943944,26/06/2023 01:31:21,ESCANER
22553,"Chiquimula",20,"San Juan Ermita",3,3518,400,107,0,7,2,0,173,4,2,295,11,3,309,0,309,--,400,91,295,309,309,Algún campo sin dato,1,9ee34a9f8e20326f528077962250b06ecc5b08dce5965d07764b626d31041dfa,26/06/2023 03:04:26,ESCANER
22554,"Chiquimula",20,"San Juan Ermita",3,3518,400,118,1,15,0,0,178,0,1,313,13,5,331,0,331,--,400,69,313,331,331,Algún campo sin dato,1,3b05ad9e516e0c0a5c615184e344e268a3daa32de6bc139a71289f2f69627504,26/06/2023 02:59:42,ESCANER
22555,"Chiquimula",20,"San Juan Ermita",3,3518,400,107,1,11,0,0,184,0,1,304,13,5,322,0,322,--,400,78,304,322,322,Algún campo sin dato,1,f776547ed9f9ee5b9127eae12687597f3afd84601ba4946bfcb48346127788da,26/06/2023 02:54:08,ESCANER
22556,"Chiquimula",20,"San Juan Ermita",3,3518,400,103,0,3,0,0,186,2,0,294,4,3,301,0,301,--,400,99,294,301,301,Algún campo sin dato,1,02f9c3ec9a6e14fb7e0657fb0c0fb7653ac905d52c26dfbe1b785463aac2ecf3,26/06/2023 02:51:17,ESCANER
22557,"Chiquimula",20,"San Juan Ermita",3,3518,400,84,1,9,0,0,145,0,0,239,5,0,244,0,244,--,400,156,239,244,244,Algún campo sin dato,1,c23cbff071b05200960cc43cfb128b848223ae67ed6038fc35f6bcc9f8db0f65,26/06/2023 01:12:29,MOVIL
