TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
42,42,100.0000,42,100.0000,0,15800,10944,69.2658

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,CAMBIO,VIVA,UNE,ELEFANTE,MLP,TODOS,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22768,"Chiquimula",20,"Olopa",6,3569,400,39,66,65,10,51,19,4,3,0,257,11,2,270,0,270,--,400,130,257,270,270,Algún campo sin dato,1,dbedb45d3af4bb5f2491d02cefae0ffe4c220a0756837af3a1ef26ca10724d6b,26/06/2023 03:05:06,ESCANER
22769,"Chiquimula",20,"Olopa",6,3569,400,32,68,61,9,52,17,1,2,0,242,14,5,261,0,261,--,400,139,242,261,261,Algún campo sin dato,1,b63f835232154646dfaa591ea1ddf08d93eebf59593baef0a26f7d9ff959453d,26/06/2023 01:36:01,ESCANER
22770,"Chiquimula",20,"Olopa",6,3569,400,48,86,50,14,83,7,1,3,0,292,11,7,310,0,310,--,400,90,292,310,310,Algún campo sin dato,1,8c5c8611042f2543a3a3757e9a3e12eb253ceac656e737300f5f546f86d4b83d,26/06/2023 03:52:27,ESCANER
22771,"Chiquimula",20,"Olopa",6,3569,400,25,112,56,12,46,10,0,2,0,263,9,7,279,0,279,--,400,121,263,279,279,Algún campo sin dato,1,6542f20e31769822d183319bbcfd6dec466ee35a06a096bc5128e76300e9884b,26/06/2023 03:43:17,ESCANER
22772,"Chiquimula",20,"Olopa",6,3569,400,46,109,49,12,51,8,0,1,0,276,14,4,294,0,294,--,--,--,276,294,294,Algún campo sin dato,1,b7c79e92e05c59cd1ded36e1c60a5f71d5804a6ea438ad28aa081b67e9a76f3a,26/06/2023 03:37:34,ESCANER
22773,"Chiquimula",20,"Olopa",6,3569,400,41,127,59,18,44,6,1,1,0,297,9,2,308,0,308,--,400,92,297,308,308,Algún campo sin dato,1,d7a41fc71374914b7a677d92725bec35671685f1ac3439ee984bbf9744ee5e36,26/06/2023 03:18:41,ESCANER
22774,"Chiquimula",20,"Olopa",6,3569,400,44,95,68,10,73,5,0,4,0,299,9,3,311,0,311,--,400,89,299,311,311,Algún campo sin dato,1,dd943cbe4d8d38b8bb38715505f2003ace8cd72b5310c04caae8dcb7f9100713,26/06/2023 03:33:49,ESCANER
22775,"Chiquimula",20,"Olopa",6,3569,400,44,84,77,7,37,7,0,1,1,258,5,1,264,0,264,--,400,136,258,264,264,Algún campo sin dato,1,0c8e9b3c121eb3f607aa8d2dd7906dbfa49f584df8b13964bc0f82c10eee9202,26/06/2023 03:18:00,ESCANER
22776,"Chiquimula",20,"Olopa",6,3569,400,32,78,66,12,37,3,0,1,0,229,5,1,235,0,235,--,400,165,229,235,235,Algún campo sin dato,1,3122e1a32ddcf9a61934e7e062a23d2e3ff32fdd8baa4a5b8e14c289ab82abda,26/06/2023 01:47:13,ESCANER
22777,"Chiquimula",20,"Olopa",6,3569,400,34,75,51,14,45,8,0,0,0,227,5,5,237,0,237,--,400,163,227,237,237,Algún campo sin dato,1,c0dedc8c878f12fb4ac5816d2c9e4995c55e4a527750afe1e9cef2d2b581d6a2,26/06/2023 01:18:20,ESCANER
22778,"Chiquimula",20,"Olopa",6,3570,400,46,80,68,13,37,6,1,0,0,251,1,3,255,--,255,--,400,145,251,255,255,Algún campo sin dato,1,d212b6f0b90fd130467409d822bec633563157c56b40e11761364108b366e5bd,26/06/2023 02:57:08,ESCANER
22779,"Chiquimula",20,"Olopa",6,3570,400,36,77,69,6,52,21,1,1,2,265,4,0,269,0,269,--,401,132,265,269,269,Algún campo sin dato,1,10b03d57adbc2a7c4ba1c639dddb17c49da5604c8d996cb4e202e336eb6178ab,26/06/2023 03:02:26,ESCANER
22780,"Chiquimula",20,"Olopa",6,3570,307,17,57,70,8,33,7,1,0,1,194,0,1,195,0,195,--,307,112,194,195,195,Algún campo sin dato,1,7a3f8db1d60743710d3d2ae7d87496ef1d9e3e4e2a26842c6a4e2c0b0308d4d0,26/06/2023 02:15:18,ESCANER
22781,"Chiquimula",20,"Olopa",6,3570,307,20,51,39,2,28,11,0,1,0,152,1,4,157,0,157,--,307,150,152,157,157,Algún campo sin dato,1,64591c14f72ba54fa7bfc5c9cfed15a021b8f6b2148c8a22096d01731cda9371,26/06/2023 01:11:13,ESCANER
22782,"Chiquimula",20,"Olopa",6,3571,380,36,100,54,3,78,5,1,1,5,283,12,6,301,0,301,--,377,76,283,301,301,Algún campo sin dato,1,3f64d4c7bee6475c6cb66f367bf9a563f2f7102bf14422ac27e3a523b077fa3b,26/06/2023 03:10:13,ESCANER
22783,"Chiquimula",20,"Olopa",6,3571,380,7,91,91,6,37,7,0,4,3,246,11,8,265,0,265,--,379,114,246,265,265,Algún campo sin dato,1,181649e2abfbea07250b615a530d3c320b8f1e6ae8b536b3446c6f01a87a8268,26/06/2023 02:15:58,ESCANER
22784,"Chiquimula",20,"Olopa",6,3571,380,3,89,86,11,38,2,0,4,3,236,18,4,258,0,258,--,379,121,236,258,258,Algún campo sin dato,1,b4be158b10e8c2edea491a073e5f6f1e098c8d43391c370deb04851b0e6a69f7,26/06/2023 01:54:24,ESCANER
22785,"Chiquimula",20,"Olopa",6,3571,380,19,98,62,6,39,5,7,4,1,241,21,7,269,0,269,--,413,144,241,269,269,Algún campo sin dato,1,70816fbc45f76f67e81c631272f3a3853ead216c08cb57e3a7f00b26d7a604da,26/06/2023 02:11:41,ESCANER
22786,"Chiquimula",20,"Olopa",6,3571,380,23,94,65,6,43,6,6,1,1,245,14,6,265,1,265,1,380,115,245,265,266,Sumas Asentadas sin cuadrar,1,4726f705327e9079a99dcf7e50044d2cd8bc60e8b07a8cceb7de9ac4ac8be431,26/06/2023 03:24:19,ESCANER
22787,"Chiquimula",20,"Olopa",6,3571,380,17,73,65,11,56,3,6,1,4,236,6,4,246,0,246,--,380,134,236,246,246,Algún campo sin dato,1,6369167dbb005e30876819136ecb82f4e6b6bc2ce33cb6c540a0c33fcd03ca5c,26/06/2023 00:58:07,ESCANER
22788,"Chiquimula",20,"Olopa",6,3571,380,19,97,54,7,35,6,2,0,2,222,2,4,228,0,228,--,380,149,222,228,228,Algún campo sin dato,1,170eb22722318633814e3457fef01065841005e7f93cd17dcd813a8e8726462d,26/06/2023 02:35:53,ESCANER
22789,"Chiquimula",20,"Olopa",6,3571,380,19,79,82,3,31,4,2,0,3,223,4,2,229,0,229,--,377,148,223,229,229,Algún campo sin dato,1,0076aa7fad5858cd2b0911374cef7722dc5136f1922a860910a9d0a77f4837bc,26/06/2023 01:17:41,ESCANER
22790,"Chiquimula",20,"Olopa",6,3571,341,17,80,79,1,33,3,0,1,3,217,2,2,221,0,221,--,341,120,217,221,221,Algún campo sin dato,1,aa550d648a848d93ef4a5820ea3320578527d32a36940c7d6033a281d20bb2a5,26/06/2023 01:37:25,ESCANER
