TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,31198,18069,57.9171

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR UNIONISTA,CABAL,UNE,VOS,DESARROLLO,ELEFANTE,AZUL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22810,"Chiquimula",20,"Esquipulas",7,3574,400,35,73,9,6,69,67,7,3,269,9,1,279,0,279,--,399,120,269,279,279,Algún campo sin dato,1,82b0430f139b1689b0930d7c441d3fd9adc27d7ad05187b8afcf45a4e123c98c,26/06/2023 01:53:24,ESCANER
22811,"Chiquimula",20,"Esquipulas",7,3574,400,38,91,6,5,57,81,1,1,280,12,2,294,0,294,--,400,106,280,294,294,Algún campo sin dato,1,e75b9362592a95d740ed559e4e6b5d8b147588b5a27bdfc98e9291c38bdbc39e,26/06/2023 01:17:54,ESCANER
22812,"Chiquimula",20,"Esquipulas",7,3574,400,21,102,5,10,58,92,2,0,290,14,3,307,0,307,--,400,93,290,307,307,Algún campo sin dato,1,bce84d79fb28457372988d8e45b0bea76cd6c90376f34bcb632f813f2a5f719b,26/06/2023 00:17:37,ESCANER
22813,"Chiquimula",20,"Esquipulas",7,3574,400,22,91,11,4,55,82,4,1,270,11,1,282,0,282,--,400,118,270,282,282,Algún campo sin dato,1,b0f0b14ee1bf8df1e1424273c09b41056cafd1d1519cfa8688ccf687c4967140,26/06/2023 02:00:35,ESCANER
22814,"Chiquimula",20,"Esquipulas",7,3575,400,33,100,6,6,50,89,5,1,290,7,1,298,0,298,--,400,102,290,298,298,Algún campo sin dato,1,41005b468991b25a40f208bcb1dba7ede64e181ab801aa634858f4ffcdf8b84f,26/06/2023 01:17:45,ESCANER
22815,"Chiquimula",20,"Esquipulas",7,3575,400,35,93,5,2,53,83,6,0,277,10,3,290,0,290,--,400,110,277,290,290,Algún campo sin dato,1,2708bf74a3d76a42ecc569fbfdd2a589503b18260c4c8ee7513755ef8723e8fd,26/06/2023 01:47:12,ESCANER
22816,"Chiquimula",20,"Esquipulas",7,3575,400,32,76,1,3,62,71,4,0,249,1,1,251,0,251,--,400,149,249,251,251,Algún campo sin dato,1,7bd611d6e66ff735840891565acf23bce5116c7411bf67a57faaabd962423745,26/06/2023 01:26:18,ESCANER
22817,"Chiquimula",20,"Esquipulas",7,3575,400,34,76,5,3,55,67,6,0,246,11,0,257,0,257,--,400,143,246,257,257,Algún campo sin dato,1,7a13b2a389331f62995dc12cf5ded55b823d79e284e660e1769cb4ab5262aafc,26/06/2023 00:56:24,ESCANER
22818,"Chiquimula",20,"Esquipulas",7,3576,400,25,73,7,5,54,62,4,0,230,4,1,235,0,235,--,400,165,230,235,235,Algún campo sin dato,1,1dff3665877ead0437921c75b143b7e2622ef96ff80060f0b74dc65c543ed748,25/06/2023 23:24:27,ESCANER
22819,"Chiquimula",20,"Esquipulas",7,3576,400,31,82,5,5,55,68,2,1,249,7,2,258,0,258,--,400,142,249,258,258,Algún campo sin dato,1,1e0c8fa92c40a24ff3443daeee6c9e5a52f3f06e4dac6d4ca586960d09bc5e2f,26/06/2023 01:06:59,ESCANER
22820,"Chiquimula",20,"Esquipulas",7,3576,400,26,82,10,1,49,86,1,0,255,3,2,260,0,260,--,400,140,255,260,260,Algún campo sin dato,1,cd571141b707b58d20af524cb1aab677f0d48b5499d78ec401bc2d4f7fd7ff7b,26/06/2023 01:25:51,ESCANER
22821,"Chiquimula",20,"Esquipulas",7,3576,400,22,84,6,6,51,84,4,0,257,11,1,269,0,269,--,400,131,257,269,269,Algún campo sin dato,1,7e59a18474f5658483ced35e7512b9d4a0ce121ee5c7958a91e3fdf58b406102,26/06/2023 01:14:49,ESCANER
22822,"Chiquimula",20,"Esquipulas",7,3577,400,25,77,4,3,67,82,4,0,262,9,1,272,0,272,--,400,128,262,272,272,Algún campo sin dato,1,191673176ad99a7b96a2a4d5345143b879b70383622102d692e61e9a22453895,26/06/2023 01:07:51,MOVIL
22823,"Chiquimula",20,"Esquipulas",7,3577,400,29,72,5,4,53,77,2,0,242,4,1,247,0,247,--,397,150,242,247,247,Algún campo sin dato,1,ce8a4bede25bc9ab8ac103f96f01e58000d01a14643da26b9215e7eaa1315820,26/06/2023 00:41:42,MOVIL
22824,"Chiquimula",20,"Esquipulas",7,3577,400,36,79,5,3,64,58,3,0,248,4,1,253,0,253,--,400,147,248,253,253,Algún campo sin dato,1,f462da7079cea2af98a09b52c277e0f6ad48590e9b32efe578b6e8f34569e459,26/06/2023 01:59:12,MOVIL
22825,"Chiquimula",20,"Esquipulas",7,3577,400,20,91,4,1,55,44,1,1,217,4,0,221,0,221,--,400,179,217,221,221,Algún campo sin dato,1,ba69bb0a1c7e504683b1bc5a1e8fe75a2d2960b7ff5561e69827262a61cf6a4c,26/06/2023 01:29:18,MOVIL
22826,"Chiquimula",20,"Esquipulas",7,3578,400,20,85,8,5,48,65,1,0,232,2,0,234,0,234,--,400,166,232,234,234,Algún campo sin dato,1,ed28b3703a32760d4e4d01ff69ee0597e08cbb9fdef5b808e8480484fdf066d5,25/06/2023 22:38:47,ESCANER
22827,"Chiquimula",20,"Esquipulas",7,3578,400,33,64,8,3,50,55,2,1,216,2,0,218,0,218,--,400,182,216,218,218,Algún campo sin dato,1,588780993bf5a1f06ed6ea17ec0abe13544440011997824a6b2c89b9d411203f,26/06/2023 00:17:23,ESCANER
