TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
30,30,100.0000,30,100.0000,0,11208,5764,51.4275

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,AZUL,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22893,"Chiquimula",20,"Concepción Las Minas",8,3591,400,131,7,4,44,10,196,19,4,219,0,219,--,400,181,196,219,219,Algún campo sin dato,1,fe144c33fcc9e733440dbcba9182ebb3addbbe596890e0ab60ed24bae1b1a96f,25/06/2023 23:29:22,ESCANER
22894,"Chiquimula",20,"Concepción Las Minas",8,3591,400,130,2,4,53,8,197,10,4,211,0,211,--,397,156,197,211,211,Algún campo sin dato,1,e1a3c4aec86df98e493bd2928b54ed0a350400ab3cbd9dfdfe9dd2c215b4da3e,26/06/2023 01:58:05,ESCANER
22895,"Chiquimula",20,"Concepción Las Minas",8,3591,400,162,9,2,43,11,227,11,3,241,1,242,--,400,158,227,241,242,Algún campo sin dato,1,b7a940cbd940b4eb3ec55f5959eb90c643d98e0360b983bb4e3a4a9062ff4ea0,26/06/2023 00:50:23,ESCANER
22896,"Chiquimula",20,"Concepción Las Minas",8,3591,400,188,10,6,34,6,244,13,4,261,0,261,--,403,142,244,261,261,Algún campo sin dato,1,3ed15bcb9fa5ed588e3c6c680812cbb7f82221adcf9daab6943db8a7331ac353,26/06/2023 00:45:30,ESCANER
22897,"Chiquimula",20,"Concepción Las Minas",8,3591,400,139,12,7,42,9,209,13,8,230,0,230,--,--,--,209,230,230,Algún campo sin dato,1,a57b752160280fe71da32b9b907b434d312dff94820b90f5bcb56f1462617fdc,26/06/2023 01:17:40,ESCANER
22898,"Chiquimula",20,"Concepción Las Minas",8,3591,400,172,13,3,52,8,248,17,3,268,0,268,--,397,129,248,268,268,Algún campo sin dato,1,a7a631e64c3cab3b4c6400cd717bee2ba35f63b3323769a914b852f7edfd8dab,26/06/2023 01:24:35,ESCANER
22899,"Chiquimula",20,"Concepción Las Minas",8,3592,400,156,9,2,49,11,227,17,10,254,0,254,--,400,146,227,254,254,Algún campo sin dato,1,e5bdc5036dd15798cecfe8266b8e0a6f56e58da59c5c5479575b7b3d6480ba18,26/06/2023 00:29:18,ESCANER
22900,"Chiquimula",20,"Concepción Las Minas",8,3592,400,181,8,5,49,5,248,9,4,261,0,261,--,402,141,248,261,261,Algún campo sin dato,1,cd76c1fd6eb90e4876e35b310e094e46d9119b9ae98da70f03b916d632094cca,26/06/2023 01:22:29,ESCANER
22901,"Chiquimula",20,"Concepción Las Minas",8,3592,400,156,6,4,37,14,217,12,2,231,0,231,--,400,169,217,231,231,Algún campo sin dato,1,8e2683f6a50c20cb694b3e6d6f678737ca3b6a9e06e3adff065a86c001641cda,25/06/2023 23:11:45,ESCANER
22902,"Chiquimula",20,"Concepción Las Minas",8,3592,400,130,6,2,37,3,178,6,0,184,0,184,--,397,213,178,184,184,Algún campo sin dato,1,28056d7600a63797f83ce6c09379fbdc5d2c71ec2c1efb3b01deb78cbbc8ba5c,26/06/2023 00:06:12,ESCANER
