TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,21863,15243,69.7205

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,ELEFANTE,VICTORIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22923,"Chiquimula",20,"Quezaltepeque",9,3597,400,130,158,1,5,0,0,294,13,6,313,0,313,--,400,87,294,313,313,Algún campo sin dato,1,5d7c257cf32abd83a5759527b86ed6c5cfce4b2d503a490f504af49dec0455ff,26/06/2023 03:23:54,ESCANER
22924,"Chiquimula",20,"Quezaltepeque",9,3597,377,119,125,2,5,1,1,253,9,4,266,0,266,1,377,111,253,266,266,,1,2d5899487f55c5a110473b0805a2d2114dd6dde0321345b83821fcbb3d734e1c,26/06/2023 03:03:44,ESCANER
22925,"Chiquimula",20,"Quezaltepeque",9,3597,377,137,128,3,4,0,2,274,5,1,280,0,280,--,374,94,274,280,280,Algún campo sin dato,1,55cabc7ccaedfe11c05cd9cf7d3c5993ad6fd753e1856805c270ed155ea2cc60,26/06/2023 03:49:29,ESCANER
22926,"Chiquimula",20,"Quezaltepeque",9,3598,400,150,128,1,0,1,5,285,8,3,296,0,296,--,400,104,285,296,296,Algún campo sin dato,1,60101dba9bb08da71dbdfae928254800a5320f85e852f7bf174e6dec52ef00f8,26/06/2023 02:19:02,ESCANER
22927,"Chiquimula",20,"Quezaltepeque",9,3598,400,174,111,2,5,0,7,299,9,2,310,0,310,--,398,88,299,310,310,Algún campo sin dato,1,2b7937aae841ef93efc6c0ecc787067658cdecc53c4879eb31978b8ee8e2ff88,26/06/2023 02:28:08,ESCANER
22928,"Chiquimula",20,"Quezaltepeque",9,3598,400,150,134,1,1,0,4,290,10,2,302,0,302,--,400,98,290,302,302,Algún campo sin dato,1,f41c3f4651958dcea87a03305bcfff4ff17dc901f675369b1c7b1a873a29ee22,26/06/2023 02:21:34,ESCANER
22929,"Chiquimula",20,"Quezaltepeque",9,3598,400,170,127,3,3,2,5,310,1,4,315,0,315,--,400,85,310,315,315,Algún campo sin dato,1,23530be674ab257428076e6b0d24077b02ceb16e6ba0861ba9c13dc470d2b149,26/06/2023 02:49:24,ESCANER
22930,"Chiquimula",20,"Quezaltepeque",9,3598,400,170,127,2,1,2,3,305,11,1,317,0,317,--,400,83,305,317,317,Algún campo sin dato,1,fa6e39f53a80494fba6e7b0b7d30876e42930f3ffa28a9e29705732e84c09d0f,26/06/2023 02:36:46,ESCANER
22931,"Chiquimula",20,"Quezaltepeque",9,3598,400,152,123,0,3,0,4,282,7,2,291,0,291,0,400,109,282,291,291,,1,1e17477ee5cdd29fbf2376f6e48788396158adfaab30b5d9f8512fc4862b6021,26/06/2023 04:30:47,ESCANER
22932,"Chiquimula",20,"Quezaltepeque",9,3598,400,128,114,5,2,1,2,252,5,0,257,0,257,--,401,144,252,257,257,Algún campo sin dato,1,5dbfe4f9b9b4faf248596f507911e91a90048d127edbf13c522b8cfcdfa7b9d8,26/06/2023 00:14:00,ESCANER
22933,"Chiquimula",20,"Quezaltepeque",9,3598,400,135,125,3,2,0,7,272,10,0,282,0,282,--,400,118,272,282,282,Algún campo sin dato,1,6262e5d4e02c7575c9958245a89b08931e6670baccd35290b10f2f8e3e1d8102,26/06/2023 01:59:44,ESCANER
22934,"Chiquimula",20,"Quezaltepeque",9,3598,400,141,108,2,2,3,5,261,6,2,269,0,269,1,397,127,261,269,269,,1,c46453a61121040fb22ba9eb55edbe8fe566e6403e5a988ff5f2c1355a3ef525,26/06/2023 02:50:13,ESCANER
22935,"Chiquimula",20,"Quezaltepeque",9,3598,400,145,105,4,2,0,2,258,6,0,264,0,264,--,400,136,258,264,264,Algún campo sin dato,1,a9387a3a2902554f734d08515e1ee9904c3b987dcd4d82e40d683a43898f8704,26/06/2023 02:11:24,ESCANER
22936,"Chiquimula",20,"Quezaltepeque",9,3598,400,169,93,4,2,0,5,273,3,1,277,0,277,--,400,123,273,277,277,Algún campo sin dato,1,6aaf469c79c9afa92d23b695cd291b5feb9a3de11052b82b8c29ea20e10823b3,26/06/2023 02:23:12,ESCANER
22937,"Chiquimula",20,"Quezaltepeque",9,3598,400,175,101,5,3,0,4,288,3,0,291,0,291,--,400,109,288,291,291,Algún campo sin dato,1,27773ca924ec1e8a2230e52b546033b6a1154cdf82818ac54ddf0c44c42797dd,26/06/2023 02:04:08,ESCANER
22938,"Chiquimula",20,"Quezaltepeque",9,3598,326,164,89,0,4,1,3,261,1,0,262,0,262,--,326,61,261,262,262,Algún campo sin dato,1,eb335e071a4850b77ff5aea23c86e1479109898ed30264f07f40cff8ddd211f9,26/06/2023 02:31:40,ESCANER
22939,"Chiquimula",20,"Quezaltepeque",9,3598,326,103,75,4,3,1,2,188,2,0,190,0,190,--,326,136,188,190,190,Algún campo sin dato,1,e6a953a67333661de82a67606e7c72bbcc2e05ecb2827cbd13cc02e08db0b0c1,26/06/2023 02:30:24,ESCANER
22940,"Chiquimula",20,"Quezaltepeque",9,3599,400,164,112,7,14,1,4,302,10,3,315,0,315,--,400,85,302,315,315,Algún campo sin dato,1,5a991d5a915958379efab2e3fe1dc5a1fabb3088ed3602cfbf3986d07fcb8dbb,26/06/2023 03:02:03,ESCANER
22941,"Chiquimula",20,"Quezaltepeque",9,3599,400,135,153,5,3,0,4,300,11,2,313,0,313,--,400,87,300,313,313,Algún campo sin dato,1,479a8323b86fd28f54f167a36f274acbf221eae8e9da44c4c54fb593e1024147,26/06/2023 03:21:35,ESCANER
22942,"Chiquimula",20,"Quezaltepeque",9,3599,400,111,174,2,12,0,4,303,6,0,309,0,309,--,400,91,303,309,309,Algún campo sin dato,1,760bfd849915c2fc1538bef7548d1bb2c3e59ffc1c44572ab73a77044126e851,26/06/2023 00:24:10,ESCANER
22943,"Chiquimula",20,"Quezaltepeque",9,3599,400,145,123,2,6,0,1,277,2,2,281,0,281,--,380,99,277,281,281,Algún campo sin dato,1,db92c415cb09601b02888fe280f5423f2082df9c46b327c16819b4cc5d20a9d2,26/06/2023 02:39:43,ESCANER
22944,"Chiquimula",20,"Quezaltepeque",9,3599,400,123,133,5,7,0,0,268,6,3,277,0,277,--,400,123,268,277,277,Algún campo sin dato,1,ed749af50c7c615595181c099e5e3ede21f4803afdc1c18b9d4f960424891775,26/06/2023 03:45:58,ESCANER
22945,"Chiquimula",20,"Quezaltepeque",9,3600,400,150,132,2,6,1,0,291,4,3,298,0,298,--,376,78,291,298,298,Algún campo sin dato,1,aec06336373c23bdbfe499c8fb04fe656d2479a97583240a674f5fd55b306491,26/06/2023 01:22:37,ESCANER
22946,"Chiquimula",20,"Quezaltepeque",9,3600,237,112,70,2,5,0,4,193,0,0,193,0,193,--,234,41,193,193,193,Algún campo sin dato,1,9bf22b8bf42987b650deb48f207dbb98df92d35791149f8044fe1268c1622585,26/06/2023 00:36:18,ESCANER
22947,"Chiquimula",20,"Quezaltepeque",9,3600,237,96,59,4,3,1,0,163,3,0,166,0,166,--,237,71,163,166,166,Algún campo sin dato,1,184ddc116e0339ae6b11e361d3d942d9c3a8b152334b20101e54eb27338df207,25/06/2023 22:39:35,ESCANER
22948,"Chiquimula",20,"Quezaltepeque",9,3601,380,143,106,7,0,0,0,256,14,6,276,0,276,0,378,104,256,276,276,,1,57b8ca8b4ff3a4181cbad71c686ad8155ab34c740df52a5d6e8773a256885b88,26/06/2023 03:51:15,ESCANER
22949,"Chiquimula",20,"Quezaltepeque",9,3601,380,138,127,8,2,1,2,278,13,5,296,0,296,3,380,84,278,296,296,,1,1872411e43d2c1b4e07e126ebd0fc292eaae7530173214db2e993c16701b991b,26/06/2023 03:53:05,ESCANER
22950,"Chiquimula",20,"Quezaltepeque",9,3601,380,131,80,7,3,1,0,222,4,2,228,0,228,0,380,152,222,228,228,,1,7ae04305930162729584c441b14ce29fdb560ad3499102cd5c866c687caa5011,26/06/2023 03:59:00,ESCANER
22951,"Chiquimula",20,"Quezaltepeque",9,3601,291,101,60,9,0,0,1,171,1,1,173,0,173,--,291,118,171,173,173,Algún campo sin dato,1,689d55bfcc79821f8ebc99e0db952cb533d583fcd563e286eb41847d7cefaa61,26/06/2023 04:27:20,ESCANER
22952,"Chiquimula",20,"Quezaltepeque",9,3601,291,107,77,4,0,0,0,188,2,2,192,0,192,--,291,99,188,192,192,Algún campo sin dato,1,ad88b32ebf65c76dce857870315f2a08f7269f2ba030a3c6b424bdf38d25c83c,26/06/2023 05:52:05,ESCANER
22953,"Chiquimula",20,"Quezaltepeque",9,3602,380,103,165,4,1,2,1,276,8,2,286,0,286,--,385,99,276,286,286,Algún campo sin dato,1,00a0c6be8d56de97c05fff07d41e90781914f3bf3835a6bd8456c59f3d2d9114,26/06/2023 02:58:21,ESCANER
22954,"Chiquimula",20,"Quezaltepeque",9,3602,380,86,168,4,1,3,0,262,11,8,281,0,281,3,380,99,262,281,281,,1,1df40bc6fb8ba3f228cbc8d7a3f5525f3c2e2ea81ced171d12f7cae52512b80a,26/06/2023 02:53:29,ESCANER
22955,"Chiquimula",20,"Quezaltepeque",9,3602,376,89,134,4,0,4,0,231,10,5,246,0,246,--,373,127,231,246,246,Algún campo sin dato,1,1f81e0f7c866e80c86ebf8a81fb197e39b4f14f5c320e400eea1bc6894f353fd,26/06/2023 03:08:33,ESCANER
22956,"Chiquimula",20,"Quezaltepeque",9,3602,375,105,156,4,0,2,0,267,2,1,270,0,270,0,372,102,267,270,270,,1,f4a10957c73f782ddac4895bb96671cb70813dfd09902916a8690ac4b324774a,26/06/2023 03:13:48,ESCANER
22957,"Chiquimula",20,"Quezaltepeque",9,3603,380,174,107,2,2,0,0,285,8,2,295,0,295,--,380,85,285,295,295,Algún campo sin dato,1,61d123c694cb99d5e17a16db6585e7dbfcca1884a3b1f023b61ae80ac4d06314,26/06/2023 02:30:10,ESCANER
