TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24,24,100.0000,24,100.0000,0,9348,6482,69.3410

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,CABAL,ELEFANTE,VICTORIA,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22984,"Chiquimula",20,"San Jacinto",10,3609,400,115,117,7,7,0,1,6,253,16,3,272,0,272,2,400,128,253,272,272,,1,116fb922998b32b4408275677bff96a1a2193b0312286038232e7bb2b95b7766,26/06/2023 03:20:23,ESCANER
22985,"Chiquimula",20,"San Jacinto",10,3609,400,123,139,4,4,2,4,7,283,12,7,302,0,302,--,400,98,283,302,302,Algún campo sin dato,1,40940148097b01d329fca333fcc5efc5f15a0ccc527248fa13e5e74c2a143d96,26/06/2023 01:20:02,ESCANER
22986,"Chiquimula",20,"San Jacinto",10,3609,400,120,133,4,6,0,0,1,264,17,6,287,0,287,--,406,119,264,287,287,Algún campo sin dato,1,503e2bc2e2505498f52aac223661c942d0492e7d5f38e1a88349f4d02d5559de,26/06/2023 01:57:33,ESCANER
22987,"Chiquimula",20,"San Jacinto",10,3609,400,152,131,1,4,0,1,2,291,16,7,314,0,314,--,400,86,291,314,314,Algún campo sin dato,1,2cf30326ee05ba214ddf09b9af71c7a551a4cf08ffd998199e8bdb59c39dc87e,26/06/2023 03:09:09,ESCANER
22988,"Chiquimula",20,"San Jacinto",10,3609,400,126,140,4,8,1,1,6,286,16,9,311,0,311,--,400,89,286,311,311,Algún campo sin dato,1,67a1c67a25ed72ff8206418758986eb5f61870b9c11063f36565c6811535a244,26/06/2023 02:07:31,ESCANER
22989,"Chiquimula",20,"San Jacinto",10,3609,400,128,151,3,2,3,1,7,295,13,6,314,1,315,0,400,85,295,314,315,,1,4dd936e6cb9496fc1209f02eed68608a482d31104ad29be18b58472bfde143ad,26/06/2023 04:32:45,ESCANER
22990,"Chiquimula",20,"San Jacinto",10,3609,400,141,176,4,6,1,0,1,329,12,7,348,0,348,--,409,52,329,348,348,Algún campo sin dato,1,b2696b7509b09f539b202bba72be53e86e9ce2339ca019a8f2f85e5338907801,26/06/2023 02:17:30,ESCANER
22991,"Chiquimula",20,"San Jacinto",10,3609,400,121,158,4,3,2,0,7,295,10,3,308,0,308,--,400,92,295,308,308,Algún campo sin dato,1,d7946ff98ae4de8b089254cf2bdfef79c9a42f8158a685e144debc2bf82dbef1,26/06/2023 04:37:52,ESCANER
22992,"Chiquimula",20,"San Jacinto",10,3610,400,135,151,5,3,1,0,4,299,11,6,316,0,316,--,400,84,299,316,316,Algún campo sin dato,1,24d6cf051431d2d5c26605da561250e939605873044b115f8b900a2d7b8c94f9,26/06/2023 03:24:49,ESCANER
22993,"Chiquimula",20,"San Jacinto",10,3610,400,81,164,9,2,7,3,10,276,13,6,295,0,295,--,400,105,276,295,295,Algún campo sin dato,1,a94936885f5c9f6f4d85759773ad3c2d9de97de8369fa44b3d609eed51874e5a,26/06/2023 04:28:02,ESCANER
22994,"Chiquimula",20,"San Jacinto",10,3610,400,97,182,5,4,1,0,3,292,6,3,301,0,301,--,400,99,292,301,301,Algún campo sin dato,1,dc3d845bb33281c7cd44646360856df5d3a54afe857c64dd92b0d3fa0a9c9a61,26/06/2023 04:22:42,ESCANER
22995,"Chiquimula",20,"San Jacinto",10,3610,400,76,173,11,3,1,2,5,271,12,5,288,0,288,--,400,112,271,288,288,Algún campo sin dato,1,23fd032c42ef3e2f4da8112d2a9402e5724b3a6b51c0b75a0608b0f8eab78901,26/06/2023 04:46:39,ESCANER
22996,"Chiquimula",20,"San Jacinto",10,3611,400,99,143,3,3,0,0,3,251,4,1,256,0,256,--,400,144,251,256,256,Algún campo sin dato,1,7d515d0015d880c06ec13f6f7482967c951e0e882956246ebbecb8de9da547ab,26/06/2023 03:18:49,ESCANER
22997,"Chiquimula",20,"San Jacinto",10,3611,400,112,138,3,1,0,0,6,260,9,0,269,1,270,1,400,130,260,269,270,,1,4f15648a5244ec91065324834bcadda7a7347c86c86cd77bb98861bd6f06ddf9,26/06/2023 00:47:23,ESCANER
22998,"Chiquimula",20,"San Jacinto",10,3611,400,115,119,3,5,0,0,7,249,3,2,254,0,254,--,400,146,249,254,254,Algún campo sin dato,1,c180f4e0a2664f78a96c71ef1100d45b8ccfc03df6d1fb70e70172250f38360e,26/06/2023 02:19:21,ESCANER
22999,"Chiquimula",20,"San Jacinto",10,3611,400,112,116,8,2,1,5,0,244,7,3,254,1,255,--,400,145,244,254,255,Algún campo sin dato,1,650210ca20320cb5633c41504c228eb458923bd066e9b30f1be64867f6ac2f40,26/06/2023 01:56:59,ESCANER
23000,"Chiquimula",20,"San Jacinto",10,3612,400,88,117,0,3,1,1,9,219,14,3,236,0,236,1,400,164,219,236,236,,1,2093665e3e957719e97884f4afa4d378eb8cf2287f8b3efe427d6340d373a85f,26/06/2023 01:19:02,ESCANER
23001,"Chiquimula",20,"San Jacinto",10,3612,400,93,133,4,3,0,1,5,239,4,2,245,0,245,--,400,155,239,245,245,Algún campo sin dato,1,4f684229d7205dcc450511f4af4131584903e231a8679a97b3a573f636068b29,26/06/2023 00:00:40,ESCANER
23002,"Chiquimula",20,"San Jacinto",10,3612,400,74,174,3,3,0,0,8,262,2,0,264,0,264,--,400,136,262,264,264,Algún campo sin dato,1,9b0c19647a090e9c45c0fffe0d9e9ac18a3184e5e942c3bd303b86fc67fbc831,26/06/2023 03:22:28,ESCANER
23003,"Chiquimula",20,"San Jacinto",10,3612,400,105,149,2,2,0,0,4,262,5,0,267,0,267,--,400,133,262,267,267,Algún campo sin dato,1,57da2d3badb01631249bce227770c461a958258d40284cce9e36c2a3a523f664,26/06/2023 00:35:20,ESCANER
23004,"Chiquimula",20,"San Jacinto",10,3613,400,106,135,0,2,0,1,7,251,5,1,257,1,258,--,400,142,251,257,258,Algún campo sin dato,1,992abf23aca91aadf51156179f7434a79484ec5ee44c214a6009e86547d85b78,26/06/2023 00:20:28,ESCANER
23005,"Chiquimula",20,"San Jacinto",10,3613,381,109,140,2,3,0,0,4,258,3,3,264,0,264,--,381,117,258,264,264,Algún campo sin dato,1,3e7119f4d8f45a35883a0d3c252f34d87760cb4fddf62a692f30246038a353ef,26/06/2023 02:03:21,ESCANER
23006,"Chiquimula",20,"San Jacinto",10,3613,381,102,104,4,3,0,1,6,220,10,2,232,0,232,--,381,149,220,232,232,Algún campo sin dato,1,381465835990d15a9ecd7634d81d9b83b41cfd538352c097c08c1f21ddd72813,26/06/2023 01:28:44,ESCANER
23007,"Chiquimula",20,"San Jacinto",10,3614,186,11,14,0,0,0,1,1,27,1,0,28,0,28,--,186,158,27,28,28,Algún campo sin dato,1,b279d6807d3fb090016ea967808bd66051655faed32e5f2b7fa1b4aa0ef30cdb,25/06/2023 21:54:55,ESCANER
