TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,16767,9195,54.8398

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CAMBIO,UNE,VAMOS,CABAL,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23008,"Chiquimula",20,"Ipala",11,3615,400,103,33,31,10,9,3,189,0,4,193,29,222,--,397,175,189,193,222,Algún campo sin dato,1,bd9cf9d18d031f54eed2f4cae9fec2e5ba785103f36eb44f12de41654c0b0107,26/06/2023 03:23:04,ESCANER
23009,"Chiquimula",20,"Ipala",11,3615,400,85,47,36,18,15,5,206,28,7,241,0,241,--,400,159,206,241,241,Algún campo sin dato,1,8f5fe98393a51435d4ac85b059b57aa55e5cdbecfdeb5874dd6d4ad82fe50e62,26/06/2023 03:40:48,ESCANER
23010,"Chiquimula",20,"Ipala",11,3615,400,97,14,76,11,8,5,211,22,10,243,0,243,--,400,157,211,243,243,Algún campo sin dato,1,c7be64ea67e96d42d9a6914455993e5740bc36656686eeb1f6655531eac805cc,26/06/2023 03:49:53,ESCANER
23011,"Chiquimula",20,"Ipala",11,3615,400,78,33,34,9,12,4,170,14,3,187,0,187,--,397,210,170,187,187,Algún campo sin dato,1,9bb64d13153b5f24434091267880133f4ac44b8a11fe68bb810da4f079969e46,26/06/2023 04:01:13,ESCANER
23012,"Chiquimula",20,"Ipala",11,3615,216,56,15,23,4,7,0,105,5,1,111,0,111,--,216,105,105,111,111,Algún campo sin dato,1,522db7f4d6dfa059b5b1e7253d0f06aa1d0b775a1c24f1a03f653932f81b52b7,26/06/2023 02:03:57,ESCANER
23013,"Chiquimula",20,"Ipala",11,3615,215,57,8,21,4,8,1,99,5,1,105,0,105,--,215,110,99,105,105,Algún campo sin dato,1,f163f79860754f70a55ee9e60a5347d4f96ae5205975a38463f9de9cbe86e53c,26/06/2023 04:08:26,ESCANER
23014,"Chiquimula",20,"Ipala",11,3616,400,114,35,52,4,11,5,221,21,11,253,0,253,--,400,147,221,253,253,Algún campo sin dato,1,22431443e21d44afeedb954998b1b8e1e3cf982dd6b767afcf81807198e3d7da,26/06/2023 04:23:00,ESCANER
23015,"Chiquimula",20,"Ipala",11,3616,400,94,36,47,3,8,4,192,15,7,214,0,214,--,400,186,192,214,214,Algún campo sin dato,1,9de7f1851223e535bb02e97bd4257afb8d477976be21a00531160d65a3236e22,26/06/2023 03:28:29,ESCANER
23016,"Chiquimula",20,"Ipala",11,3616,205,52,17,20,1,6,3,99,4,3,106,0,106,--,205,99,99,106,106,Algún campo sin dato,1,e2e40cadcfe0ca8cd24c90d0489d14a958565e5a786db80fd89b868acc90f34b,26/06/2023 04:21:57,ESCANER
23017,"Chiquimula",20,"Ipala",11,3616,204,57,14,20,1,1,3,96,2,2,100,0,100,--,204,104,96,100,100,Algún campo sin dato,1,3d0d9947e5fa6945bdaa6c5b69eb392b88a28e57e68d94ff5873010fc0923836,26/06/2023 04:10:32,ESCANER
23018,"Chiquimula",20,"Ipala",11,3617,400,108,33,17,7,10,3,178,15,7,200,0,200,--,400,200,178,200,200,Algún campo sin dato,1,b2ba6557138287d0788a0cbebfc1a286002a069d375121c1e07c35a99dcbc301,26/06/2023 02:05:58,ESCANER
23019,"Chiquimula",20,"Ipala",11,3617,400,132,31,39,7,11,6,226,18,8,252,0,252,--,400,148,226,252,252,Algún campo sin dato,1,24b6c636aaac8cffd6a388285aab4e4555c1fa1c1df818d0634df3bee4ac1fc8,26/06/2023 02:08:17,ESCANER
23020,"Chiquimula",20,"Ipala",11,3617,400,111,31,46,7,9,1,205,9,5,219,0,219,--,400,181,205,219,219,Algún campo sin dato,1,3fc3f14dbbe11ab07580558cc28b7ecaebb3365a235dab042a26feb92f3359f8,26/06/2023 02:26:09,ESCANER
23021,"Chiquimula",20,"Ipala",11,3617,217,75,13,14,8,5,3,118,5,0,123,2,125,--,217,92,118,123,125,Algún campo sin dato,1,a1287826f07ee1f792194c15bc6973bbf7daad9b381759fffb585a694fad1ef2,26/06/2023 02:13:45,ESCANER
23022,"Chiquimula",20,"Ipala",11,3617,217,63,16,22,2,5,5,113,3,0,116,0,116,--,217,101,113,116,116,Algún campo sin dato,1,791569f5e9b4f115e0e84c4ba3063b422ea7cb8bfb38a35a8c7a02e9ad87aecd,26/06/2023 02:15:41,ESCANER
23023,"Chiquimula",20,"Ipala",11,3618,400,71,67,69,7,26,6,246,13,6,265,0,265,--,400,135,246,265,265,Algún campo sin dato,1,2fac93cd48bfc6aa68fc098a85b4cc743baae750b311dc5b4aafb52f031aabc9,26/06/2023 04:15:38,ESCANER
23024,"Chiquimula",20,"Ipala",11,3618,325,66,28,57,7,12,3,173,15,5,193,0,193,--,325,132,173,193,193,Algún campo sin dato,1,37dcdd708816cb3fa6632fb47e8e04c0461bc76a9ea7f7a5affd8722d33c3a20,26/06/2023 05:50:17,ESCANER
23025,"Chiquimula",20,"Ipala",11,3618,325,66,43,45,1,26,4,185,6,1,192,0,192,--,325,133,185,192,192,Algún campo sin dato,1,8ecdb0c72cbf0e2c2527ca02a5ebab4e70b95e9e7942fdac836422ffc1bdbc98,26/06/2023 02:31:55,ESCANER
23026,"Chiquimula",20,"Ipala",11,3619,400,121,45,30,7,8,13,224,5,1,230,0,230,--,400,167,224,230,230,Algún campo sin dato,1,e4af2557e6ecf827ffcad2edfc7e034e93228c8de01535147ceb4cff78ec5619,26/06/2023 02:33:14,ESCANER
23027,"Chiquimula",20,"Ipala",11,3619,400,132,47,81,1,10,9,280,6,4,290,0,290,--,400,110,280,290,290,Algún campo sin dato,1,b6327c681609a19d391835faf16140e8a13fd5c70b2323132d9e51e990c9ed6b,26/06/2023 02:53:40,ESCANER
23028,"Chiquimula",20,"Ipala",11,3619,400,110,42,48,6,17,4,227,9,4,0,0,240,--,400,160,227,240,240,Algún campo sin dato,1,b841b4053f54bc5be4d928052b4732ad107ec86f95b8025af332053b9a6f3b4c,26/06/2023 04:40:32,ESCANER
23029,"Chiquimula",20,"Ipala",11,3619,318,96,35,26,8,8,8,181,4,0,185,0,185,--,318,133,181,185,185,Algún campo sin dato,1,14b76fd60f6053a5729b85a0c1407fa346947b2b0b4e341f433b7a067167339b,26/06/2023 02:57:25,ESCANER
23030,"Chiquimula",20,"Ipala",11,3619,318,82,26,36,8,10,5,167,2,1,170,--,--,--,--,--,167,170,170,Algún campo sin dato,1,2008d8cdca9e5f812ee072c51ae025f2657cc83036a62d8d6b101136b67953a1,26/06/2023 03:05:01,ESCANER
23031,"Chiquimula",20,"Ipala",11,3620,400,139,45,63,5,5,12,269,14,1,284,0,284,--,400,116,269,284,284,Algún campo sin dato,1,b93e33ae91fd21582abf8a31eee46da9d341a43f92332a5fb048eb6c14d37ae4,26/06/2023 04:50:44,ESCANER
23032,"Chiquimula",20,"Ipala",11,3620,400,117,38,97,5,10,9,276,15,5,296,0,296,--,400,104,276,296,296,Algún campo sin dato,1,f0d93464c54b5af422001fd8b8756a01bea63ac7778955498b60d2d736664d3b,26/06/2023 05:13:27,ESCANER
