TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
84,76,90.4761,76,90.4761,0,29016,15549,53.5876

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,TODOS,MLP,CAMBIO,UR,VALOR,CABAL,PPN,VICTORIA,UNE,VAMOS,VIVA,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23265,"Jalapa",21,"San Pedro Pinula",2,3651,400,14,15,9,3,2,52,27,15,3,26,52,2,1,221,27,10,258,0,258,--,400,142,221,258,258,Algún campo sin dato,1,12d73a419d4253c1adbdeb5c659d2e63bfae0fac6fc69ec8a827b3cc492ff161,26/06/2023 02:38:03,ESCANER
23266,"Jalapa",21,"San Pedro Pinula",2,3651,400,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23267,"Jalapa",21,"San Pedro Pinula",2,3651,400,10,15,7,1,3,57,23,16,1,34,59,1,1,228,32,6,266,0,266,--,400,134,228,266,266,Algún campo sin dato,1,33e0f5bf9acb343e01ed3001dd8399dcff269be9deef0ba816d18afe2bfe657a,26/06/2023 00:41:12,ESCANER
23268,"Jalapa",21,"San Pedro Pinula",2,3651,400,19,11,12,5,2,61,27,18,3,31,57,1,1,248,22,16,286,0,286,--,400,114,248,286,286,Algún campo sin dato,1,8342e0bc5fd76cbaf4df38303b948ad031bd43aea1c588c52b34589c28f26138,26/06/2023 02:46:42,ESCANER
23269,"Jalapa",21,"San Pedro Pinula",2,3651,400,10,14,6,8,2,126,15,12,2,28,39,1,0,263,21,9,293,0,293,--,400,107,263,293,293,Algún campo sin dato,1,666a5712e45315e60ab758710340c195450f3ca4f40f5ce51678f1a34736229f,26/06/2023 17:59:31,ESCANER
23270,"Jalapa",21,"San Pedro Pinula",2,3652,400,11,12,2,10,2,91,25,12,0,34,40,2,0,241,36,3,280,0,280,--,400,120,241,280,280,Algún campo sin dato,1,27e3caace84057975ba73d45403d7129a9c52943b90380781f1c82ad2bc5fe14,26/06/2023 02:34:58,ESCANER
23271,"Jalapa",21,"San Pedro Pinula",2,3652,400,9,18,5,3,4,47,52,10,0,26,48,1,1,224,20,8,252,0,252,--,400,148,224,252,252,Algún campo sin dato,1,c4c756988dfb6f8316d07d3dd83d5e269fdcccaf3290f2252b46aa17f911dd70,26/06/2023 02:44:42,ESCANER
23272,"Jalapa",21,"San Pedro Pinula",2,3653,400,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23273,"Jalapa",21,"San Pedro Pinula",2,3653,400,17,24,2,3,1,85,33,9,1,27,40,0,0,242,12,3,257,0,257,--,400,143,242,257,257,Algún campo sin dato,1,2cd852b594c054ccd0d7b3f0a077634ada8c892eb196f037cc95235e7e72c8f2,26/06/2023 03:01:28,ESCANER
23274,"Jalapa",21,"San Pedro Pinula",2,3654,400,9,17,2,1,0,67,18,12,1,22,50,1,0,200,17,7,224,0,224,0,398,174,200,224,224,,1,35473d017d03f2a226ffd051761de22c07c532d8ffad1a9a63e19438528be239,26/06/2023 03:05:54,ESCANER
23275,"Jalapa",21,"San Pedro Pinula",2,3654,400,10,18,6,1,5,71,20,17,0,30,37,3,0,218,19,7,244,0,244,--,396,152,218,244,244,Algún campo sin dato,1,64618e23ad55df1008c07cea85dbb1b6be1aae1af05e06919296f378bb4b7097,26/06/2023 03:00:09,ESCANER
23276,"Jalapa",21,"San Pedro Pinula",2,3654,400,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23277,"Jalapa",21,"San Pedro Pinula",2,3655,400,18,19,3,4,0,62,29,10,0,21,45,0,0,211,13,4,228,0,228,--,400,172,211,228,228,Algún campo sin dato,1,68cbe30fb006909dfa20d2d1d4b8b925a57d288c9d45a6f90fc4a40021a18832,26/06/2023 02:47:30,ESCANER
23278,"Jalapa",21,"San Pedro Pinula",2,3655,400,14,17,2,2,1,75,29,7,0,15,37,0,1,200,0,2,202,1,203,--,395,192,200,202,203,Algún campo sin dato,1,19bfcd82cc91f714b7cfa7b3f799be7415cc2ebb41c11310dc4c7d9793582b3d,26/06/2023 02:57:28,ESCANER
23279,"Jalapa",21,"San Pedro Pinula",2,3656,400,10,15,3,2,3,54,19,13,0,23,58,0,0,200,4,0,204,0,204,0,401,197,200,204,204,,1,df18415ed49d9d4099d91e761b05b0248de309be87ee99a037c3be9808302d51,26/06/2023 00:32:01,ESCANER
23280,"Jalapa",21,"San Pedro Pinula",2,3656,400,19,29,1,3,0,60,27,9,1,24,31,1,0,205,3,2,210,0,210,0,397,187,205,210,210,,1,8b250e548a96209d8e11794818dd5064dd1d8eeffe4a6188795abc37d4f7adfe,26/06/2023 00:37:56,ESCANER
23281,"Jalapa",21,"San Pedro Pinula",2,3656,367,4,15,3,4,2,44,17,12,0,19,24,1,0,145,3,0,148,0,148,0,367,219,145,148,148,,1,58543ceeecb3108ead4bf350ad2ff8fcefebbde18d65c9f4ed39809bdd055f81,26/06/2023 00:44:37,ESCANER
23282,"Jalapa",21,"San Pedro Pinula",2,3656,366,11,9,2,3,1,50,9,12,3,25,51,0,0,176,4,2,182,0,182,0,366,184,176,182,182,,1,c724a2f341d42dc41effd2b197c5483f2283def3c5f39fb00415c2ca67e88c99,26/06/2023 00:49:36,ESCANER
23283,"Jalapa",21,"San Pedro Pinula",2,3657,400,8,10,4,0,6,37,41,18,0,36,68,3,0,231,15,4,250,0,250,0,400,150,231,250,250,,1,8d67c1c62675c059eb0e72cd7a9398d5da41f8e92a182b013618ebf661a27876,26/06/2023 02:54:57,ESCANER
23284,"Jalapa",21,"San Pedro Pinula",2,3657,400,13,12,4,3,8,41,28,11,0,31,65,4,0,220,25,5,250,0,250,--,400,150,220,250,250,Algún campo sin dato,1,4962e520baf7443da67d9b928f98935a84ccce1c8acc9c2162baac92322db658,26/06/2023 03:01:19,ESCANER
23285,"Jalapa",21,"San Pedro Pinula",2,3657,400,9,13,4,5,2,55,30,13,0,39,78,1,1,250,27,6,283,0,283,--,400,117,250,283,283,Algún campo sin dato,1,96f6a4f85f86731d2921505331ddee9b66827d4f409d4e61761b807407f44ab4,26/06/2023 19:57:03,ESCANER
23286,"Jalapa",21,"San Pedro Pinula",2,3657,400,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23287,"Jalapa",21,"San Pedro Pinula",2,3657,400,9,13,14,1,5,64,23,7,0,41,64,1,3,245,23,6,274,0,274,--,397,123,245,274,274,Algún campo sin dato,1,4ae8f3ee782090efb2d1a846319c4ea2a6fa885cba2c7c37daac9d371c468834,26/06/2023 03:13:50,ESCANER
