TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,17896,12146,67.8699

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,CABAL,CCC,EL CANTARO,VALOR,VAMOS,BIEN,CCM,VOS,UNE,VIVA,AZUL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23349,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,7,20,127,98,4,16,0,40,0,3,0,0,315,8,4,327,0,327,--,400,73,315,327,327,Algún campo sin dato,1,00de784bd3d5dd81165eb204b44359957419d360c4ba6ac8f0f4b4a3d8432179,26/06/2023 00:48:18,ESCANER
23350,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,1,14,121,109,5,22,4,41,0,7,0,0,324,7,2,333,0,333,--,400,67,324,333,333,Algún campo sin dato,1,9b411c919ee22089421d276c86ed9190e201260ad6b7c7a9b5c523e78eb0b77d,26/06/2023 02:48:35,ESCANER
23351,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,3,21,116,107,4,21,3,42,1,3,0,0,321,0,0,321,0,321,--,380,59,321,321,321,Algún campo sin dato,1,6bfec25ea1c8d74a913f3cdedec63792f9ba2754093be5f901b23e2b5a77c22c,26/06/2023 00:09:39,ESCANER
23352,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,3,24,100,119,2,22,9,33,2,7,2,1,324,12,0,336,0,336,--,400,64,324,336,336,Algún campo sin dato,1,0dd058d2e795597bf03f9bf7f8c95a439c466abed392f7372d540f537bfc42ea,26/06/2023 01:28:51,ESCANER
23353,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,5,22,112,117,4,23,3,39,0,4,1,0,330,13,2,345,0,345,--,--,--,330,345,345,Algún campo sin dato,1,a339375cf43f13d9ef25178f81be9ea1081c9f841e5bd7f5d2903eb07f32ff83,26/06/2023 04:46:14,ESCANER
23354,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,3,21,86,127,2,23,1,41,1,5,1,0,311,8,2,321,0,321,--,400,79,311,321,321,Algún campo sin dato,1,c464aa3d58f02ff461db850f439922f0b42380323b427add163a8e06c56e3580,26/06/2023 02:34:26,ESCANER
23355,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,3,21,89,98,6,25,2,53,0,6,0,0,303,16,2,321,0,321,--,400,79,303,321,321,Algún campo sin dato,1,2b579634ee47b16328247487444b49d2c1be1f0b71d69dc628fa2cadafe23d14,26/06/2023 05:17:30,ESCANER
23356,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,3,16,92,80,1,16,3,42,2,4,0,0,259,6,0,265,0,265,--,400,135,259,265,265,Algún campo sin dato,1,3465fcf787db3ae3b6d3bfc316050281e0bc32565fa93a21b1273eb389318b3f,26/06/2023 04:49:01,ESCANER
23357,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,3,7,104,82,6,15,2,37,0,5,0,0,261,3,1,265,0,265,--,400,135,261,265,265,Algún campo sin dato,1,ca4f264886ad41bef3115920be31bab89b3a4f53d9267148e7c293d711533f52,26/06/2023 00:36:46,ESCANER
23358,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,4,11,93,87,9,17,3,37,1,5,0,0,267,7,2,276,0,276,--,400,124,267,276,276,Algún campo sin dato,1,3125a3897bc8ab7cbbbe90a9784c9dc5019cb5cfacb004dfb44180cbca7988d7,26/06/2023 03:02:27,ESCANER
23359,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,3,20,92,95,1,18,5,45,1,7,0,0,287,7,6,300,0,300,0,400,100,287,300,300,,1,6852bb3be957bf27f06b2bdf6721c43a8ca27e368ef59189c8c987c1951d2d69,26/06/2023 00:16:38,ESCANER
23360,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,5,25,91,106,2,19,2,40,0,1,0,1,292,14,3,309,0,309,--,400,91,292,309,309,Algún campo sin dato,1,a3194a85eb5836df6e4c76c902e82099b7f731336aaa41e7a6d43172d8a37da8,26/06/2023 00:22:03,ESCANER
23361,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,6,26,91,125,2,26,1,37,5,1,0,0,320,2,1,323,0,323,--,400,77,320,323,323,Algún campo sin dato,1,d8e07986d118c580e361b128cf2dc35f2dc446000ae001a91617ea358abdc4b8,26/06/2023 03:29:25,ESCANER
23362,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,3,17,110,110,0,19,5,40,0,4,1,0,309,8,2,319,0,319,--,399,80,309,319,319,Algún campo sin dato,1,43df7584c80656096022fddd2ec6685167d204cff6b4498eb1bd4e52c97e2f6f,26/06/2023 02:33:11,ESCANER
