TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
18,18,100.0000,18,100.0000,0,6918,4793,69.2830

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,CABAL,VAMOS,UNE,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23398,"Jalapa",21,"San Manuel Chaparrón",4,3677,400,110,82,82,4,0,278,12,2,292,0,292,--,400,108,278,292,292,Algún campo sin dato,1,3a24914f72e362456cee7c4140d3e1b3ecb5266cb13a2070a636c94d20791b80,26/06/2023 00:43:03,ESCANER
23399,"Jalapa",21,"San Manuel Chaparrón",4,3677,400,122,80,79,6,2,289,14,5,308,0,308,--,400,92,289,308,308,Algún campo sin dato,1,8e1b863f58ba52e118cf8574c43703f865a40a7c0ab36f0cf6eeee41c70b2f01,26/06/2023 00:48:54,ESCANER
23400,"Jalapa",21,"San Manuel Chaparrón",4,3677,400,122,81,82,1,5,291,17,1,309,0,309,--,400,91,291,309,309,Algún campo sin dato,1,3df8e4b4d1f635eb6950270c5f0ffb8a1c7f6483c97ab5bc2c492803914e6417,26/06/2023 00:52:21,ESCANER
23401,"Jalapa",21,"San Manuel Chaparrón",4,3677,400,92,117,78,5,3,295,12,5,312,0,312,--,400,88,295,312,312,Algún campo sin dato,1,00a825712cfb25077bec8f0bc223f414bf6fd8550c510782fe8a648b8e110f2a,25/06/2023 22:20:07,ESCANER
23402,"Jalapa",21,"San Manuel Chaparrón",4,3677,400,86,132,89,4,1,312,12,4,328,0,328,--,400,72,312,328,328,Algún campo sin dato,1,2d25794fb2e8e3f9830f1549bf3efd049b7d71c3d3869e76109ddde548b5a43a,25/06/2023 23:22:23,ESCANER
23403,"Jalapa",21,"San Manuel Chaparrón",4,3677,400,102,106,95,3,1,307,7,3,317,0,317,--,400,82,307,317,317,Algún campo sin dato,1,aa2eee5f29d48ba027752a5918ddf866ebcbcabbb16d3b6671098caf2201e882,26/06/2023 00:45:33,ESCANER
23404,"Jalapa",21,"San Manuel Chaparrón",4,3677,400,100,92,95,3,1,291,7,3,301,0,301,1,400,99,291,301,301,,1,d302269cbbd2633994e5efee7e5a66f023ca1694af5f7c9f788d84f72e7fa794,26/06/2023 00:13:33,ESCANER
23405,"Jalapa",21,"San Manuel Chaparrón",4,3677,400,87,113,98,4,0,302,5,1,308,0,308,--,400,92,302,308,308,Algún campo sin dato,1,297e5677e14dc7a6df2a24093b24bdb50de8cba38d2d03963c501b5d99033b02,26/06/2023 01:52:51,ESCANER
23406,"Jalapa",21,"San Manuel Chaparrón",4,3677,400,96,98,62,4,2,262,6,1,269,0,269,--,400,131,262,269,269,Algún campo sin dato,1,ad6f436353a646e8e6f0d44ff5412fbfd13298d1d72875ba4e75318204d9037d,25/06/2023 23:01:40,ESCANER
23407,"Jalapa",21,"San Manuel Chaparrón",4,3677,400,95,79,66,4,6,250,13,3,266,0,266,--,400,134,250,266,266,Algún campo sin dato,1,aed994f07ee00fe06bf47498112f09f7524161607c3ed013d285423ad0eca3b0,26/06/2023 00:24:50,ESCANER
