TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
33,33,100.0000,33,100.0000,0,12035,9205,76.4852

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,MLP,VICTORIA,CABAL,VAMOS,BIEN,UNE,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23416,"Jalapa",21,"San Carlos Alzatate",5,3681,400,25,5,12,128,120,3,14,2,309,11,4,324,0,324,--,400,76,309,324,324,Algún campo sin dato,1,002e7070f82d61bc89c520eaff98148cdf250e8b8338748db9aa2e193a27e1ac,26/06/2023 02:14:02,ESCANER
23417,"Jalapa",21,"San Carlos Alzatate",5,3681,400,27,4,15,146,119,2,10,4,327,6,10,343,0,343,--,397,54,327,343,343,Algún campo sin dato,1,d12bff4026f1018e548e30c4578006aa85623a863f70b9804cacf408797f9587,26/06/2023 01:12:11,ESCANER
23418,"Jalapa",21,"San Carlos Alzatate",5,3681,400,25,5,5,124,129,2,6,2,298,14,9,321,0,321,--,400,79,298,321,321,Algún campo sin dato,1,e018243d78b8eda6476c70fc012f075d21399e81d79c3f0ca3df86035fec4e6f,26/06/2023 03:43:38,ESCANER
23419,"Jalapa",21,"San Carlos Alzatate",5,3681,400,27,1,9,139,132,0,6,3,317,20,6,343,0,343,--,400,57,317,343,343,Algún campo sin dato,1,671e8d733c140ade4f8e165944fdeab005fa37246156cd404b3a03e6ec5d1d15,26/06/2023 05:14:21,ESCANER
23420,"Jalapa",21,"San Carlos Alzatate",5,3681,400,40,4,9,143,118,0,5,1,320,11,1,332,0,332,--,400,68,320,332,332,Algún campo sin dato,1,8394884ba75b766a21efca9f4fbf81dd63962a48f21c3a5e64fd023fa9f3f1f0,26/06/2023 01:24:41,ESCANER
23421,"Jalapa",21,"San Carlos Alzatate",5,3681,400,36,0,7,132,115,1,4,3,298,7,2,307,0,307,--,400,93,298,307,307,Algún campo sin dato,1,5f8cfbd6a5724466a87c1c0d9382553f09e1ead17e7ae7640eb65597bb971f28,26/06/2023 00:41:57,ESCANER
23422,"Jalapa",21,"San Carlos Alzatate",5,3681,400,36,1,6,108,117,2,6,2,278,8,3,289,0,289,--,400,117,278,289,289,Algún campo sin dato,1,df2e11711e8ada4f4075107d14ccb4155651e976216d4998ed7fe77ce4714dfc,26/06/2023 00:49:21,ESCANER
23423,"Jalapa",21,"San Carlos Alzatate",5,3681,400,21,2,6,114,132,0,1,0,276,12,3,291,0,291,--,400,109,276,291,291,Algún campo sin dato,1,705c4dc6fa8d95093cc6c1c0308b21733ad22f2d839509e1f72dcdcb399b797e,26/06/2023 02:31:16,ESCANER
23424,"Jalapa",21,"San Carlos Alzatate",5,3681,400,24,2,8,108,120,3,7,1,273,7,4,284,0,284,--,400,116,273,284,284,Algún campo sin dato,1,f0a95ad763f19ca97b08f70fd6ce09d1b3ffbbd0b9f4f76f2d4e7ca5a0ee21e9,26/06/2023 00:24:58,ESCANER
23425,"Jalapa",21,"San Carlos Alzatate",5,3681,400,24,2,6,119,127,0,1,1,280,3,0,283,0,283,--,400,117,280,283,283,Algún campo sin dato,1,a51bf525500a2948f5054885f25cba700cd9e8210e1b913cea04d92e178fc8c4,26/06/2023 02:43:01,ESCANER
23426,"Jalapa",21,"San Carlos Alzatate",5,3682,400,38,4,5,131,102,0,4,3,287,3,2,292,0,292,--,400,108,287,292,292,Algún campo sin dato,1,447ae1b00f8fba941ecd4182c4f370d3c277613f0afb801eb34a9a362b2723e4,26/06/2023 00:52:24,ESCANER
23427,"Jalapa",21,"San Carlos Alzatate",5,3682,400,26,3,7,122,104,0,0,1,263,7,2,272,0,272,--,400,128,263,272,272,Algún campo sin dato,1,91f85f1e80d7a47c4b688e1b16a99fdef1f92ab1dabbd99eac000dd5ee8dcd32,26/06/2023 01:27:42,ESCANER
