TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
63,63,100.0000,63,100.0000,0,23367,12448,53.2717

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,UNE,CABAL,VAMOS,MLP,UR,VALOR,PHG,CAMBIO,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23502,"Jalapa",21,"Mataquescuintla",7,3692,400,33,73,91,30,2,3,3,3,0,0,238,8,2,248,10,248,0,400,152,238,248,258,Sumas Asentadas sin cuadrar,1,e03a2ef9784ed426913620106541f8ae051ac17f83aa21c93a79b4bfa0513f87,26/06/2023 00:23:58,ESCANER
23503,"Jalapa",21,"Mataquescuintla",7,3692,400,21,69,84,33,1,6,2,9,1,1,227,12,3,242,0,469,--,--,--,227,242,242,Sumas Asentadas sin cuadrar,1,9c79b8e57cb362df8ae40c0cc3c0f51c605ecfffdea85e60ed75d3f1b9d29ef6,26/06/2023 00:40:48,ESCANER
23504,"Jalapa",21,"Mataquescuintla",7,3692,400,17,78,85,27,3,6,2,5,0,2,225,15,0,240,0,240,--,400,160,225,240,240,Algún campo sin dato,1,13cb8611b6d887a065f3217a7839c98aeb2f6f8ec58d41c2efbbdc8813f5b872,25/06/2023 23:22:39,ESCANER
23505,"Jalapa",21,"Mataquescuintla",7,3692,400,18,54,77,42,1,5,4,0,1,2,204,10,7,221,0,221,--,400,179,204,221,221,Algún campo sin dato,1,5736af977ef3f1ebfbb36b253867eff1b4dca4f5fa3f8dbd58917b1c9cb200f9,25/06/2023 23:39:53,ESCANER
23506,"Jalapa",21,"Mataquescuintla",7,3692,400,21,70,79,38,1,2,5,8,0,1,225,14,1,240,0,240,--,--,--,225,240,240,Algún campo sin dato,1,344292239fe9799fa2e5a7880bed0be41e533afd25dd4980bbe3648e8baa4390,25/06/2023 23:36:52,ESCANER
23507,"Jalapa",21,"Mataquescuintla",7,3692,400,14,98,114,39,0,0,3,1,0,0,269,10,7,286,0,286,--,395,109,269,286,286,Algún campo sin dato,1,5c1a9823949d35f922b41376d979f87761a4de545aded12cbebdc0889f831cc2,25/06/2023 23:29:57,ESCANER
23508,"Jalapa",21,"Mataquescuintla",7,3692,400,33,73,76,29,2,2,12,3,0,1,231,13,2,246,0,246,--,400,154,231,246,246,Algún campo sin dato,1,05bdc1cc2ec503a4797de4362f72af38db39338698ee266821b397b81e15292a,25/06/2023 23:33:31,ESCANER
23509,"Jalapa",21,"Mataquescuintla",7,3692,400,17,63,79,27,1,2,4,3,0,1,197,10,4,211,0,211,--,400,186,197,211,211,Algún campo sin dato,1,74eea705e84c5828070a0c516da3b9f32d27e9ea56f98830897e1bd75aa96842,26/06/2023 00:07:01,ESCANER
23510,"Jalapa",21,"Mataquescuintla",7,3692,400,24,68,75,40,1,1,4,3,0,1,217,12,1,230,--,--,--,--,--,217,230,230,Algún campo sin dato,1,dfb98169c5657cdce7bf4de296b3b0cfb9b7f044447f4830fe2ef5a453e22c52,26/06/2023 01:13:53,ESCANER
23511,"Jalapa",21,"Mataquescuintla",7,3692,400,23,61,89,38,1,0,3,2,1,2,220,3,2,--,--,225,--,400,175,220,225,225,Algún campo sin dato,1,042ce11987627f76f6ae195900893b51262f5d82dedceb68166690d65087ae4c,25/06/2023 23:25:42,ESCANER
23512,"Jalapa",21,"Mataquescuintla",7,3692,400,23,71,80,40,0,2,6,6,0,0,228,10,2,240,0,240,--,400,160,228,240,240,Algún campo sin dato,1,e2e4659388c76c7de24d411c29cb531a6df16ed9cb356ef6ccb3b60a9c64f7df,26/06/2023 00:16:03,ESCANER
23513,"Jalapa",21,"Mataquescuintla",7,3692,400,22,58,85,29,1,3,5,4,0,0,207,2,2,211,0,211,--,400,189,207,211,211,Algún campo sin dato,1,7fd31d2e74e6693c1da85b757998e59cc634130145cc89d2f30a5d935df3b61d,25/06/2023 22:58:57,ESCANER
23514,"Jalapa",21,"Mataquescuintla",7,3692,400,13,47,74,27,1,5,8,2,0,1,178,4,0,182,0,182,--,400,218,178,182,182,Algún campo sin dato,1,cc070b8d9c4fe6083dd7b8f29665d9befe82a2caa7b80a7b360798e40eba2d25,25/06/2023 23:07:30,ESCANER
23515,"Jalapa",21,"Mataquescuintla",7,3692,276,10,41,54,16,2,1,3,8,0,2,137,0,0,137,0,137,--,273,136,137,137,137,Algún campo sin dato,1,9da39cc5c46946c681ae6c9a9eaea11cf1732c25be2bb587d33c864f9d9c2c70,25/06/2023 23:20:37,ESCANER
23516,"Jalapa",21,"Mataquescuintla",7,3692,275,7,27,46,16,0,1,4,1,0,1,103,4,0,107,0,107,--,275,168,103,107,107,Algún campo sin dato,1,371db571e14ec354d9bf03f10dead9ca1138914c7c5afcf2d648466f382b1e32,25/06/2023 22:35:32,ESCANER
23517,"Jalapa",21,"Mataquescuintla",7,3693,400,12,115,74,39,0,1,5,3,0,1,250,12,1,263,0,263,--,400,137,250,263,263,Algún campo sin dato,1,56685a57738c5d3cd8461fff9f0f5e333f1ca05e9d44aa4ab4b84e907ee4010b,26/06/2023 00:43:52,ESCANER
23518,"Jalapa",21,"Mataquescuintla",7,3693,400,25,108,62,48,3,2,8,2,1,0,259,10,3,272,0,272,--,400,128,259,272,272,Algún campo sin dato,1,9054b3b3ac8f4336d12b3c640cae46e3f88b0361bd12ec0383380f79e5c83d71,25/06/2023 23:58:34,ESCANER
23519,"Jalapa",21,"Mataquescuintla",7,3693,400,14,109,71,40,0,6,4,3,1,1,249,16,5,270,0,270,--,400,130,249,270,270,Algún campo sin dato,1,2f0c9cf9e2e3a424c82ff9526392b36e4b0fc7e0dacd966875baba88d25f5244,25/06/2023 23:06:34,ESCANER
23520,"Jalapa",21,"Mataquescuintla",7,3693,400,8,105,94,38,2,6,5,3,1,1,263,14,1,278,0,278,--,400,122,263,278,278,Algún campo sin dato,1,c26ebf4f5ecc310db719fc4113fb05d8045ab4095e4f6d3d870564e98bd0ab05,26/06/2023 00:50:13,ESCANER
23521,"Jalapa",21,"Mataquescuintla",7,3693,400,12,125,67,43,2,1,5,4,0,0,259,13,5,277,123,400,--,400,123,259,277,400,Algún campo sin dato,1,774d047cdd6ad750c5a3f5fa399af397187f6a79ea95a784037d86e8ac4304c5,26/06/2023 01:01:23,ESCANER
23522,"Jalapa",21,"Mataquescuintla",7,3693,400,9,111,72,41,3,0,2,3,0,0,241,15,4,260,0,260,--,400,140,241,260,260,Algún campo sin dato,1,9285b9cfcccc5295181579c5d9255e8b68ee2c165bc336e1b269b3eb91bcd01b,26/06/2023 01:09:55,ESCANER
23523,"Jalapa",21,"Mataquescuintla",7,3693,400,13,104,68,62,0,2,4,7,0,1,283,13,9,283,0,283,--,400,117,261,283,283,Sumas Asentadas sin cuadrar,1,aa5effffddb6277e55c8af8f4c60265888e01f0307d48e761dffae7458649dc4,26/06/2023 00:44:51,ESCANER
23524,"Jalapa",21,"Mataquescuintla",7,3694,400,10,102,69,42,1,3,4,5,0,1,251,14,0,251,0,251,--,397,146,237,251,251,Sumas Asentadas sin cuadrar,1,d8993017b54644f4d690ef24a558d1b59a7735a09ba5f01cf61b8f42cdac077b,26/06/2023 00:31:26,ESCANER
