TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
194,194,100.0000,193,99.4845,1,70903,34895,49.2151

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,MLP,UR,TODOS,CONSOL,PHG,VICTORIA,CAMBIO,AZUL,VAMOS,UNE,CCTPFDJ,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23565,"Jutiapa",22,"Jutiapa",1,3702,400,29,15,1,0,10,3,7,0,3,6,28,10,0,3,0,115,9,5,129,0,129,--,400,271,115,129,129,Algún campo sin dato,1,22709787652c1f5f41db9ad6d206adfda706ab142c52937512c9b0b208540908,26/06/2023 00:16:20,ESCANER
23566,"Jutiapa",22,"Jutiapa",1,3702,400,19,13,2,2,12,0,14,3,1,5,24,8,1,5,1,110,8,4,122,0,122,0,400,278,110,122,122,,1,c92db84c685c8227958c333c899e0aeca6ecb38f49611de5b7e02af4d7ec55cf,26/06/2023 00:06:54,ESCANER
23567,"Jutiapa",22,"Jutiapa",1,3702,400,26,4,4,1,9,0,10,1,2,18,20,4,0,4,4,107,14,4,125,0,125,--,400,275,107,125,125,Algún campo sin dato,1,f8907a2e915d7aacb98cddd7f51f8d11904897ac371e57aa3df87b6f79c11c0c,26/06/2023 01:42:19,ESCANER
23568,"Jutiapa",22,"Jutiapa",1,3702,400,22,10,4,0,6,1,4,1,4,4,25,11,0,0,0,92,18,12,122,0,122,0,400,278,92,122,122,,1,488b0fbaefd7d44bb28735d2cb1a4f6d58e5f2d39a510a61c87ab4f207e77935,26/06/2023 01:00:12,ESCANER
23569,"Jutiapa",22,"Jutiapa",1,3702,400,24,10,2,1,7,1,9,0,2,5,33,9,1,6,0,110,15,3,128,0,128,--,400,272,110,128,128,Algún campo sin dato,1,349506d62cd8bd6beed5e6aefc8a519d6c6e2a99b28d4e919b5ad14f11c52817,25/06/2023 23:33:09,ESCANER
23570,"Jutiapa",22,"Jutiapa",1,3702,400,18,15,4,1,8,2,5,2,1,6,38,10,2,2,1,115,8,2,125,0,125,--,400,275,115,125,125,Algún campo sin dato,1,1e6842da3d16c5f0417949120f5eee99c3a0a30c6c8300571b8bc765a430bb94,25/06/2023 23:21:42,ESCANER
23571,"Jutiapa",22,"Jutiapa",1,3702,400,22,19,1,3,6,0,6,1,3,9,38,9,0,0,3,120,9,5,134,0,134,--,400,266,120,134,134,Algún campo sin dato,1,3aa60a05be175b005242a8ffab3da2b048964a223b4681bb69425dddca64b3a2,26/06/2023 02:12:23,ESCANER
23572,"Jutiapa",22,"Jutiapa",1,3702,400,27,14,1,1,8,4,11,0,3,6,55,6,0,3,1,140,20,4,164,0,164,--,400,236,140,164,164,Algún campo sin dato,1,770259977e08eff3ce0637b2186f4ca86c301ce086fb12941f392f62a9e6c0ea,26/06/2023 03:38:19,ESCANER
23573,"Jutiapa",22,"Jutiapa",1,3702,400,22,23,3,3,5,0,13,4,2,7,46,7,0,2,1,138,9,4,151,0,151,--,400,249,138,151,151,Algún campo sin dato,1,a94da34ef088adc7caa8edebb984a348b73bdf2cfeab45870f0ae42abe3d640d,26/06/2023 01:10:06,ESCANER
23574,"Jutiapa",22,"Jutiapa",1,3702,400,25,15,0,2,6,2,7,1,3,5,38,7,0,2,0,113,11,0,124,0,124,--,400,276,113,124,124,Algún campo sin dato,1,fd3626d5487055df1d64b5c1f1838e0d082e076bec5d36a852959cd57b675939,25/06/2023 22:14:50,ESCANER
