TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,17762,10562,59.4640

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,COCIPROG,AZUL,CAMBIO,PHG,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23759,"Jutiapa",22,"El Progreso",2,3726,400,158,3,44,30,3,238,17,1,256,0,256,--,400,144,238,256,256,Algún campo sin dato,1,98d73849f38206a967a6180882f88cf5c5cc91e325fbbcfd7fc7192b79cae4bd,25/06/2023 23:19:04,ESCANER
23760,"Jutiapa",22,"El Progreso",2,3726,400,150,12,48,20,6,236,20,2,258,0,236,--,400,142,236,258,258,Sumas Asentadas sin cuadrar,1,a4f4cde2297ff4a0cf6c58e065341f9e335d417835aea04cee35fc28ff7c2f21,25/06/2023 22:21:52,ESCANER
23761,"Jutiapa",22,"El Progreso",2,3726,400,174,9,40,25,3,251,29,1,281,0,281,--,400,119,251,281,281,Algún campo sin dato,1,81ace48f3da5cf9eb728b4fe842fe8930f399ac7f946af4fbc0a8a80df4d4981,26/06/2023 01:10:59,ESCANER
23762,"Jutiapa",22,"El Progreso",2,3726,400,182,12,45,18,2,259,25,1,285,0,285,0,400,115,259,285,285,,1,023f565a6043d654a8a18019c0672caf57c0546b2fe5d9cc538c0cc992ba033b,26/06/2023 01:52:56,ESCANER
23763,"Jutiapa",22,"El Progreso",2,3726,400,172,10,36,33,2,253,18,1,272,0,272,--,400,128,253,272,272,Algún campo sin dato,1,9fd7bcc0973f1ad99838e061927accb0f3a8417cdd707fe8de39a718c7e7f911,26/06/2023 02:03:24,ESCANER
23764,"Jutiapa",22,"El Progreso",2,3726,400,157,9,36,35,6,243,15,3,261,0,261,--,392,131,243,261,261,Algún campo sin dato,1,22efe93f497fd152bac36866820626308f44987b6bf26e3cda229c7b92450799,25/06/2023 22:54:15,ESCANER
23765,"Jutiapa",22,"El Progreso",2,3726,400,177,13,37,25,3,255,16,2,273,0,273,--,400,127,255,273,273,Algún campo sin dato,1,dd248edcf7b889b0a35be2a6a0100fefd393572ae3233066db3ec5f717f2cfb4,26/06/2023 01:32:31,ESCANER
23766,"Jutiapa",22,"El Progreso",2,3726,400,158,7,41,23,2,231,8,0,239,0,239,--,400,161,231,239,239,Algún campo sin dato,1,00ca6dfc057ed7a2f7da6a160f0faa2b73cb8bc788f127e88e381ba88900b470,25/06/2023 23:15:20,ESCANER
23767,"Jutiapa",22,"El Progreso",2,3726,400,145,16,29,31,5,226,5,3,234,4,238,--,400,162,226,234,238,Algún campo sin dato,1,7d9f810b8fd28a808b68d975bbf085f153c7f1bc7490fb8f2ec3015977af4d60,26/06/2023 00:28:32,ESCANER
23768,"Jutiapa",22,"El Progreso",2,3726,400,168,4,45,32,3,252,17,3,272,0,272,--,400,128,252,272,272,Algún campo sin dato,1,b2e9d9e76057c886b556707da41a448a4d2bf75ef99a5d33505ccc2264a910aa,26/06/2023 00:26:02,ESCANER
23769,"Jutiapa",22,"El Progreso",2,3726,400,156,10,50,28,7,251,12,4,267,0,267,--,400,133,251,267,267,Algún campo sin dato,1,2cb1ae44bb06de445c285dbe77d74c1b1aae813efa668996b73e383d2304b4e3,25/06/2023 23:39:58,ESCANER
23770,"Jutiapa",22,"El Progreso",2,3726,400,146,10,41,24,1,222,19,3,244,0,244,--,400,156,222,244,244,Algún campo sin dato,1,c5bbedb66c64bd4a9930bc2f8f00a99d133f014a294b7254add3d33df5bdbee3,26/06/2023 02:02:31,ESCANER
23771,"Jutiapa",22,"El Progreso",2,3726,400,156,10,34,16,1,217,12,2,231,0,231,0,400,169,217,231,231,,1,e3098018ef3a727e154b9345815bf66efb0ce82d478e5997a13f6abeca39dc69,26/06/2023 01:07:39,ESCANER
23772,"Jutiapa",22,"El Progreso",2,3726,400,145,12,45,25,1,228,17,1,246,0,246,--,400,154,228,246,246,Algún campo sin dato,1,92eda15bb1b130502b3cf0f8b6d064ebe2332ed14c3e61248b9da34fccb26a32,26/06/2023 00:17:16,ESCANER
23773,"Jutiapa",22,"El Progreso",2,3726,400,167,9,53,14,2,245,2,2,249,0,249,0,400,151,245,249,249,,1,10c15ac7f0859ec93148db45bff6e645409b753bdbb79d2ff8ae990338ff2ab3,25/06/2023 23:08:40,ESCANER
23774,"Jutiapa",22,"El Progreso",2,3726,363,139,7,77,19,4,246,9,0,255,0,255,--,363,108,246,255,255,Algún campo sin dato,1,20ec5bc761ac75dc1295beadec4ebb624c616dd38c777462e2155b17c9582a71,26/06/2023 00:34:49,ESCANER
23775,"Jutiapa",22,"El Progreso",2,3726,363,122,7,32,14,1,176,18,1,195,0,195,--,363,168,176,195,195,Algún campo sin dato,1,7ee37501b9d5f55a43ca9161c52a4209f29ce3333f0272f4ed9184c46586b1d5,26/06/2023 00:23:37,ESCANER
23776,"Jutiapa",22,"El Progreso",2,3727,328,121,6,93,4,3,227,22,3,252,0,252,--,328,76,227,252,252,Algún campo sin dato,1,fff0f2138314d6c502b91fa747c0d1777ed2a5ec9fcf84b63f50d5a9185d4dd7,25/06/2023 23:06:17,ESCANER
23777,"Jutiapa",22,"El Progreso",2,3727,327,106,6,89,6,5,212,5,3,220,0,220,0,324,104,212,220,220,,1,af76cd74908cce0451234ab893075a486d8a4ac2ca574d4420b7b897d52b54c5,26/06/2023 01:24:50,ESCANER
23778,"Jutiapa",22,"El Progreso",2,3728,400,200,11,32,12,2,257,33,2,292,0,292,--,400,108,257,292,292,Algún campo sin dato,1,a8fd8367d98b4edb9d65b518b85f8c3c828a7b1cda9baaf558eb8cc3d48cd0f5,26/06/2023 00:31:10,ESCANER
23779,"Jutiapa",22,"El Progreso",2,3728,326,146,3,28,19,3,199,9,2,210,0,210,--,326,116,199,210,210,Algún campo sin dato,1,957a7e135b8cf3725baee92b6bfe9062082286a6125255d88bd1447b4e64f6f5,26/06/2023 00:28:40,ESCANER
23780,"Jutiapa",22,"El Progreso",2,3728,325,129,6,22,17,5,179,10,2,191,0,191,--,325,134,179,191,191,Algún campo sin dato,1,db686cab76e6600bd045c19490766179285ddf306afac64618dd7692eac1280b,26/06/2023 00:23:07,ESCANER
23781,"Jutiapa",22,"El Progreso",2,3729,400,161,3,25,47,4,240,21,5,266,0,266,--,397,131,240,266,266,Algún campo sin dato,1,8464eae8fd434ea4d0600c3a1bd3f16fbc775c3e5e1bee7205a367767ed63e03,26/06/2023 04:39:33,ESCANER
23782,"Jutiapa",22,"El Progreso",2,3729,400,146,5,32,43,1,227,32,7,266,1,267,--,397,130,227,266,267,Algún campo sin dato,1,05ce0409d2edf898bc022a644d435ee043e2477adede5088d45d78d6549a71a2,26/06/2023 03:05:14,ESCANER
23783,"Jutiapa",22,"El Progreso",2,3729,400,130,3,29,45,2,209,24,5,238,0,238,--,396,158,209,238,238,Algún campo sin dato,1,b110b2b72a2a278b34cea751821203b2f710ce7c660ceb4f9446bc7315ee6c01,26/06/2023 03:07:50,ESCANER
23784,"Jutiapa",22,"El Progreso",2,3729,400,138,4,29,46,4,221,21,2,244,0,244,--,402,158,221,244,244,Algún campo sin dato,1,7d40066fac04054ce700cb0524c0828df86219aa5c9de9ec6c79a4e2e7437f65,26/06/2023 00:24:16,ESCANER
23785,"Jutiapa",22,"El Progreso",2,3729,280,99,3,20,26,0,148,6,2,156,0,156,--,280,124,148,156,156,Algún campo sin dato,1,12061666d66b66eb9cd956d0738e75c7c985f1074f1fdc6e3edf50652e8bf1b2,25/06/2023 23:08:37,ESCANER
23786,"Jutiapa",22,"El Progreso",2,3729,279,87,4,21,30,1,143,5,0,148,0,148,--,279,128,143,148,148,Algún campo sin dato,1,209c41f662f9858f5edb5b408f585571e9737299bcc379a785f6bf2d716747eb,26/06/2023 00:21:15,ESCANER
23787,"Jutiapa",22,"El Progreso",2,3730,358,143,7,33,15,7,205,35,5,245,0,245,--,358,113,205,245,245,Algún campo sin dato,1,280a35602609100fe7867aa39629cb5c75ed0b7c2f8a2418aba896e11faca2bc,26/06/2023 00:22:20,ESCANER
23788,"Jutiapa",22,"El Progreso",2,3730,357,133,7,30,12,2,184,20,2,206,0,206,0,357,151,184,206,206,,1,f4efeca0b1873ba5e33e5195c8ccebc57296a767400d368edf6744ef6d1c0260,25/06/2023 22:02:14,ESCANER
