TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,20321,12937,63.6632

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,CAMBIO,CABAL,TODOS,VICTORIA,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23806,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,137,0,10,127,1,1,4,280,8,3,291,0,291,0,400,109,280,291,291,,1,ad73cb7b968246426b9d293399bc08c376a9919157b6acebc4d417b073b0e60e,25/06/2023 23:16:01,ESCANER
23807,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,169,1,4,118,2,0,7,301,12,2,315,0,315,0,400,85,301,315,315,,1,a63773159df9b288faec3eeb399485e75aab4433916d8aba023cd8ae32c9389f,26/06/2023 00:01:06,ESCANER
23808,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,151,0,6,137,2,0,6,302,10,2,314,0,314,0,400,86,302,314,314,,1,1b5b2bf1663114e925706a28930317aacdbaa21127a32c0a5ddb651ec826e311,26/06/2023 00:25:41,ESCANER
23809,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,132,1,5,123,0,0,4,265,3,0,268,0,268,0,400,132,265,268,268,,1,c53021ce65aba062821ee973128df07b535b1343f5e6215c6f2db9842c868689,25/06/2023 22:17:12,ESCANER
23810,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,151,0,3,122,0,1,6,283,6,1,290,0,290,0,400,110,283,290,290,,1,b9d0942a34610553f679552bc35c14ae0622c450cc69e2084d68a9965d1a75b8,26/06/2023 00:38:30,ESCANER
23811,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,125,2,4,121,1,0,1,254,11,1,266,0,266,0,400,134,254,266,266,,1,f3ec78006293ba8adb6a818be1a5acb821e5e99fef9e36ed1ba47078527df83a,26/06/2023 00:03:49,ESCANER
23812,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,122,0,11,125,4,1,3,266,6,2,274,0,274,0,400,126,266,274,274,,1,7ad144876c1868b20649389f33b77b569c5ccc5ee64df604077be03815010ccf,26/06/2023 00:27:24,ESCANER
23813,"Jutiapa",22,"Santa Catarina Mita",3,3735,292,97,0,9,106,3,0,1,216,3,0,219,0,219,0,292,73,216,219,219,,1,22b86fc8da7d0a7810c89a66e09fa7f7ca2d05382c5efc7381251edd83785f0f,25/06/2023 23:34:29,ESCANER
23814,"Jutiapa",22,"Santa Catarina Mita",3,3735,291,71,0,0,73,0,0,0,144,3,1,148,0,148,0,291,143,144,148,148,,1,00a29d385a90f363f03f27823253e1e6ceecc8a44ba857b243d807edc5a7aae4,25/06/2023 21:53:26,ESCANER
23815,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,107,0,8,127,6,2,1,277,23,3,303,0,303,--,400,97,251,277,277,Sumas Asentadas sin cuadrar,1,c1bff075a336cfd969b24391fe25936867b30fddd3ee6ff5cf6e1f0c83ff7c27,26/06/2023 05:07:35,ESCANER
23816,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,121,1,4,122,4,1,0,253,18,2,273,0,273,--,400,127,253,273,273,Algún campo sin dato,1,03e01fd07a707182f45d586e815cc249a5913f97baec4f0c1ad27548498492be,26/06/2023 04:47:19,ESCANER
23817,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,135,1,2,106,1,0,3,248,21,6,275,0,275,0,400,125,248,275,275,,1,22a59193a107a00d927b8561040ac50fa8ac7f05f5999d1e89ab374203db9ee3,25/06/2023 23:18:48,ESCANER
23818,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,123,3,6,119,3,2,4,260,18,4,282,0,282,0,400,118,260,282,282,,1,2eb537e3cda76bc1e93ba16c19c49c88f135945724dff333f67c52fccf8c0bec,26/06/2023 01:57:21,ESCANER
23819,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,110,0,2,125,3,1,2,243,10,7,260,0,260,0,400,140,243,260,260,,1,494488430cc91dc7c15d48ca14672da64118c5bd9a01cd374dbbbcbd7bea5916,26/06/2023 00:09:04,ESCANER
23820,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,112,0,3,106,5,1,0,227,21,6,254,0,254,0,400,146,227,254,254,,1,e111e52cb6489096e5f57553f243b5bafc0f932cdcf65889c47f21726c3b7c27,26/06/2023 02:34:42,ESCANER
23821,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,117,0,6,110,0,1,1,235,15,2,252,0,252,0,400,148,235,252,252,,1,0f8450a2b7b046922b94e57890888ba37ecd810594973c837d59d3bd7a0d84d3,25/06/2023 23:25:07,ESCANER
23822,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,130,1,5,101,3,2,3,245,19,8,272,0,272,0,400,128,245,272,272,,1,a1df6a79ef4cdfde53701f8957674fe31eb74b62126096cf64f112903b3dba15,25/06/2023 23:10:30,ESCANER
