TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
37,37,100.0000,37,100.0000,0,14397,8379,58.1996

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PHG,CAMBIO,TODOS,UNE,CABAL,MLP,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23861,"Jutiapa",22,"Agua Blanca",4,3743,400,61,100,59,29,6,4,1,0,260,14,2,276,0,276,--,400,121,260,276,276,Algún campo sin dato,1,f609f9202edc617f5b6d289b65fb74b33427e14c4d8e76a89475aeab656b08ae,26/06/2023 02:33:40,ESCANER
23862,"Jutiapa",22,"Agua Blanca",4,3743,400,41,137,70,13,3,3,0,1,268,10,1,279,0,279,--,400,121,268,279,279,Algún campo sin dato,1,2c9c9b3931442878f13a8dcecbccbb462c8210813983118e13f94382b19ac6b1,26/06/2023 02:20:13,ESCANER
23863,"Jutiapa",22,"Agua Blanca",4,3743,400,40,131,51,28,5,7,1,0,263,12,1,276,0,276,1,400,124,263,276,276,,1,999dd73b4b4c6f51cff3a78a6eec7d058e1bde90c1d398ef0e321d4592f9ecee,26/06/2023 01:21:09,ESCANER
23864,"Jutiapa",22,"Agua Blanca",4,3743,400,53,133,71,19,7,5,0,1,289,14,97,304,0,400,--,400,97,289,400,400,Sumas Asentadas sin cuadrar,1,d7b5938c7c43dbb9a6d29c6ad3d801057e5159a2f8119e5dd19911520b7fbd5f,26/06/2023 01:21:23,ESCANER
23865,"Jutiapa",22,"Agua Blanca",4,3743,400,44,126,69,18,1,5,0,1,264,10,127,401,0,401,--,401,122,264,401,401,Algún campo sin dato,1,c3fe64aa9425e14f71cc482e47c74d234817cebe0fc9beede15af36892ff4fce,26/06/2023 01:18:32,ESCANER
23866,"Jutiapa",22,"Agua Blanca",4,3744,400,36,93,58,29,5,4,3,1,229,6,7,242,1,243,--,400,157,229,242,243,Algún campo sin dato,1,25431558fc152d55e24f0baa4ed7139001ddbf826456c35f0ab29bc5971d7537,26/06/2023 00:43:54,ESCANER
23867,"Jutiapa",22,"Agua Blanca",4,3744,400,30,109,67,20,4,11,0,1,242,6,2,250,0,250,--,400,150,242,250,250,Algún campo sin dato,1,4ea3675f8195866f03c6ba6af2328739e970b236d456b2f2ff625af09bcf256f,26/06/2023 00:07:49,ESCANER
23868,"Jutiapa",22,"Agua Blanca",4,3744,400,33,103,66,16,4,6,1,0,229,18,4,251,0,251,--,400,149,229,251,251,Algún campo sin dato,1,f98c39ef8ecf178c3bd58746138d12ba250ff749b4ddcd4b38f75d523e024256,26/06/2023 01:21:00,ESCANER
23869,"Jutiapa",22,"Agua Blanca",4,3744,400,36,108,63,24,5,4,0,0,240,3,1,244,0,244,--,400,156,240,244,244,Algún campo sin dato,1,65d84c199cae39010fb0295d434d3a50a1d3d3ba0c8be4ee2649678caa26d17c,26/06/2023 00:46:24,ESCANER
23870,"Jutiapa",22,"Agua Blanca",4,3745,346,27,87,63,12,5,6,--,1,201,5,1,--,--,--,1,346,138,201,207,207,Algún campo sin dato,1,78d55e2f242cd65d15e65497896475e413b1717591a2a03508ecc0d455f2c7d9,25/06/2023 23:23:42,ESCANER
23871,"Jutiapa",22,"Agua Blanca",4,3745,346,24,90,52,14,1,9,1,1,192,4,0,196,0,196,--,346,150,192,196,196,Algún campo sin dato,1,8dd01bf8866fe488a4ce380be147632ec80c18c82c58234edb5512d6123ee4fb,26/06/2023 00:55:51,ESCANER
23872,"Jutiapa",22,"Agua Blanca",4,3746,400,35,134,58,12,13,3,2,1,275,12,5,275,0,275,--,401,126,258,275,275,Sumas Asentadas sin cuadrar,1,9fa233b536c26e15d9b074595642489ee7ba8ae6370562008a3a368829cfe21c,26/06/2023 01:13:14,ESCANER
