TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
85,85,100.0000,85,100.0000,0,33332,18504,55.5142

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,COCIMI,CABAL,AZUL,CAMBIO,UNE,VALOR,VOS,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23898,"Jutiapa",22,"Asunción Mita",5,3751,400,54,40,3,6,7,96,0,0,206,22,10,238,0,238,--,400,162,206,238,238,Algún campo sin dato,1,f54c24c531108540b974b3df7f687234e3843c987916f2f78add0973b48a3621,26/06/2023 00:49:14,ESCANER
23899,"Jutiapa",22,"Asunción Mita",5,3751,400,68,48,8,5,5,81,1,1,217,15,4,236,0,236,--,400,164,217,236,236,Algún campo sin dato,1,1c4bbb97aa2f3b9015858fd218d52f5e1e7d93836e11c668997ea6cc9e3f80f7,26/06/2023 00:31:48,ESCANER
23900,"Jutiapa",22,"Asunción Mita",5,3751,400,56,45,2,6,6,76,0,0,191,10,3,204,0,204,--,400,196,191,204,204,Algún campo sin dato,1,09ec7e4c29b36596118b82bf561d3524b9127c8947dc04c1b118bf4757502e2c,26/06/2023 00:12:24,ESCANER
23901,"Jutiapa",22,"Asunción Mita",5,3751,400,56,34,4,2,6,92,0,0,194,15,3,212,0,212,--,400,188,194,212,212,Algún campo sin dato,1,8dfb024ce01b088c57a9ebcb366fbc4b82529b89555cd37edf180aa52e65581f,25/06/2023 23:36:08,ESCANER
23902,"Jutiapa",22,"Asunción Mita",5,3751,400,50,41,4,4,4,79,0,0,182,21,3,206,0,206,1,400,193,182,206,206,,1,df91284b9a12d251799a789093b643416ea4f2e876923065f44a41d1f556ce4c,26/06/2023 00:03:15,ESCANER
23903,"Jutiapa",22,"Asunción Mita",5,3751,400,41,39,1,3,6,91,1,2,184,14,0,198,0,198,--,400,202,184,198,198,Algún campo sin dato,1,5d86404e93190efdce03fdc42c0119d3ea45e629bbb8189395bbbd4d8b860314,25/06/2023 23:52:01,ESCANER
23904,"Jutiapa",22,"Asunción Mita",5,3751,243,33,10,1,2,0,78,0,0,124,1,0,125,0,125,--,243,118,124,125,125,Algún campo sin dato,1,4ead7a8822816d4986092b8886641612048ff4b876f0c80f0c5bcbffd134e0cb,25/06/2023 23:03:12,ESCANER
23905,"Jutiapa",22,"Asunción Mita",5,3751,243,23,12,1,1,0,39,0,0,76,3,1,80,0,80,--,243,163,76,80,80,Algún campo sin dato,1,e79bf3e556a7fcb08d5abcbd8b24d0cfb922bc949a4786614d8e4b2532164642,25/06/2023 22:42:13,ESCANER
23906,"Jutiapa",22,"Asunción Mita",5,3752,400,103,43,6,8,11,36,0,3,210,22,4,236,0,236,--,400,164,210,236,236,Algún campo sin dato,1,1bbe948d63754a3305af5013be715f94e6ebb09ec9948cd02609b7256feb8717,26/06/2023 00:36:54,ESCANER
23907,"Jutiapa",22,"Asunción Mita",5,3752,262,89,29,4,6,4,17,0,2,151,16,1,168,0,168,--,262,94,151,168,168,Algún campo sin dato,1,96e492752418d98e2ca8bdc4e5efbbb805224d412dd9c8bf54508b57b1a6378e,25/06/2023 23:34:14,ESCANER
23908,"Jutiapa",22,"Asunción Mita",5,3752,261,59,18,4,4,3,27,0,1,116,3,1,120,0,120,--,258,138,116,120,120,Algún campo sin dato,1,52dbefb02fd3a6b02e7f7999173410853655978b14b2f080a6b43967b659694e,26/06/2023 00:09:13,ESCANER
23909,"Jutiapa",22,"Asunción Mita",5,3753,400,120,40,6,8,4,22,1,0,201,19,5,225,0,225,--,400,175,201,225,225,Algún campo sin dato,1,1645b4702cc955c56fe0acfad2d1f4dfe6b1752e04dadd98c94ee56b645609bc,25/06/2023 23:13:25,ESCANER
23910,"Jutiapa",22,"Asunción Mita",5,3753,400,117,53,5,10,5,37,0,0,227,20,5,252,0,252,--,400,148,227,252,252,Algún campo sin dato,1,9a0e58df0884c7281348be11991739437d778bf9bbbe6d7e0af39515d55a75a1,25/06/2023 23:46:23,ESCANER
23911,"Jutiapa",22,"Asunción Mita",5,3753,400,132,48,12,13,2,37,2,0,246,19,3,268,0,268,--,400,131,246,268,268,Algún campo sin dato,1,1bebb228eb5193c0eb7b2e7ff27b19064a0540db01b8a8579b4272c53ff057a7,26/06/2023 02:02:31,ESCANER
23912,"Jutiapa",22,"Asunción Mita",5,3753,400,125,39,5,11,2,28,2,0,212,9,3,224,0,224,--,400,176,212,224,224,Algún campo sin dato,1,16a6db79809c7774da53cfc6662ee442a6bd396c6dd3a27ed836667638c9ce80,25/06/2023 22:58:45,ESCANER
23913,"Jutiapa",22,"Asunción Mita",5,3753,400,117,38,3,11,4,23,0,0,196,18,2,216,0,196,--,400,184,196,216,216,Sumas Asentadas sin cuadrar,1,8768b95b710936c04be0cb6c4d90de136aae421bb38b695025544cf973496026,26/06/2023 01:03:16,ESCANER
23914,"Jutiapa",22,"Asunción Mita",5,3753,400,111,43,3,9,4,26,1,0,197,10,4,211,0,211,--,400,189,197,211,211,Algún campo sin dato,1,c3dfbb782d09237fcc48a3fd34090324a7644fd675b369c3181a860ffd7a1004,26/06/2023 01:20:54,ESCANER
23915,"Jutiapa",22,"Asunción Mita",5,3753,263,62,28,1,7,1,28,0,0,127,0,0,127,0,127,--,260,133,127,127,127,Algún campo sin dato,1,a80bc3b621eca3da64d853f65d25e32bcc2166ff78cba063c3b42f832f58b424,25/06/2023 23:20:56,ESCANER
23916,"Jutiapa",22,"Asunción Mita",5,3753,263,73,21,2,4,0,22,3,1,126,8,1,135,0,135,--,263,128,126,135,135,Algún campo sin dato,1,486ef4912b16151539c3af3d327899d03ccbcad15301052895122a00f5a47dff,26/06/2023 00:03:55,ESCANER
