TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
28,28,100.0000,28,100.0000,0,10619,7203,67.8312

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,VALOR,UNE,VIVA,P A N,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23983,"Jutiapa",22,"Yupiltepeque",6,3760,400,10,124,16,5,1,0,91,247,25,5,277,0,277,--,400,123,247,277,277,Algún campo sin dato,1,60d867ee6f924788b9d1248548e97111283bb5922259cb5055a0fcb6ab110fee,26/06/2023 00:00:19,ESCANER
23984,"Jutiapa",22,"Yupiltepeque",6,3760,400,18,118,13,14,3,0,93,259,30,6,295,0,295,--,400,105,259,295,295,Algún campo sin dato,1,f7a8bec5e77931be8e5a82e8e22017dbcbf4725ce99216f4f4554b23e38393d7,25/06/2023 22:41:09,ESCANER
23985,"Jutiapa",22,"Yupiltepeque",6,3760,400,9,142,6,10,1,1,105,274,24,7,305,0,305,--,403,98,274,305,305,Algún campo sin dato,1,fdf908d03ee33b81b3343fdb7e722b8d60d1f083bc5f46840a4e967db3f7f96b,26/06/2023 01:20:54,ESCANER
23986,"Jutiapa",22,"Yupiltepeque",6,3760,400,22,137,12,12,1,4,89,277,21,8,306,0,306,--,400,94,277,306,306,Algún campo sin dato,1,7c0e58f5f4c6a9e6ad63612b17a4cfd7c6b2f09deefa84a8e1f287a8f593d8f4,26/06/2023 01:42:45,ESCANER
23987,"Jutiapa",22,"Yupiltepeque",6,3760,400,17,139,9,8,1,1,104,279,20,5,304,0,304,--,400,96,279,304,304,Algún campo sin dato,1,a69f938b700e6b3f3f454817588b766925847f9b3e99d3a263caf7489be80da4,26/06/2023 00:58:58,ESCANER
23988,"Jutiapa",22,"Yupiltepeque",6,3760,400,15,127,8,13,3,2,115,283,28,4,315,0,315,--,400,85,283,315,315,Algún campo sin dato,1,6e59e6d0f0ce93695d588a1c3a3ec16a9a9728eb5f8a0034e860a6d16f2400d4,25/06/2023 23:33:44,ESCANER
23989,"Jutiapa",22,"Yupiltepeque",6,3760,400,13,127,11,5,1,1,98,256,33,9,298,0,298,--,400,102,256,298,298,Algún campo sin dato,1,ec298393091f1e31af8303f838c66084302f53ead5b766e305d9e95907244e0c,25/06/2023 23:01:45,ESCANER
23990,"Jutiapa",22,"Yupiltepeque",6,3760,400,14,145,10,8,1,1,97,276,17,3,296,0,296,--,400,104,276,296,296,Algún campo sin dato,1,4bf662723b303473037fd2f43735f51c48cde0c540ace635944df635203645fd,25/06/2023 23:21:15,ESCANER
23991,"Jutiapa",22,"Yupiltepeque",6,3760,400,17,125,18,7,2,2,86,257,6,3,266,0,266,--,401,135,257,266,266,Algún campo sin dato,1,42efc4df57bf5ae52790747490ee0261a28fa29a176701b083427efb462dfa3d,25/06/2023 23:19:23,ESCANER
23992,"Jutiapa",22,"Yupiltepeque",6,3760,400,19,110,5,10,2,1,101,248,10,2,260,0,260,--,400,140,248,260,260,Algún campo sin dato,1,6bc3af29c7b7d7a7df1271e8a3a8cb76df4c1eab73ede660daef9113518939b6,25/06/2023 22:29:01,ESCANER
23993,"Jutiapa",22,"Yupiltepeque",6,3760,400,13,134,17,3,4,0,81,252,14,3,269,0,269,--,399,130,252,269,269,Algún campo sin dato,1,7d7df712a394e52201b03501e4e5d6b12c41c7c60ec02e4d4a8f6b959a813c1a,25/06/2023 23:10:54,ESCANER
23994,"Jutiapa",22,"Yupiltepeque",6,3760,400,13,122,8,12,2,1,87,245,19,6,270,0,270,--,400,270,245,270,270,Algún campo sin dato,1,f319ee540515a19e8c1583a24ada769d9e4f1cfdbc5ab59823272f2f2f6085ef,25/06/2023 22:48:02,ESCANER
23995,"Jutiapa",22,"Yupiltepeque",6,3760,400,16,110,14,4,2,1,115,262,5,0,267,0,267,--,404,137,262,267,267,Algún campo sin dato,1,5916d9eb82c0f932ed63ff6eca51f25019ad64770b628ad9e74567c543c74922,25/06/2023 23:29:52,ESCANER
23996,"Jutiapa",22,"Yupiltepeque",6,3760,400,23,125,10,3,2,0,102,265,4,2,271,0,271,--,400,129,265,271,271,Algún campo sin dato,1,b8191284ce2820531a7d6cef320b4d26b83e1ec6bf4638e9c194a2fce6298f69,26/06/2023 01:01:43,ESCANER
23997,"Jutiapa",22,"Yupiltepeque",6,3760,400,18,128,17,4,2,3,87,259,7,1,0,0,267,--,400,133,259,267,267,Algún campo sin dato,1,42c6038dffad24b93f9e7d08a206cdc06e5916bfbaf6ec2f3ec6ff67f82b7ea9,26/06/2023 01:17:36,ESCANER
23998,"Jutiapa",22,"Yupiltepeque",6,3761,359,24,109,16,5,3,0,85,242,5,1,248,0,248,--,354,106,242,248,248,Algún campo sin dato,1,ea20e4acedb2717101eb3bebd7563d5ed52607cd64d7211b4ac0919c0f72341a,25/06/2023 23:53:17,ESCANER
23999,"Jutiapa",22,"Yupiltepeque",6,3761,359,11,100,11,8,3,2,92,227,12,2,241,0,241,--,359,113,227,241,241,Algún campo sin dato,1,5038483b9c1fe035d75dfb93889d3b963b80127b3edc9ea5a19b1d9e9986ff9d,26/06/2023 01:12:54,ESCANER
24000,"Jutiapa",22,"Yupiltepeque",6,3762,380,90,105,7,18,0,0,29,249,10,4,263,0,263,--,380,117,249,263,263,Algún campo sin dato,1,3aa197e295f3cb28ba1e05e4758ba955f43bc6cba49e98aff1923c06fe0e8762,25/06/2023 22:37:01,ESCANER
24001,"Jutiapa",22,"Yupiltepeque",6,3762,380,80,119,5,12,1,0,33,250,18,4,272,0,272,--,380,108,250,272,272,Algún campo sin dato,1,51126b69c2161803340b165022a3668263aaa6567120a5d26b2a339b4c78a4b4,26/06/2023 01:26:38,ESCANER
24002,"Jutiapa",22,"Yupiltepeque",6,3762,380,92,127,6,15,0,2,26,268,28,4,300,0,300,--,380,80,268,300,300,Algún campo sin dato,1,a3d0c069660fde1ee16dbc784fbd4a776543085efc1743d2acf0fce39446a957,26/06/2023 01:48:34,ESCANER
24003,"Jutiapa",22,"Yupiltepeque",6,3762,380,55,148,6,12,2,0,37,260,23,4,287,0,287,--,380,93,260,287,287,Algún campo sin dato,1,ad02932cbc75223ce271a5e3444ad0829cc94cb2aca20116c9e87e676573e8bf,25/06/2023 23:01:29,ESCANER
24004,"Jutiapa",22,"Yupiltepeque",6,3762,380,46,129,10,12,1,0,30,228,20,3,251,0,251,--,380,129,228,251,251,Algún campo sin dato,1,9617f7b90b38c7f7603e34fbc8d6ad5b5a6dacf3211aaed21def48dbcc97719f,26/06/2023 00:36:28,ESCANER
24005,"Jutiapa",22,"Yupiltepeque",6,3762,380,77,103,5,17,0,1,26,229,9,1,239,0,239,--,377,138,229,239,239,Algún campo sin dato,1,4063372cae8fa3f37e38154c6e5fb9afe26a56209725f2e5de42716bea9aecb4,26/06/2023 01:06:30,ESCANER
24006,"Jutiapa",22,"Yupiltepeque",6,3762,380,78,110,2,17,2,1,18,228,13,4,245,0,245,--,377,132,228,245,245,Algún campo sin dato,1,45bc595dbfd7cfa17927e7be1baa0f1b9d492971996ca3e5e131d43026d50627,26/06/2023 01:35:55,ESCANER
24007,"Jutiapa",22,"Yupiltepeque",6,3762,380,57,108,5,10,1,0,36,217,4,0,221,0,221,--,377,156,217,221,221,Algún campo sin dato,1,06e3159448dab5082f6776e46456d19340d40aa10b0da44557694e6453508a1d,26/06/2023 00:50:48,ESCANER
24008,"Jutiapa",22,"Yupiltepeque",6,3762,246,67,50,5,6,1,0,25,154,3,1,158,0,158,--,246,88,154,158,158,Algún campo sin dato,1,980e474f36e0beeafcb749949317249da20e9f64ea4f64a96797f11bc9b22fdf,26/06/2023 00:29:36,ESCANER
24009,"Jutiapa",22,"Yupiltepeque",6,3762,246,48,75,6,5,0,1,12,147,2,1,150,1,151,1,243,92,147,150,151,,1,03527f96a013498061ed1a06f634369b2aaaddce5255a212ffd33a1c2541d44e,25/06/2023 23:29:22,ESCANER
24010,"Jutiapa",22,"Yupiltepeque",6,3763,369,8,17,2,4,1,0,25,57,4,1,62,0,62,--,365,303,57,62,62,Algún campo sin dato,1,6065dd0bc2ef52e7be5eb5bb97343d9ed5a81b2795d154ad31eccda083de35f9,25/06/2023 21:42:11,ESCANER
