TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
39,39,100.0000,39,100.0000,0,14430,10281,71.2474

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VALOR,VAMOS,CAMBIO,UNE,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24011,"Jutiapa",22,"Atescatempa",7,3764,400,92,45,98,34,0,0,269,28,3,300,0,300,--,400,100,269,300,300,Algún campo sin dato,1,e5d6476745a673359b7974e5757eeb88b161d2b8503fc62ee43218d9c375f903,25/06/2023 22:21:13,ESCANER
24012,"Jutiapa",22,"Atescatempa",7,3764,400,96,49,116,29,3,0,293,16,2,311,0,311,--,397,86,293,311,311,Algún campo sin dato,1,10aca67f42fc30c6d3fc38f0f1b6736b40df8370f7d2eb70a9537ece4168b52d,26/06/2023 01:37:33,ESCANER
24013,"Jutiapa",22,"Atescatempa",7,3764,400,95,47,92,34,4,1,273,28,7,308,0,308,--,400,92,273,308,308,Algún campo sin dato,1,60f0e29b31d0f108f6ffd26833aa1789143a521aa62591109aaecdc9567eead1,26/06/2023 01:43:12,ESCANER
24014,"Jutiapa",22,"Atescatempa",7,3764,400,97,52,130,33,1,0,313,12,6,331,0,331,--,397,66,313,331,331,Algún campo sin dato,1,b59c8c51142947d1c08b59631275686a34e0f72ea371a530471804a3f753abb5,26/06/2023 00:58:33,ESCANER
24015,"Jutiapa",22,"Atescatempa",7,3764,400,106,54,111,38,0,0,309,10,2,321,0,321,--,400,78,309,321,321,Algún campo sin dato,1,3c21c41e9799ca8978701aa97429940a91eef49d8000311a84b56a71802dd883,26/06/2023 02:23:11,ESCANER
24016,"Jutiapa",22,"Atescatempa",7,3764,400,95,43,116,18,2,0,274,15,0,289,0,289,--,400,108,274,289,289,Algún campo sin dato,1,774546a341cf83cab6f1e8de68957fee2338c8d7c17412f9c12bf4b35150e81e,26/06/2023 01:02:22,ESCANER
24017,"Jutiapa",22,"Atescatempa",7,3764,400,80,55,92,26,5,0,258,21,7,286,0,286,--,400,114,258,286,286,Algún campo sin dato,1,cd82179c7776de03e59497f9c0d6f0203acdac3bbafe345abebf65eb3d22b6ce,25/06/2023 23:48:44,ESCANER
24018,"Jutiapa",22,"Atescatempa",7,3765,400,96,38,117,20,2,1,274,18,2,294,0,294,--,400,106,274,294,294,Algún campo sin dato,1,a46f219692b77296d082fc8d1ac9407d6f495d16d026dcd11cf1d326364e0e2b,26/06/2023 00:12:57,ESCANER
24019,"Jutiapa",22,"Atescatempa",7,3765,400,82,48,106,32,2,1,271,20,1,292,0,292,--,400,108,271,292,292,Algún campo sin dato,1,c0f883393370f259385a7ce02f4da2c729ad25fc5acef13d890ffdb433a8b6b1,26/06/2023 00:04:21,ESCANER
24020,"Jutiapa",22,"Atescatempa",7,3765,400,109,41,111,28,2,0,291,13,3,307,0,307,--,400,93,291,307,307,Algún campo sin dato,1,ebc62196f0b161be3acd26bfe0ab5cb82d1562053fd8a0adfbc0ca192a996fa8,26/06/2023 00:30:06,ESCANER
