TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
15,15,100.0000,15,100.0000,0,5592,3903,69.7961

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,CAMBIO,VALOR,AZUL,VAMOS,FCN-NACION,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24050,"Jutiapa",22,"Jerez",8,3770,400,126,10,87,1,66,0,0,290,6,1,297,0,297,0,400,103,290,297,297,,1,4d4c4358ed017422c7fd8f9467929658d720e66399cc24f19f1ebba13c97ab57,26/06/2023 01:05:14,ESCANER
24051,"Jutiapa",22,"Jerez",8,3770,400,105,12,95,0,88,0,1,301,16,2,319,0,319,0,400,81,301,319,319,,1,dc77f112c1359538da3b2aea2afaca29c4c5c8c644b31c398a69bc02c2d00607,26/06/2023 02:23:09,ESCANER
24052,"Jutiapa",22,"Jerez",8,3770,400,103,11,90,2,88,0,4,298,12,2,312,0,312,0,399,87,298,312,312,,1,b08ee07057d371ba31b21d7fece1bc1b0d1a0536849617bb970d7e837a47962b,25/06/2023 23:12:00,ESCANER
24053,"Jutiapa",22,"Jerez",8,3770,400,112,3,81,0,92,2,1,291,11,2,304,0,304,0,400,96,291,304,304,,1,509b1a7bebdd73685c8684f10fd45c1e9eff51c5c65263136d181a2c4aa1eef5,26/06/2023 03:01:21,ESCANER
24054,"Jutiapa",22,"Jerez",8,3770,400,114,16,82,4,78,0,3,297,14,6,317,2,319,1,400,81,297,317,319,,1,8e9814ea9aeae6f15b35e29373c78b67a798e5d4d95a273c8725eb5c59e051e7,26/06/2023 01:06:30,ESCANER
24055,"Jutiapa",22,"Jerez",8,3770,400,117,10,89,3,89,0,2,310,2,2,314,11,325,0,400,75,310,314,325,,1,b5dbf6c89ac404f4a4bc5dc1c94115a50e24c3d62b948af0f9897ffc5e2403ca,26/06/2023 01:13:43,ESCANER
24056,"Jutiapa",22,"Jerez",8,3770,400,93,12,87,4,57,0,0,253,5,1,259,0,259,0,400,141,253,259,259,,1,3cc86f14700227f247f629e2bfd0615879604f20d439dc5d0a47dcd89040ae86,26/06/2023 03:22:29,ESCANER
24057,"Jutiapa",22,"Jerez",8,3770,400,93,6,99,1,65,0,1,265,9,1,275,0,275,1,400,125,265,275,275,,1,ab79023c97798aced6354080696b21ef3e4cba9a6008db611404b50f37acef4d,26/06/2023 00:12:16,ESCANER
24058,"Jutiapa",22,"Jerez",8,3770,400,100,7,92,1,67,0,0,267,3,2,272,0,272,0,400,128,267,272,272,,1,5026fc72d632bdeed3132e0b6aef0b6a721cd993d64fd11179338dcbad9e90b2,26/06/2023 01:06:42,ESCANER
24059,"Jutiapa",22,"Jerez",8,3770,400,99,5,101,2,68,0,1,276,7,0,283,0,283,0,400,117,276,283,283,,1,ac1c8e1dd23213f82d2ad83fa33b3b8227359ff81d529fd1916488242fdf1284,26/06/2023 01:35:13,ESCANER
24060,"Jutiapa",22,"Jerez",8,3770,400,135,16,99,2,58,0,0,310,4,0,314,0,314,0,400,86,310,314,314,,1,ffbc7f993fa8bb6e56674b36c077f6e9ef715c96ed2ad52be45f9b5c5e9b58da,26/06/2023 03:23:41,ESCANER
24061,"Jutiapa",22,"Jerez",8,3771,400,96,17,94,2,55,2,2,268,7,1,276,0,276,0,400,124,268,276,276,,1,1fb1bb3384e1142a1ecba505ff40b425181701b89d54d5bc3c652fcb40fce475,26/06/2023 03:09:30,ESCANER
24062,"Jutiapa",22,"Jerez",8,3771,258,59,9,66,1,36,0,1,172,1,0,173,0,173,0,258,85,172,173,173,,1,6f30931e1dd411e5f09dd74bc5a3ab31d990f4d068799c582f37f7af12cdc0c7,26/06/2023 01:37:04,ESCANER
24063,"Jutiapa",22,"Jerez",8,3771,257,44,2,27,0,44,0,1,118,5,0,123,0,123,0,257,134,118,123,123,,1,5166b1e0dea848afe9fee3a6eb4507ca482084cbc679a7b5c980e610175d41d9,26/06/2023 00:45:24,ESCANER
24064,"Jutiapa",22,"Jerez",8,3772,277,18,1,22,3,21,0,0,65,0,0,65,3,68,0,277,209,65,65,68,,1,64055add35a2f4dca23e8eb217731aca6610534cb0797de5b36c911d6b1a21b2,26/06/2023 00:45:22,ESCANER
