TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
16,16,100.0000,16,100.0000,0,6389,4193,65.6284

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,TODOS,VAMOS,VALOR,AZUL,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24065,"Jutiapa",22,"El Adelanto",9,3773,400,10,4,103,79,20,4,3,223,9,8,240,0,240,--,400,160,223,240,240,Algún campo sin dato,1,839778467f78c110704573b0977b76d8caf2fdf3da128b2681ce001285426bc6,25/06/2023 23:49:22,ESCANER
24066,"Jutiapa",22,"El Adelanto",9,3773,400,11,4,112,87,30,4,1,249,6,7,262,0,262,3,397,135,249,262,262,,1,112a3eff9bd7651633226f9b29362f642fd6f8d319e4bd8a809f6104e4d47e03,25/06/2023 22:37:32,ESCANER
24067,"Jutiapa",22,"El Adelanto",9,3773,400,8,2,105,106,22,2,3,248,12,9,269,2,271,--,400,129,248,269,271,Algún campo sin dato,1,9655622b7c2ee100c2680d7dc87e49de685df2c8ea0c4f6fdd42e447ba2c169b,26/06/2023 00:37:54,ESCANER
24068,"Jutiapa",22,"El Adelanto",9,3773,400,15,1,118,93,41,4,4,276,21,5,302,0,302,--,400,98,276,302,302,Algún campo sin dato,1,dbc4d41c38e5735cc0df213cf97cd39e2d4026d938be259b7725741256559ae0,25/06/2023 23:05:03,ESCANER
24069,"Jutiapa",22,"El Adelanto",9,3773,400,16,2,109,91,57,7,4,286,19,5,310,0,310,--,398,88,286,310,310,Algún campo sin dato,1,258e10759f98a2d2eb1d887d4fac6c87f95861d6242e5bff6c60786530eeae7b,25/06/2023 23:50:20,ESCANER
24070,"Jutiapa",22,"El Adelanto",9,3773,400,7,2,104,108,61,5,5,292,23,8,323,31,323,--,400,77,292,323,354,Sumas Asentadas sin cuadrar,1,1ce63d9a50818181c6a8d69193560cb934ab27e4b33516c3c58ea10d779f2f7a,25/06/2023 23:09:59,ESCANER
24071,"Jutiapa",22,"El Adelanto",9,3773,400,13,0,133,103,54,7,5,315,15,5,335,0,335,--,400,65,315,335,335,Algún campo sin dato,1,d8ebaa3073c1323e49c13f9460c1b6413b4db5189417b1911b1ead08a00ee0a9,25/06/2023 23:14:46,ESCANER
24072,"Jutiapa",22,"El Adelanto",9,3773,400,11,1,129,72,41,3,1,258,12,3,258,15,273,--,400,127,258,273,288,Sumas Asentadas sin cuadrar,1,6c039b65323e5523097bc804a4493b8a967a17941620d24f13d58896d38cfaf1,26/06/2023 00:26:37,ESCANER
24073,"Jutiapa",22,"El Adelanto",9,3773,400,4,1,96,82,28,3,0,214,5,2,221,0,221,--,400,179,214,221,221,Algún campo sin dato,1,0a673f330b3f770b50eae84ca98bd0f5b9fb1a79a0e7370484429df8baa4f960,25/06/2023 23:54:40,ESCANER
24074,"Jutiapa",22,"El Adelanto",9,3773,400,9,3,76,71,44,0,0,198,8,6,217,0,217,5,400,183,203,217,217,Sumas Asentadas sin cuadrar,1,1225b8b4ca8ed808b1483c92d7d3b693f78d41ca5c679e3202f0468e5b5ab9d4,26/06/2023 02:28:57,ESCANER
