TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
23,23,100.0000,23,100.0000,0,7808,5451,69.8130

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,CAMBIO,TODOS,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24081,"Jutiapa",22,"Zapotitlán",10,3775,400,78,158,1,3,3,243,18,2,263,0,263,1,403,139,243,263,263,,1,bf57c8e3cc5517106c20359371ba86dabb5a4cb21365904cfe483f23f5ea19f4,26/06/2023 02:05:49,ESCANER
24082,"Jutiapa",22,"Zapotitlán",10,3775,400,96,203,3,5,1,308,14,1,323,0,323,--,403,80,308,323,323,Algún campo sin dato,1,13caa8f3ce76ad3d96b4c6b3fab069ed300349a89a13a70512dc43c4da327e40,26/06/2023 02:47:26,ESCANER
24083,"Jutiapa",22,"Zapotitlán",10,3775,400,71,223,0,4,1,299,20,5,324,0,324,--,400,76,299,324,324,Algún campo sin dato,1,4f51ae04b30bada915b69ca2702e762c5c647eed57be9408b70afd8407fe1222,26/06/2023 01:42:02,ESCANER
24084,"Jutiapa",22,"Zapotitlán",10,3775,400,87,194,0,12,4,297,19,3,319,0,319,--,400,81,297,319,319,Algún campo sin dato,1,3181e7f1b3f5bf70f79e81dc5e9f42064b32fa4e4f3b83ea60587614183ee2c5,25/06/2023 23:54:02,ESCANER
24085,"Jutiapa",22,"Zapotitlán",10,3775,400,74,150,0,6,0,230,7,2,239,0,239,--,400,161,230,239,239,Algún campo sin dato,1,5bc473ad0e3f615998c9f05ebbaba950c15d995f8337a8514674cc4e8fbec905,26/06/2023 00:48:58,ESCANER
24086,"Jutiapa",22,"Zapotitlán",10,3776,400,56,144,0,9,2,211,7,0,218,0,218,--,400,182,211,218,218,Algún campo sin dato,1,7ab35749983debdd9179f88af4ec5d59d499d816829c928cb282fb83df68d0e9,25/06/2023 23:13:41,ESCANER
24087,"Jutiapa",22,"Zapotitlán",10,3776,306,79,125,0,5,1,210,3,1,214,0,214,--,306,92,210,214,214,Algún campo sin dato,1,4d8348d54c5917b7315f7d837d33c4b8ebe2a8dde479bba010b8566e2fc6a7f0,25/06/2023 23:51:15,ESCANER
24088,"Jutiapa",22,"Zapotitlán",10,3776,305,69,106,0,4,0,179,1,1,181,0,181,--,305,124,179,181,181,Algún campo sin dato,1,88de735f47f521bcc03da00c8d711aa40ce59d17100f4ed5a06b294e1df015ff,25/06/2023 22:21:04,ESCANER
24089,"Jutiapa",22,"Zapotitlán",10,3777,380,167,101,0,2,1,271,9,6,286,0,286,--,380,94,271,286,286,Algún campo sin dato,1,8370daab38d5976817201b778b4077157bfcc1fcf46f513c44708229063bdc48,26/06/2023 00:01:28,ESCANER
24090,"Jutiapa",22,"Zapotitlán",10,3777,380,249,55,1,2,0,307,10,2,319,0,319,--,380,61,307,319,319,Algún campo sin dato,1,010c3a56e540a708bc8a2e7c82bb70b4686f07f9ad99e8c011bfb7988a5b5668,26/06/2023 00:47:06,ESCANER
24091,"Jutiapa",22,"Zapotitlán",10,3777,380,168,50,0,3,0,221,5,0,226,0,226,--,380,154,221,226,226,Algún campo sin dato,1,9f7971a1b589158685f3d7732f653b35d66e2ebaa003e3c8d5567a1cca120dad,25/06/2023 23:00:07,ESCANER
24092,"Jutiapa",22,"Zapotitlán",10,3777,206,128,16,--,1,--,145,--,--,145,--,145,--,205,60,145,145,145,Algún campo sin dato,1,2d05b0c38ea7d3de9efbcc9fa8201656727d0f16a747aa70f0ff1d6589a6c6cc,25/06/2023 22:36:10,ESCANER
24093,"Jutiapa",22,"Zapotitlán",10,3777,205,70,31,1,0,0,102,3,1,106,0,106,--,205,99,102,106,106,Algún campo sin dato,1,4c281d04c8fff3eb05c620dd0742f8887b8677ac56825188ec70ec8f29b3febb,25/06/2023 20:45:51,ESCANER
24094,"Jutiapa",22,"Zapotitlán",10,3778,380,101,133,0,4,3,241,12,4,257,0,257,--,380,123,241,257,257,Algún campo sin dato,1,977c11516bd7668d9c2af78e0584243fa356bc360ed6c2a48ee8ab5911da3a3d,26/06/2023 00:20:03,ESCANER
24095,"Jutiapa",22,"Zapotitlán",10,3778,380,101,202,0,3,1,307,26,7,340,0,340,--,380,40,307,340,340,Algún campo sin dato,1,76db6b6a6501979c827fb46a53e6b314781dc2ee492203eea9e3fdc81eac7e59,26/06/2023 02:15:40,ESCANER
24096,"Jutiapa",22,"Zapotitlán",10,3778,380,81,130,0,4,1,216,7,1,224,0,224,--,380,156,216,224,224,Algún campo sin dato,1,0a06209bb5ff401e91e0041636f9cf16ca9f849a32af82b81c690104db0d1845,25/06/2023 23:46:38,ESCANER
24097,"Jutiapa",22,"Zapotitlán",10,3778,227,61,84,0,3,0,148,1,0,149,0,149,--,228,79,148,149,149,Algún campo sin dato,1,5edc9df760bed55e49422feb0988e38de3646a2c029d2f17609fec61fdc4a074,26/06/2023 00:05:24,ESCANER
24098,"Jutiapa",22,"Zapotitlán",10,3778,227,37,45,1,6,0,89,2,0,91,0,91,--,227,136,89,91,91,Algún campo sin dato,1,7115e09e7a2a54ab381abb5000faceb8d8d65e296f860ed9c5d6c191990e1f14,25/06/2023 23:46:38,ESCANER
24099,"Jutiapa",22,"Zapotitlán",10,3779,380,162,116,4,2,1,285,19,7,311,0,311,0,380,69,285,311,311,,1,65321c0428fc6b29c0ad0fcf1877997e4b47192348dd0d76afa3bf24cc6d5f37,26/06/2023 03:47:55,ESCANER
24100,"Jutiapa",22,"Zapotitlán",10,3779,380,162,113,0,4,2,281,22,3,306,0,306,0,380,74,281,306,306,,1,177ffa5e61f5961f8a5c34620cb5fae354b679c16c8ecc6466472d68cbd510e7,26/06/2023 03:44:31,ESCANER
24101,"Jutiapa",22,"Zapotitlán",10,3779,380,146,91,2,1,4,244,5,0,249,0,249,0,380,131,244,249,249,,1,5222564bb1589dc2b1f87494010e1b247b524acfca3f5e789255603cd8d18037,26/06/2023 03:52:38,ESCANER
24102,"Jutiapa",22,"Zapotitlán",10,3779,256,114,56,2,2,0,174,2,0,176,1,177,0,256,79,174,176,177,,1,250f3adbc05500ce3ef1ed8c37288f3e919f62c2c94a6872aa53450383c7a343,26/06/2023 03:55:03,ESCANER
24103,"Jutiapa",22,"Zapotitlán",10,3779,256,109,68,3,0,0,180,2,3,185,0,185,0,256,71,180,185,185,,1,8cdc589ebc2b7540adc678ac46feb691e31eedf64ae5c7ff4177a510a9a649cc,26/06/2023 03:51:28,ESCANER
