TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,20102,14730,73.2762

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,CABAL,AZUL,VAMOS,UNE,CAMBIO,VALOR,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24104,"Jutiapa",22,"Comapa",11,3780,400,0,97,2,176,18,2,20,2,317,11,5,333,0,333,--,400,67,317,333,333,Algún campo sin dato,1,3da9154a87bd866269365e967d3e39261a515f025f0e6b6f196eb07138057b76,26/06/2023 00:41:48,ESCANER
24105,"Jutiapa",22,"Comapa",11,3780,400,3,87,3,179,21,1,16,2,312,13,4,329,0,329,--,--,--,312,329,329,Algún campo sin dato,1,2ed077757223281f3dd84520d8b3185abeed142621cf4120c56629e98806e9d1,26/06/2023 15:25:53,ESCANER
24106,"Jutiapa",22,"Comapa",11,3780,400,0,141,0,140,10,0,27,0,318,12,2,332,0,332,--,400,68,318,332,332,Algún campo sin dato,1,e3af62d68094c80aa875c77522a6c1605d8479334c85177cde6f038e4f78f578,25/06/2023 23:47:05,ESCANER
24107,"Jutiapa",22,"Comapa",11,3780,400,1,124,5,120,12,2,24,1,289,7,0,296,0,296,--,400,104,289,296,296,Algún campo sin dato,1,fe53ee3b50115b85ccf37c12a166371cc42a8003d9694b528dd3e6ad3fd17dd4,25/06/2023 22:44:22,ESCANER
24108,"Jutiapa",22,"Comapa",11,3780,400,0,104,3,120,8,3,22,3,263,4,1,268,0,268,--,400,132,263,268,268,Algún campo sin dato,1,97692860c686c97ce0efa1d32a5a49258a52f788e1809b6a1d2801aff548c54b,25/06/2023 23:09:02,ESCANER
24109,"Jutiapa",22,"Comapa",11,3780,296,0,85,1,94,6,1,22,3,212,3,1,216,0,216,--,296,80,212,216,216,Algún campo sin dato,1,88878ec748db564d80c170c2c495e2ab9fa882c8e47449a2333ff7ffbf963af7,25/06/2023 23:22:28,ESCANER
24110,"Jutiapa",22,"Comapa",11,3780,295,0,75,3,98,8,3,21,2,210,3,0,213,0,213,--,295,82,210,213,213,Algún campo sin dato,1,cb0a099abfe07bc160f92968bf77b8c2f4d81d8edc629b8f9499387bb02a16ca,25/06/2023 21:04:23,ESCANER
24111,"Jutiapa",22,"Comapa",11,3781,400,9,112,7,121,8,4,11,6,278,19,6,303,0,303,--,400,97,278,303,303,Algún campo sin dato,1,b581e6ed504438a5421e4ac75f7d3f71f570d4295f16d263a6a206628b6eef18,25/06/2023 23:16:53,ESCANER
24112,"Jutiapa",22,"Comapa",11,3781,400,2,154,1,141,4,5,13,1,321,24,5,350,0,350,--,400,50,321,350,350,Algún campo sin dato,1,59f3210944ea44d15b8c96687f16d573fc09f6cc858e27b33ee55d23d5afddc1,25/06/2023 23:38:05,ESCANER
24113,"Jutiapa",22,"Comapa",11,3781,400,5,137,4,152,13,1,19,3,334,13,7,354,1,355,--,400,45,334,354,355,Algún campo sin dato,1,a3396168d7c7d847b8ab4b9c00fd4f06d4b77867b79e1c4bd0e7a837529f24cc,25/06/2023 22:09:21,ESCANER
