TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,21637,13700,63.3174

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,VAMOS,TODOS,CAMBIO,VALOR,VIVA,UNE,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24159,"Jutiapa",22,"Jalpatagua",12,3790,400,6,82,69,20,60,25,10,8,1,281,7,6,294,0,294,0,400,106,281,294,294,,1,326c57182a25a80081f6e8a6e6db1be1dbb9be22880fa1b6267987ad578b9389,26/06/2023 00:43:44,ESCANER
24160,"Jutiapa",22,"Jalpatagua",12,3790,400,8,80,75,14,51,23,7,7,0,265,9,2,276,0,276,0,402,126,265,276,276,,1,bbe8ce1a7522c71944f45935748b27eef184c469ea2f2516308df172420b1abb,25/06/2023 23:46:12,ESCANER
24161,"Jutiapa",22,"Jalpatagua",12,3790,400,15,73,82,22,51,21,12,8,1,285,8,2,295,0,295,0,400,105,285,295,295,,1,a3d54b95d003332c7b9a7a818f91f371bc03e0cd5e5224a9cd2e898d19b36bac,26/06/2023 00:37:51,ESCANER
24162,"Jutiapa",22,"Jalpatagua",12,3790,400,9,61,75,7,53,16,7,6,1,235,10,1,246,0,246,0,400,154,235,246,246,,1,870fde0e5be6495391db3353056b6902bc99170a2534661e7b01fadb74a1dd73,25/06/2023 23:27:42,ESCANER
24163,"Jutiapa",22,"Jalpatagua",12,3790,400,10,60,67,7,65,24,5,5,0,243,5,2,250,0,250,0,397,147,243,250,250,,1,60bae79131c81eed10639837dc28c5b5ca2be20355a00dc5a086a4fa8a7c16a6,25/06/2023 23:50:50,ESCANER
24164,"Jutiapa",22,"Jalpatagua",12,3791,400,13,80,67,16,48,16,14,9,0,263,5,4,263,0,272,0,396,124,263,272,272,Sumas Asentadas sin cuadrar,1,776bb4f2824e873e1d000f8c8b5e404c5dc6091b8a5fe6de731df3adaae2c05a,26/06/2023 01:27:16,ESCANER
24165,"Jutiapa",22,"Jalpatagua",12,3791,400,6,56,63,16,46,13,9,6,0,215,11,2,228,0,228,0,400,172,215,228,228,,1,f1f24d9db8eb77e9a6de4f3bd62bf53bb52bd0639430460cc12afc80ee7479c8,26/06/2023 00:35:26,ESCANER
24166,"Jutiapa",22,"Jalpatagua",12,3791,400,9,63,45,9,55,17,6,7,0,211,4,0,215,0,215,0,400,185,211,215,215,,1,a420761a96195dc0922e4c0049ea0630c20991d3162c1db6fce93a89c43f230b,25/06/2023 23:52:09,ESCANER
24167,"Jutiapa",22,"Jalpatagua",12,3791,326,12,46,52,11,46,11,1,5,0,184,3,1,188,0,188,0,326,138,184,188,188,,1,a66d95de13380d94b54f32a346f550a44f62a285f5e1c6a599fe28a45b8c3abc,25/06/2023 23:32:05,ESCANER
24168,"Jutiapa",22,"Jalpatagua",12,3791,326,14,46,44,12,49,13,3,2,0,183,6,0,189,0,189,0,326,137,183,189,189,,1,c8617760753be3d6a387c8cdf4ff95f72a0944850b1a283eae79cdfc28003de5,26/06/2023 01:03:11,ESCANER
24169,"Jutiapa",22,"Jalpatagua",12,3792,400,4,68,95,5,41,28,7,1,1,250,18,9,277,0,277,0,396,116,250,277,277,,1,0c6ad3d818e8538fc8b8754cc5996873ebec74ab49bf42410ee333df22478fbf,26/06/2023 01:44:46,ESCANER
24170,"Jutiapa",22,"Jalpatagua",12,3792,277,3,42,44,7,41,17,9,1,0,164,13,2,179,0,179,0,269,90,164,179,179,,1,9b87e202e76572043dd4c13dfdd2ddf2ffb1bdf86bba3250a8cdd5ea3a225373,25/06/2023 23:28:42,ESCANER
24171,"Jutiapa",22,"Jalpatagua",12,3792,276,0,34,39,5,38,25,10,2,2,155,6,1,162,0,162,0,273,111,155,162,162,,1,0cda64d396d054db93d10e40678206e6713bf7585208335d61c562ce7ddc4c8a,25/06/2023 23:54:34,ESCANER
24172,"Jutiapa",22,"Jalpatagua",12,3793,380,6,126,81,8,11,7,9,3,1,266,10,4,266,0,266,0,380,114,252,266,266,Sumas Asentadas sin cuadrar,1,ef7caaf8fb204454caa4c2fcfaa1bb2d5e2156d271ddaf92f6c8dd5478b51f98,26/06/2023 02:59:55,ESCANER
24173,"Jutiapa",22,"Jalpatagua",12,3793,380,4,137,71,3,16,5,14,3,0,253,13,6,272,1,273,1,377,106,253,272,273,,1,b11c6168a3569b1329bc290b5ebf634ad1c64fdb45b591ed13c6ba7f3d018cee,26/06/2023 01:02:23,ESCANER
24174,"Jutiapa",22,"Jalpatagua",12,3793,380,2,123,68,6,16,9,9,3,2,238,19,8,265,0,265,0,377,112,238,265,265,,1,88d842859b9d9fd860fb1dcd176e8aa8f5936bd73e329dc8ae777bda0a133223,26/06/2023 02:39:48,ESCANER
24175,"Jutiapa",22,"Jalpatagua",12,3793,380,4,124,77,4,18,5,12,4,0,248,13,7,268,0,268,0,377,109,248,268,268,,1,f13815ba557ad8355a1674c257c3df9a58347b967c3097042f731d903b6ca00c,26/06/2023 00:08:20,ESCANER
24176,"Jutiapa",22,"Jalpatagua",12,3793,380,5,95,89,7,12,6,6,2,0,222,15,1,238,1,239,1,380,138,222,238,239,,1,378b9e7513fb1d2c563d10e46f80deb8240b6e826c4d123b65f042db42a9445a,26/06/2023 01:21:30,ESCANER
24177,"Jutiapa",22,"Jalpatagua",12,3793,380,2,103,72,6,15,9,11,1,0,219,13,9,241,0,241,0,380,136,219,241,241,,1,f3689213f4a9dbd51d1e5db3bfc2cb5064ab17a47eac7ee00800bc8ce67c570a,26/06/2023 00:28:06,ESCANER
24178,"Jutiapa",22,"Jalpatagua",12,3794,380,5,107,59,4,15,7,7,2,0,206,7,3,216,0,216,0,380,164,206,216,216,,1,81705ec971a832dcfc223294824a13776f4e2e3495db628b589fa42d9de3b7be,25/06/2023 23:53:24,ESCANER
24179,"Jutiapa",22,"Jalpatagua",12,3794,290,3,83,46,3,16,7,6,1,0,165,0,0,165,0,165,0,290,125,165,165,165,,1,08e16d002eb3c6f9b5e01dec8c3cf3332b31363ee71bdd82992bcd18ea1d6c1f,25/06/2023 22:45:12,ESCANER
24180,"Jutiapa",22,"Jalpatagua",12,3794,290,2,86,49,4,12,7,4,2,0,166,2,1,169,0,169,0,290,121,166,169,169,,1,15af84149ee09b27368754bb31b03ab61d4a6bcabbffbb6ed1436d7f5e61f4b8,25/06/2023 22:27:20,ESCANER
24181,"Jutiapa",22,"Jalpatagua",12,3795,380,3,90,78,6,37,12,6,9,1,242,31,7,280,0,280,0,380,100,242,280,280,,1,04dc46de559b521d9dd93ff1bd742c3ced435ff45d18769877ddc81e299820b6,26/06/2023 00:37:02,ESCANER
24182,"Jutiapa",22,"Jalpatagua",12,3795,380,4,81,73,12,49,8,6,13,2,248,22,6,276,0,276,0,380,104,248,276,276,,1,27a9dd068c17ec5ca1598a75a8ad8fff793d24f52049150b6db605acea4a33bc,26/06/2023 02:12:45,ESCANER
24183,"Jutiapa",22,"Jalpatagua",12,3795,380,2,87,70,8,56,5,6,8,0,242,24,3,269,0,269,0,380,111,242,269,269,,1,22f8e026bee93f317cead09c3a38050c14e7d8b029c0dcc331ddeedeeaa78416,26/06/2023 02:16:58,ESCANER
24184,"Jutiapa",22,"Jalpatagua",12,3795,380,2,100,97,8,61,1,5,13,1,288,21,7,316,0,316,0,380,64,288,316,316,,1,2dbb4bac0d9443cf2958ebcc9eed46efd249e805bd94f9a165a825dbe6b04974,26/06/2023 00:40:36,ESCANER
24185,"Jutiapa",22,"Jalpatagua",12,3795,380,6,104,70,5,61,0,3,5,0,254,26,3,283,0,283,0,380,97,254,283,283,,1,7b63a833d7301980427c03e28bd86b37cc9e1243ccc39d5a3c075d2fc0527422,26/06/2023 03:23:20,ESCANER
24186,"Jutiapa",22,"Jalpatagua",12,3795,380,2,79,67,5,48,6,9,10,0,226,30,0,256,0,256,0,380,124,226,256,256,,1,c63a8d1d92b7125990de3a9e704fc7afe6a879591bed4040736a7e5c9d7bf623,26/06/2023 00:47:19,ESCANER
24187,"Jutiapa",22,"Jalpatagua",12,3796,380,2,86,49,10,63,8,4,7,0,229,29,6,264,0,264,0,377,113,229,264,264,,1,ebf701d3a0401c263e221802e441337359434e830e804e529b42bceb6f5ab780,25/06/2023 23:05:40,ESCANER
24188,"Jutiapa",22,"Jalpatagua",12,3796,380,2,70,55,3,82,7,5,6,0,230,7,0,237,0,237,0,380,143,230,237,237,,1,c3868cc7f55f8c5367fc4121e8673de38e03a4082e2afc46ecb12b391b38ce03,25/06/2023 23:59:01,ESCANER
24189,"Jutiapa",22,"Jalpatagua",12,3796,380,1,74,58,11,61,10,2,5,0,222,10,5,237,0,237,0,0,0,222,237,237,,1,ddfe6b5bb1948bc41d452b36282b32c315b44fdbdddfe7b5c87fd6835ab8ec79,26/06/2023 01:03:00,ESCANER
24190,"Jutiapa",22,"Jalpatagua",12,3796,248,1,68,33,3,45,4,2,3,0,159,8,1,168,0,168,0,248,80,159,168,168,,1,eba6af061b01be9a0d75fc9531ecc544abc7844390a4875c39f65e405f6f6d23,25/06/2023 23:09:00,ESCANER
24191,"Jutiapa",22,"Jalpatagua",12,3796,247,2,43,37,8,35,7,1,3,0,136,6,2,144,0,144,0,247,103,136,144,144,,1,36fc8681c5b753dadee685e2bac7dcffdae4367ea8145dfeb07b8e1255b3465b,25/06/2023 23:46:23,ESCANER
24192,"Jutiapa",22,"Jalpatagua",12,3797,380,8,48,72,29,34,6,4,9,0,210,10,4,224,0,224,0,380,156,210,224,224,,1,d2067d262d7724101c3b49623aa9ab817fe349fec4121090068aa649957bdab8,26/06/2023 00:27:51,ESCANER
24193,"Jutiapa",22,"Jalpatagua",12,3797,380,8,44,73,23,44,8,3,9,1,213,22,0,235,0,235,0,380,145,213,235,235,,1,e7940f112131a04a1cbfb19d198a9bf1a256a8af581c44ccdbcdb0f3d1d2810a,25/06/2023 23:28:07,ESCANER
24194,"Jutiapa",22,"Jalpatagua",12,3797,380,4,58,62,21,38,9,3,1,1,197,16,5,218,0,218,0,380,162,197,218,218,,1,f1379299fd8177fb1f5a2085dd1ac636b45597e25157c765c6b130e63bde0be6,25/06/2023 23:54:49,ESCANER
24195,"Jutiapa",22,"Jalpatagua",12,3797,380,0,68,58,29,34,11,3,8,1,212,21,4,237,0,237,0,381,144,212,237,237,,1,9c38747d5293c50a95b3327b26b8f3ea7c5b185a393654203ceeba4361289054,25/06/2023 23:58:07,ESCANER
24196,"Jutiapa",22,"Jalpatagua",12,3797,244,4,30,44,12,38,5,1,4,0,144,5,1,144,0,144,0,244,100,138,144,144,Sumas Asentadas sin cuadrar,1,18f974d0212fad32f49d6c270dea71440e9b20f2722e85e4860721c3f1b4d989,25/06/2023 22:05:02,ESCANER
24197,"Jutiapa",22,"Jalpatagua",12,3797,244,1,34,20,12,29,8,4,7,0,115,4,3,122,0,122,0,244,122,115,122,122,,1,22883317c60276ade032f3f228947094673d9444f8f30f3af7b5d495262f8406,25/06/2023 23:01:52,ESCANER
24198,"Jutiapa",22,"Jalpatagua",12,3798,380,23,95,58,10,13,3,13,9,1,225,20,6,251,0,251,0,380,129,225,251,251,,1,1b25d78941d61415b7f3cda3253a307eb5427f98b97959e5223a3eab03003af6,26/06/2023 01:16:02,ESCANER
24199,"Jutiapa",22,"Jalpatagua",12,3798,380,23,108,61,16,18,3,13,14,0,256,17,6,279,0,279,0,380,101,256,279,279,,1,a4f502e8515bb04ecdd6e0f6bb360c715697ddfa697311c2237a8029f24a7d4e,26/06/2023 01:32:08,ESCANER
24200,"Jutiapa",22,"Jalpatagua",12,3798,380,18,120,55,9,11,5,8,13,0,239,19,5,263,0,263,0,380,117,239,263,263,,1,e08293c49ee8e6d967c0a96b54c93884e3ad8352e2c6d0c809ab536395d5d32f,26/06/2023 01:00:37,ESCANER
24201,"Jutiapa",22,"Jalpatagua",12,3798,380,19,90,45,14,14,1,17,10,0,210,19,5,234,0,234,0,380,146,210,234,234,,1,25284c4f163a96e655b997f6513cfb90af925b4e7069029932be58e3a7ae8efc,26/06/2023 01:44:50,ESCANER
