TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,15419,10759,69.7775

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CAMBIO,MILPA,CABAL,VALOR,ELEFANTE,TODOS,FCN-NACION,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24220,"Jutiapa",22,"Conguaco",13,3804,400,81,11,30,94,8,8,48,1,3,284,3,3,290,0,290,0,400,110,284,290,290,,1,66f20043831d7460c15f22c9ca00901b36a84da63f6ab4c776095ad847fc1e7c,26/06/2023 02:04:33,ESCANER
24221,"Jutiapa",22,"Conguaco",13,3804,400,97,15,30,89,10,14,21,0,9,285,18,4,307,0,307,0,400,93,285,307,307,,1,7ecc344dfdfba0e4f5ba0df4e0dc9e74b38f0e426d4c3eabc75a5a62d1999b8a,26/06/2023 01:58:48,ESCANER
24222,"Jutiapa",22,"Conguaco",13,3804,400,91,15,28,117,4,13,35,0,6,309,17,4,330,0,330,0,400,70,309,330,330,,1,1cef48518edf0ebfefa10787cf0b2ae704563bca71fc667aa48cef976ccc84b4,26/06/2023 02:04:52,ESCANER
24223,"Jutiapa",22,"Conguaco",13,3804,400,81,16,32,100,11,8,34,0,5,287,11,1,299,0,299,0,400,101,287,299,299,,1,f3eb09842a5e3e21c6b44a856e5c51b34808d61fad827e088e6dcc9bfee50f92,26/06/2023 01:50:34,ESCANER
24224,"Jutiapa",22,"Conguaco",13,3804,400,66,10,13,87,12,18,37,1,1,245,12,5,262,0,262,0,397,135,245,262,262,,1,f0727c44c84905381f9220fe2079dd59fa4b572845a3c286b7a26eb27ae8675f,26/06/2023 00:38:13,ESCANER
24225,"Jutiapa",22,"Conguaco",13,3804,400,86,18,23,108,5,7,29,1,2,279,7,0,286,0,286,0,400,114,279,286,286,,1,04b6e32083b0a2f7dddfa6e46fe4400f3e6f62847f1cc3e7b6ac14b84a902ed7,26/06/2023 01:37:55,ESCANER
24226,"Jutiapa",22,"Conguaco",13,3804,400,74,15,29,89,6,5,43,0,3,264,3,0,267,0,267,0,400,130,264,267,267,,1,df423c8e1e643f9c5f71ecb41fabdf28190b8f1d93ee2d9235d4b86d374b75d9,26/06/2023 02:37:23,ESCANER
24227,"Jutiapa",22,"Conguaco",13,3804,300,74,11,16,69,3,7,12,0,1,193,8,2,203,0,203,0,300,97,193,203,203,,1,44d63c132c574047b7b16c14033e57b6faf5b1c28d1e322ee1b559535f85299b,26/06/2023 01:28:26,ESCANER
24228,"Jutiapa",22,"Conguaco",13,3804,300,54,11,17,61,4,5,20,1,1,174,9,1,184,0,184,0,300,116,174,184,184,,1,afbe3588ddd0c8572ce48662fe45ae47d86cbee7faf6fe9ffe7211b18014cb92,26/06/2023 00:03:29,ESCANER
24229,"Jutiapa",22,"Conguaco",13,3805,400,110,20,5,89,1,6,43,1,9,284,41,8,333,0,333,0,400,67,284,333,333,,1,445ca99af97199755ea37e378461a4a397802089da0ef52adfbe327e994eb3a3,26/06/2023 01:39:39,ESCANER
