TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
72,72,100.0000,72,100.0000,0,26370,16120,61.1300

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,AZUL,VALOR,UNE,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24261,"Jutiapa",22,"Moyuta",14,3813,400,91,100,26,40,7,2,266,17,4,287,0,287,0,400,113,266,287,287,,1,05e51b3ef959ff575367132447c1d33a7ae66163ba792d469749ae75ffb1083f,26/06/2023 02:21:44,ESCANER
24262,"Jutiapa",22,"Moyuta",14,3813,400,94,91,38,41,11,1,276,28,2,306,0,306,0,400,94,276,306,306,,1,cb2e1fe2eee2cdaf916ce9f1f87226533ec62f8c2e195d9cdda6cc447a210cd9,26/06/2023 03:46:08,ESCANER
24263,"Jutiapa",22,"Moyuta",14,3813,400,86,83,27,42,1,5,244,15,1,260,0,260,0,400,140,244,260,260,,1,f5030242e3340b711d827fe9097c8a01ffe348fbc9a0add4f5681705f36fb6c0,26/06/2023 02:26:05,ESCANER
24264,"Jutiapa",22,"Moyuta",14,3813,400,92,73,25,46,9,11,256,10,1,267,0,267,0,400,133,256,267,267,,1,47dfe337df06f59d33e2f4503004419f77c2a99095aa2a4aa50f3a0ae6fe1928,26/06/2023 01:06:13,ESCANER
24265,"Jutiapa",22,"Moyuta",14,3813,400,86,74,37,51,7,5,260,7,2,269,0,269,0,400,131,260,269,269,,1,e43da373b3aedac9bdbfde4607e023d030b28aec1c964fd702cc247eabb5e2f4,26/06/2023 03:29:25,ESCANER
24266,"Jutiapa",22,"Moyuta",14,3813,400,88,78,32,23,3,3,227,9,0,236,0,236,0,396,160,227,236,236,,1,450b68297c0ad4ad4f823b6a9c7585a750762435dff71847a5d9b52aa8ba579c,26/06/2023 01:56:20,ESCANER
24267,"Jutiapa",22,"Moyuta",14,3813,259,58,52,25,18,3,1,157,2,3,162,0,162,0,259,97,157,162,162,,1,2514c1386416e5f8b32747151060ec19235a5b1e1c35e26190db4357f0fcd2c3,26/06/2023 00:26:16,ESCANER
24268,"Jutiapa",22,"Moyuta",14,3813,259,44,39,23,28,6,2,142,6,0,148,0,148,1,259,110,142,148,148,,1,7649abed332f720567fe50a22df82a713569661816443819f09cf7d943c01a86,26/06/2023 01:59:14,ESCANER
24269,"Jutiapa",22,"Moyuta",14,3814,400,139,31,33,50,13,2,268,19,1,288,0,288,0,398,110,268,288,288,,1,2e372016fffd8c07699ce00a2ec66fae67cc3ce129a1ddb2add534dd0d13feba,26/06/2023 04:09:19,ESCANER
24270,"Jutiapa",22,"Moyuta",14,3814,400,128,39,39,54,12,5,277,31,2,310,0,310,0,400,90,277,310,310,,1,cc8bb84395ace77f7d27021c75c3822a6180055955ab320aea7eb1df91443291,26/06/2023 00:56:36,ESCANER
