TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24,24,100.0000,24,100.0000,0,9066,6250,68.9388

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,TODOS,VALOR,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24333,"Jutiapa",22,"Pasaco",15,3822,400,30,126,91,1,5,253,24,2,279,0,279,--,400,121,253,279,279,Algún campo sin dato,1,c42316662adab8bc0ea69481cac857322894d4612bd0c9ed5167d2abf5d801ba,25/06/2023 23:25:29,ESCANER
24334,"Jutiapa",22,"Pasaco",15,3822,400,48,118,103,3,5,277,18,4,299,0,299,--,400,101,277,299,299,Algún campo sin dato,1,78f4ee2510db6325a386d94d8be824b5fa1a59d524f841d52137c11af7431818,25/06/2023 23:38:56,ESCANER
24335,"Jutiapa",22,"Pasaco",15,3822,400,53,146,97,3,3,302,16,2,320,0,320,--,402,82,302,320,320,Algún campo sin dato,1,c1c68b24618d63a6d7b31663bb10a413322414c4642062fa3e04c800cb8e5149,25/06/2023 23:29:32,ESCANER
24336,"Jutiapa",22,"Pasaco",15,3822,400,31,136,92,4,2,265,8,1,274,0,274,--,400,126,265,274,274,Algún campo sin dato,1,705dc7bc8d8c7eeedf2fe89b76a3a5a7124da4c4728525d21283df4a08b7b87c,25/06/2023 23:42:32,ESCANER
24337,"Jutiapa",22,"Pasaco",15,3822,400,40,105,104,5,1,255,4,11,270,0,270,--,400,130,255,270,270,Algún campo sin dato,1,70405af0d9ed3e1563d3f2e97f17a1061f18d8e4b8a3a353b52beefa5ace470c,25/06/2023 23:50:48,ESCANER
24338,"Jutiapa",22,"Pasaco",15,3822,400,32,98,105,2,6,243,18,3,264,0,264,0,400,136,243,264,264,,1,d5e7d2dcb058fd3110c477d9c7ad520f9c58684e3492b23548f2249e1a28d79a,25/06/2023 23:11:10,ESCANER
24339,"Jutiapa",22,"Pasaco",15,3822,400,34,114,97,0,1,246,4,2,252,0,252,--,400,148,246,252,252,Algún campo sin dato,1,de1d4208a6039dee2cfa507b8b22b605b55bf5433ac0f723de9200f958651ac7,25/06/2023 23:16:33,ESCANER
24340,"Jutiapa",22,"Pasaco",15,3822,301,32,79,86,2,0,199,0,1,200,0,200,--,299,99,199,200,200,Algún campo sin dato,1,37f9799997e6d9755bf4d7cb32f800acb83250c5c3927a8d2975b8398e4d9685,25/06/2023 23:34:08,ESCANER
24341,"Jutiapa",22,"Pasaco",15,3822,300,16,86,92,2,0,196,4,1,201,0,201,--,301,100,196,201,201,Algún campo sin dato,1,71e1a98d44547e7c19daf369c43984bd0e391c30ff49b83c17b605eda2112009,25/06/2023 23:07:33,ESCANER
24342,"Jutiapa",22,"Pasaco",15,3823,400,44,132,121,1,5,303,12,7,322,0,322,--,400,78,303,322,322,Algún campo sin dato,1,1dde1765e710c2e77dbca88f4bad56539f760254590099f7ea20522bddded404,25/06/2023 23:26:49,ESCANER
24343,"Jutiapa",22,"Pasaco",15,3823,400,38,140,117,0,8,303,38,4,345,0,345,--,400,55,303,345,345,Algún campo sin dato,1,1bcd1a93a67cc899cb4a1bd993f8bf3c3d4672ea200ea8b418bc8ce40d300343,25/06/2023 23:23:12,ESCANER
24344,"Jutiapa",22,"Pasaco",15,3823,400,27,132,111,1,4,275,24,3,302,0,302,--,400,98,275,302,302,Algún campo sin dato,1,abe8c252c6c6da6a2bc7d8ff80d6a107761f21afb83f2744c674b2e2d19c0a5c,26/06/2023 00:23:22,ESCANER
24345,"Jutiapa",22,"Pasaco",15,3823,400,38,126,119,0,4,287,10,3,300,0,300,--,400,100,287,300,300,Algún campo sin dato,1,802516acc2ac8389a3b230ab914899afa2d451106b55b204616ef6e3ac4a99f5,26/06/2023 00:49:01,ESCANER
24346,"Jutiapa",22,"Pasaco",15,3823,201,17,59,69,1,4,150,5,1,156,0,156,--,207,51,150,156,156,Algún campo sin dato,1,557e15d6c09be8f82148ba69df07114e8a102b47271e2a372fd0755a2cffebe7,25/06/2023 23:17:08,ESCANER
24347,"Jutiapa",22,"Pasaco",15,3823,200,14,57,58,0,0,129,4,2,135,0,135,--,198,63,129,135,135,Algún campo sin dato,1,585a84b153ed4a14debcc33cc2a094f9c547e03ad1b2ee51d9cc94b2d9d885a9,25/06/2023 23:31:05,ESCANER
24348,"Jutiapa",22,"Pasaco",15,3824,400,17,134,102,3,5,261,35,3,299,0,299,--,400,101,261,299,299,Algún campo sin dato,1,74d8d14a0acce5999541982ea86d59b6a0ade65e005f000f1121266aa89a6644,25/06/2023 23:46:57,ESCANER
24349,"Jutiapa",22,"Pasaco",15,3824,400,27,132,124,2,4,289,26,5,320,0,320,--,395,75,289,320,320,Algún campo sin dato,1,ed31c3a61494ffbbf0ac13d010da8db211447385c159821e279648fc40554ef1,25/06/2023 23:52:18,ESCANER
24350,"Jutiapa",22,"Pasaco",15,3824,400,30,129,104,2,2,267,20,1,288,0,288,--,402,114,267,288,288,Algún campo sin dato,1,faa9db5d44a4a58df4a6a6dba0ea9f62fa0c75ea1f5ae045c363cb84cffe3db7,25/06/2023 23:30:11,ESCANER
24351,"Jutiapa",22,"Pasaco",15,3824,400,24,112,110,2,2,250,26,9,285,0,285,--,400,115,250,285,285,Algún campo sin dato,1,53fa4f0837c37763ed4774a25829ea4f34bd644e2396dadc93daab80dc735933,26/06/2023 00:29:51,ESCANER
24352,"Jutiapa",22,"Pasaco",15,3825,400,31,107,110,3,4,255,16,3,274,0,274,--,399,125,255,274,274,Algún campo sin dato,1,66344988d666d21c08aea1ebfa41a34236d160c7cb7d9d5653d93f36cdb94372,25/06/2023 22:49:02,ESCANER
24353,"Jutiapa",22,"Pasaco",15,3825,400,25,116,91,0,2,234,25,2,261,0,261,--,402,141,234,261,261,Algún campo sin dato,1,593dd110c4b564992c4c6c8018f3b59f5c6ef78ca0192c3cfc04a1f1634c3449,25/06/2023 23:50:09,ESCANER
24354,"Jutiapa",22,"Pasaco",15,3825,395,21,113,125,1,0,260,10,0,270,0,270,--,396,126,260,270,270,Algún campo sin dato,1,00150233cf9d3c28f3cde2f57434a7be97eb41080233fa314dec8eba7f610439,26/06/2023 00:09:43,ESCANER
24355,"Jutiapa",22,"Pasaco",15,3825,395,27,90,116,1,1,235,11,1,247,0,247,--,391,144,235,247,247,Algún campo sin dato,1,4595892a21604f16e8c187d6ef5145a006a3b1ab08a053254bf21bfb144184a3,25/06/2023 23:24:27,ESCANER
24356,"Jutiapa",22,"Pasaco",15,3826,474,12,38,26,3,2,81,4,2,87,0,87,0,475,388,81,87,87,,1,41c5c6f011a59d965dddede9b915666aab74f1509a89bc302ed2387b0a435941,25/06/2023 22:50:24,ESCANER
