TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
26,26,100.0000,26,100.0000,0,9784,7247,74.0699

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24357,"Jutiapa",22,"San José Acatempa",16,3827,400,227,61,7,295,11,1,307,0,307,--,400,93,295,307,307,Algún campo sin dato,1,4d2766c422d39d2eab645c6330aa9b871651e2511386cdebf0625348df8283d2,26/06/2023 04:16:26,ESCANER
24358,"Jutiapa",22,"San José Acatempa",16,3827,400,225,70,9,304,20,12,336,1,337,1,401,64,304,336,337,,1,b6db863dd31a8c0e8be50b708db6695d00075a197bd9d627a78a10484d52eb29,26/06/2023 01:24:01,ESCANER
24359,"Jutiapa",22,"San José Acatempa",16,3827,400,243,64,8,315,19,4,338,0,338,--,400,62,315,338,338,Algún campo sin dato,1,a065ac4fb253af1730d64f958b79e556609c3ed0ec6a11b12a08f9fc5a061f36,26/06/2023 00:21:20,ESCANER
24360,"Jutiapa",22,"San José Acatempa",16,3827,400,224,65,2,291,14,10,315,0,315,--,400,85,291,315,315,Algún campo sin dato,1,1fb5d4f3a746b58eecf8efbca1a6d7dabdbcd3d453ea8e87eaf229cafe2f6b18,26/06/2023 00:58:15,ESCANER
24361,"Jutiapa",22,"San José Acatempa",16,3827,400,208,75,2,285,23,5,313,0,313,--,400,87,285,313,313,Algún campo sin dato,1,d93596b8e8b11982f8624fdd80719622786fd3435885966a7204e54598c74bf7,26/06/2023 05:42:47,ESCANER
24362,"Jutiapa",22,"San José Acatempa",16,3827,400,221,58,4,283,14,4,301,0,301,--,400,99,283,301,301,Algún campo sin dato,1,316c14545fad73b2f8e18a78e8784d91caa6be9cf29779546e7df48c6fe4c277,26/06/2023 02:37:55,ESCANER
24363,"Jutiapa",22,"San José Acatempa",16,3827,400,213,53,6,272,19,4,295,0,295,--,400,105,272,295,295,Algún campo sin dato,1,2c0f98471eb6c4b1f4d1037f8d97dab6bf7668d246dd204f698831f51209e15f,26/06/2023 04:38:22,ESCANER
24364,"Jutiapa",22,"San José Acatempa",16,3827,400,207,58,9,274,9,4,287,0,287,--,400,113,274,287,287,Algún campo sin dato,1,e483068dd829888a869f2bf41553d50674f7abe9418dc5c8d46536e2a630dca3,25/06/2023 23:39:55,ESCANER
24365,"Jutiapa",22,"San José Acatempa",16,3827,400,211,64,6,281,6,4,291,0,291,--,400,109,281,291,291,Algún campo sin dato,1,8ff74663e81c8781c8aa7583a01e1cf9bc7396001c0efb6fb62d3bd2416dc1ee,26/06/2023 01:47:01,ESCANER
24366,"Jutiapa",22,"San José Acatempa",16,3827,400,213,65,9,287,7,1,295,0,295,--,400,105,287,295,295,Algún campo sin dato,1,60c249e08b17ee6766b1ea5f7264ee393cd464cdc0bcbf96b96b11bd3963d317,26/06/2023 01:06:30,ESCANER
24367,"Jutiapa",22,"San José Acatempa",16,3828,400,206,81,9,296,3,2,301,0,301,--,400,99,296,301,301,Algún campo sin dato,1,64372a2a0a78be3de958c5508ef9cbb3cf0d4faac2a221cc96cc8eabc1df27c1,26/06/2023 02:17:33,ESCANER
24368,"Jutiapa",22,"San José Acatempa",16,3828,299,136,61,4,201,4,0,205,0,205,--,299,94,201,205,205,Algún campo sin dato,1,3c320b75304333212ee09721093511c8bb05885a931ae83f47138d7e2930e6b7,26/06/2023 01:45:12,ESCANER
24369,"Jutiapa",22,"San José Acatempa",16,3828,298,126,56,2,184,5,3,192,0,192,--,298,106,184,192,192,Algún campo sin dato,1,9eeeee92701e5dfe36f2cc801ffb156c55b4b9ff3d2313a12d3f2777436d3b04,26/06/2023 00:42:53,ESCANER
24370,"Jutiapa",22,"San José Acatempa",16,3829,400,206,74,7,287,20,3,310,0,310,1,400,89,287,310,310,,1,57f59c635378351b475bf3eebda270d4b042ce548c62d0ee61d04462314ac957,26/06/2023 02:03:05,ESCANER
24371,"Jutiapa",22,"San José Acatempa",16,3829,400,208,91,6,305,14,9,328,--,328,--,400,72,305,328,328,Algún campo sin dato,1,018c48f33cf65e87a63eb9d9b2a54b956f6d8c2bd50074c7da3bac4f8c9bdb99,26/06/2023 00:32:39,ESCANER
24372,"Jutiapa",22,"San José Acatempa",16,3829,400,215,92,9,316,6,16,338,0,338,--,402,64,316,338,338,Algún campo sin dato,1,23bc59bdbfec61a1a070d0e018eac4dd24c6865fd68e1dc06459c0652246eb61,26/06/2023 05:05:23,ESCANER
24373,"Jutiapa",22,"San José Acatempa",16,3829,400,231,70,7,308,15,3,326,--,--,--,--,--,308,326,326,Algún campo sin dato,1,b7f88952bdeac886b86805d1aa4a82f70628f62b392e3cbe15518449e1a77902,26/06/2023 06:43:29,ESCANER
24374,"Jutiapa",22,"San José Acatempa",16,3829,400,250,51,5,306,14,0,320,0,320,--,400,780,306,320,320,Algún campo sin dato,1,c6e20acd9954fde187c7ef8687d8d2b628536e55deb659bb0487b12f3f3dd6b1,26/06/2023 07:07:05,ESCANER
24375,"Jutiapa",22,"San José Acatempa",16,3829,400,257,45,4,306,4,5,315,0,315,--,400,85,306,315,315,Algún campo sin dato,1,92c92425be16b69b331ea43c8eb6807cde5f8edcc44ccd146f08b34db020d219,26/06/2023 01:54:07,ESCANER
24376,"Jutiapa",22,"San José Acatempa",16,3829,400,215,58,10,283,5,5,293,0,293,--,400,107,283,293,293,Algún campo sin dato,1,29960c718a86451fd34a49cdc3a13488521eecfd0a2a6befa4a8d793a17e2691,26/06/2023 05:22:14,ESCANER
24377,"Jutiapa",22,"San José Acatempa",16,3829,400,199,55,4,258,10,7,275,0,275,--,400,125,258,275,275,Algún campo sin dato,1,81c679f50ca6e2b714bbc6b629de548c5a324fa90518de31b967e9f9fb0dc8b3,26/06/2023 03:09:36,ESCANER
24378,"Jutiapa",22,"San José Acatempa",16,3829,400,227,65,6,298,8,2,308,0,308,--,400,92,298,308,308,Algún campo sin dato,1,ed70caaccd960d44d3bdfdb84a6c4eadd784d714e2e88e0be6b0ff419dce1151,26/06/2023 02:34:16,ESCANER
