TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
45,45,100.0000,45,100.0000,0,17163,11725,68.3155

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24383,"Jutiapa",22,"Quesada",17,3831,400,171,64,8,243,24,5,272,0,272,--,400,128,243,272,272,Algún campo sin dato,1,942dd8accb7b1e9cb0232907463eff5d32639737c7475ac745d1a5d5d99c2d9b,26/06/2023 00:30:46,ESCANER
24384,"Jutiapa",22,"Quesada",17,3831,400,192,55,10,257,23,8,288,0,288,--,400,112,257,288,288,Algún campo sin dato,1,e7d71e763a3c36f9630e77e643641d6fd6bdc96e620143a635f0adfad663a165,26/06/2023 00:16:09,ESCANER
24385,"Jutiapa",22,"Quesada",17,3831,400,206,83,4,293,20,5,318,0,318,--,400,82,293,318,318,Algún campo sin dato,1,c7ea79ce8ca1aed9b77c64220a2aa7a19f004c3c13f4c1d30db2a57d8babafe0,26/06/2023 00:29:48,ESCANER
24386,"Jutiapa",22,"Quesada",17,3831,400,203,100,3,306,5,4,315,0,315,--,376,61,306,315,315,Algún campo sin dato,1,eefc8f68ad1e1ea3e512bb85a3a12eed34793706f06207f3ed7e068b470b7522,26/06/2023 00:02:38,ESCANER
24387,"Jutiapa",22,"Quesada",17,3831,400,209,85,2,296,10,5,311,0,311,--,400,89,296,311,311,Algún campo sin dato,1,ca80ba89ad416d17c1cc19eb18822823022406f36810e8f1bbdbdba554029032,26/06/2023 01:06:10,ESCANER
24388,"Jutiapa",22,"Quesada",17,3831,400,181,93,4,278,19,5,302,0,302,--,400,98,278,302,302,Algún campo sin dato,1,f31b889c08c29ce9cec8b0aa4969ed2188d32805c60b2de9fb7450d1e1692c2c,26/06/2023 00:44:40,ESCANER
24389,"Jutiapa",22,"Quesada",17,3831,400,177,73,8,258,9,4,271,0,271,--,400,129,258,271,271,Algún campo sin dato,1,0576f6a69cd6bf11d23da6b0d58051a8f5e69513922f2a08939a71d65f0a964d,26/06/2023 00:46:13,ESCANER
24390,"Jutiapa",22,"Quesada",17,3831,400,171,88,4,263,13,2,278,0,278,--,400,122,263,278,278,Algún campo sin dato,1,ae441aa3f890e378af7b8d18a1b08fbae80509056ceee39147a6df0d88bc7b89,26/06/2023 03:09:06,ESCANER
24391,"Jutiapa",22,"Quesada",17,3831,400,169,78,1,248,4,1,253,0,253,--,400,147,248,253,253,Algún campo sin dato,1,4caf61fcce0beeb5a7292f2d5b167a275a1da42f90fe0161d146c30fcd174f5b,26/06/2023 00:40:24,ESCANER
24392,"Jutiapa",22,"Quesada",17,3831,400,177,89,6,272,5,2,279,0,279,--,400,121,272,279,279,Algún campo sin dato,1,cf2e5055d1df910e3f578768c4a309f494ce36a043512654264fde2336763888,25/06/2023 23:49:34,ESCANER
24393,"Jutiapa",22,"Quesada",17,3831,388,155,72,5,232,3,0,235,0,235,--,388,153,232,235,235,Algún campo sin dato,1,8db0fd3e874f5f9d92fbddc3c7c83f9abe11e5d144f34ab67298f13128cb21c0,26/06/2023 00:48:45,ESCANER
24394,"Jutiapa",22,"Quesada",17,3831,388,152,74,0,226,6,1,233,0,233,--,388,155,226,233,233,Algún campo sin dato,1,6d418cd105539542af441acd84ae7228bbb2315c83d62fd09e4f5888d4952965,25/06/2023 23:52:26,ESCANER
24395,"Jutiapa",22,"Quesada",17,3832,400,183,86,5,274,20,6,300,0,300,--,400,100,274,300,300,Algún campo sin dato,1,10860bc8aab056dabb72ec485b6b3cffca115f6aa801b2091a30f7d2d3c8ab25,26/06/2023 00:50:26,ESCANER
24396,"Jutiapa",22,"Quesada",17,3832,400,203,92,5,300,18,2,320,0,320,--,400,80,300,320,320,Algún campo sin dato,1,3d362da09a95c8e5f4cd9fb6763639ca2ded1aa0ddb1e8e48ab1c42c70b3dc37,25/06/2023 23:17:42,ESCANER
24397,"Jutiapa",22,"Quesada",17,3832,400,189,100,2,291,14,4,309,0,309,--,400,91,291,309,309,Algún campo sin dato,1,11121da0d8f88c749da7719e66c8a7f3b8a99541f28ba9c8607bc7824f57d58f,25/06/2023 23:58:05,ESCANER
24398,"Jutiapa",22,"Quesada",17,3832,400,183,104,5,292,15,12,319,0,319,--,400,81,292,319,319,Algún campo sin dato,1,4b3665c9555db3792b888033b6f57ed93083acd4393a2e6a52a2669c4bafc79b,26/06/2023 01:41:11,ESCANER
24399,"Jutiapa",22,"Quesada",17,3832,400,137,145,6,288,13,4,305,0,305,--,393,68,288,305,305,Algún campo sin dato,1,cd1916db18fac2c136265f39cc541eb0729f672cce9bc8e4c5c30f66aa155e8b,26/06/2023 01:20:29,ESCANER
24400,"Jutiapa",22,"Quesada",17,3832,400,157,98,5,260,4,4,268,0,268,--,400,132,260,268,268,Algún campo sin dato,1,ae5c1a007be3bb616c3a0b6de4af9d317b42d0d89f00ed47b0ed262736acb12a,26/06/2023 01:14:14,ESCANER
24401,"Jutiapa",22,"Quesada",17,3832,400,160,98,2,260,13,8,281,0,281,--,400,119,260,281,281,Algún campo sin dato,1,8867c4843b1a3de9035ce6e2109f5e732b8c2c53eb8febe00d055b5482e246cb,26/06/2023 00:05:26,ESCANER
24402,"Jutiapa",22,"Quesada",17,3832,400,151,89,2,242,9,1,252,0,252,--,400,148,242,252,252,Algún campo sin dato,1,ef28983ceef272be28687070b44de2009091aaa450078448eb8954e41fb783b7,25/06/2023 23:15:55,ESCANER
24403,"Jutiapa",22,"Quesada",17,3832,358,146,94,5,245,3,0,248,1,249,--,355,106,245,248,249,Algún campo sin dato,1,2053dcecf2f6aee162aae4ddfda74d1ad8d30c7d5a28149882f06bb99a75e6fd,26/06/2023 00:29:42,ESCANER
24404,"Jutiapa",22,"Quesada",17,3832,358,143,88,1,232,3,2,237,0,237,--,358,121,232,237,237,Algún campo sin dato,1,a487013bb710ea195aec31a6cde43863b512a7ca602a9d6186a2cde12b9f8f6e,26/06/2023 00:50:01,ESCANER
